Strategy report
Symbol: SPY
Work Time: 10/27/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$339.07;10/27/20, 9:35 AM;;$0.45;1.0;
2;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$339.70;10/27/20, 10:00 AM;$0.63;$0.63;0.0;
3;AAA;Buy to Open;1.0;$329.70;11/2/20, 9:35 AM;;$0.70;1.0;
4;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$331.47;11/2/20, 10:05 AM;$1.77;$2.40;0.0;
5;AAA;Buy to Open;1.0;$333.41;11/3/20, 9:35 AM;;$2.58;1.0;
6;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$336.19;11/3/20, 10:10 AM;$2.78;$5.18;0.0;
7;AAA;Buy to Open;1.0;$341.45;11/4/20, 9:35 AM;;$3.64;1.0;
8;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$344.08;11/4/20, 10:10 AM;$2.63;$7.81;0.0;
9;AAA;Buy to Open;1.0;$349.33;11/5/20, 9:35 AM;;$8.17;1.0;
10;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$350.40;11/5/20, 10:05 AM;$1.07;$8.88;0.0;
11;AAA;Buy to Open;1.0;$363.16;11/9/20, 9:35 AM;;$8.38;1.0;
12;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$362.77;11/9/20, 10:05 AM;($0.39);$8.49;0.0;
13;AAA;Buy to Open;1.0;$355.65;11/13/20, 9:35 AM;;$8.73;1.0;
14;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$356.03;11/13/20, 10:00 AM;$0.38;$8.87;0.0;
15;AAA;Buy to Open;1.0;$360.26;11/16/20, 9:35 AM;;$9.42;1.0;
16;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$360.52;11/16/20, 10:05 AM;$0.26;$9.13;0.0;
17;AAA;Buy to Open;1.0;$357.44;11/23/20, 9:35 AM;;$9.32;1.0;
18;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$358.04;11/23/20, 10:05 AM;$0.60;$9.73;0.0;
19;AAA;Buy to Open;1.0;$359.64;11/24/20, 9:45 AM;;$9.66;1.0;
20;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$360.66;11/24/20, 10:10 AM;$1.02;$10.74;0.0;
21;AAA;Buy to Open;1.0;$363.70;11/27/20, 9:35 AM;;$11.14;1.0;
22;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$363.72;11/27/20, 10:05 AM;$0.01;$10.76;0.0;
23;AAA;Buy to Open;1.0;$365.06;12/1/20, 9:35 AM;;$11.38;1.0;
24;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$366.58;12/1/20, 10:05 AM;$1.52;$12.28;0.0;
25;AAA;Buy to Open;1.0;$366.96;12/3/20, 9:35 AM;;$12.33;1.0;
26;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$367.80;12/3/20, 10:40 AM;$0.84;$13.12;0.0;
27;AAA;Buy to Open;1.0;$367.93;12/4/20, 9:40 AM;;$13.35;1.0;
28;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$368.53;12/4/20, 10:10 AM;$0.60;$13.72;0.0;
29;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$369.04;12/7/20, 9:35 AM;$0.00;$13.71;-1.0;
30;AAA;Buy to Open;1.0;$369.04;12/7/20, 9:35 AM;;$13.72;0.0;
31;AAA;Buy to Open;1.0;$368.70;12/14/20, 9:35 AM;;$14.40;1.0;
32;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$369.72;12/14/20, 10:05 AM;$1.01;$14.73;0.0;
33;AAA;Buy to Open;1.0;$367.43;12/15/20, 9:35 AM;;$14.87;1.0;
34;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$366.87;12/15/20, 10:05 AM;($0.56);$14.17;0.0;
35;AAA;Buy to Open;1.0;$369.66;12/16/20, 9:35 AM;;$13.56;1.0;
36;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$369.26;12/16/20, 9:50 AM;($0.40);$13.77;0.0;
37;AAA;Buy to Open;1.0;$372.32;12/17/20, 9:35 AM;;$13.74;1.0;
38;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$371.72;12/17/20, 10:00 AM;($0.60);$13.17;0.0;
39;AAA;Buy to Open;1.0;$368.89;12/23/20, 9:40 AM;;$12.98;1.0;
40;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$368.95;12/23/20, 10:05 AM;$0.06;$13.23;0.0;
41;AAA;Buy to Open;1.0;$368.47;12/24/20, 9:35 AM;;$13.12;1.0;
42;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$368.44;12/24/20, 10:45 AM;($0.03);$13.20;0.0;
43;AAA;Buy to Open;1.0;$371.28;12/28/20, 9:35 AM;;$13.15;1.0;
44;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$371.50;12/28/20, 10:05 AM;$0.22;$13.42;0.0;
45;AAA;Buy to Open;1.0;$373.85;12/29/20, 9:35 AM;;$13.17;1.0;
46;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$373.15;12/29/20, 9:55 AM;($0.71);$12.72;0.0;
47;AAA;Buy to Open;1.0;$372.37;12/30/20, 9:35 AM;;$12.93;1.0;
48;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$372.90;12/30/20, 10:05 AM;$0.53;$13.25;0.0;
49;AAA;Buy to Open;1.0;$374.53;1/4/21, 9:35 AM;;$12.71;1.0;
50;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$374.18;1/4/21, 9:50 AM;($0.35);$12.90;0.0;
51;AAA;Buy to Open;1.0;$369.25;1/5/21, 9:35 AM;;$13.74;1.0;
52;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$370.29;1/5/21, 9:55 AM;$1.04;$13.94;0.0;
53;AAA;Buy to Open;1.0;$370.94;1/6/21, 9:40 AM;;$14.09;1.0;
54;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$375.36;1/6/21, 10:55 AM;$4.42;$18.35;0.0;
55;AAA;Buy to Open;1.0;$376.87;1/7/21, 9:45 AM;;$18.42;1.0;
56;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$378.53;1/7/21, 10:10 AM;$1.66;$20.01;0.0;
57;AAA;Buy to Open;1.0;$380.70;1/8/21, 9:35 AM;;$19.83;1.0;
58;AAA(,5,SPY,9,9,10,);Sell to Close;-1.0;$380.96;1/8/21, 10:05 AM;$0.26;$20.27;0.0;
59;AAA;Buy to Open;1.0;$379.21;1/13/21, 9:35 AM;;$19.87;1.0;
