Strategy report
Symbol: SPY
Work Time: 10/30/20, 12:30 PM - 7/16/21, 3:40 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$326.50;10/30/20, 12:30 PM;;($0.61);1.0;
2;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$325.90;10/30/20, 12:35 PM;($0.60);($0.60);0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$329.70;11/2/20, 9:35 AM;;($0.53);1.0;
4;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$331.47;11/2/20, 10:05 AM;$1.77;$1.18;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$331.02;11/2/20, 11:45 AM;;$0.98;1.0;
6;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$330.38;11/2/20, 12:05 PM;($0.64);$0.54;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$329.51;11/2/20, 2:50 PM;;$0.19;1.0;
8;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$329.44;11/2/20, 3:00 PM;($0.07);$0.47;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$333.41;11/3/20, 9:35 AM;;$0.64;1.0;
10;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$336.19;11/3/20, 10:10 AM;$2.78;$3.25;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$336.04;11/3/20, 2:15 PM;;$3.03;1.0;
12;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$336.34;11/3/20, 3:00 PM;$0.30;$3.55;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$337.16;11/3/20, 3:35 PM;;$3.56;1.0;
14;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$344.08;11/4/20, 10:10 AM;$6.92;$10.47;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$344.42;11/4/20, 10:15 AM;;$11.41;1.0;
16;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$345.11;11/4/20, 10:30 AM;$0.69;$11.16;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$346.67;11/4/20, 12:00 PM;;$11.49;1.0;
18;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$347.65;11/4/20, 12:35 PM;$0.98;$12.14;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$346.92;11/4/20, 1:35 PM;;$12.10;1.0;
20;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$345.71;11/4/20, 1:50 PM;($1.21);$10.93;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$349.33;11/5/20, 9:35 AM;;$11.29;1.0;
22;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$350.40;11/5/20, 10:05 AM;$1.07;$12.00;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$349.76;11/5/20, 12:40 PM;;$12.14;1.0;
24;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$350.87;11/5/20, 1:25 PM;$1.11;$13.11;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$351.15;11/5/20, 2:00 PM;;$13.57;1.0;
26;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$351.60;11/5/20, 2:05 PM;$0.45;$13.56;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$349.19;11/6/20, 10:10 AM;;$13.79;1.0;
28;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$349.71;11/6/20, 10:45 AM;$0.52;$14.08;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$350.55;11/6/20, 11:10 AM;;$13.39;1.0;
30;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$350.01;11/6/20, 11:20 AM;($0.54);$13.54;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$350.13;11/6/20, 11:35 AM;;$13.84;1.0;
32;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$350.44;11/6/20, 11:40 AM;$0.31;$13.85;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$350.32;11/6/20, 11:50 AM;;$13.95;1.0;
34;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$350.49;11/6/20, 12:05 PM;$0.17;$14.01;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$350.37;11/6/20, 1:05 PM;;$14.01;1.0;
36;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$350.56;11/6/20, 1:35 PM;$0.19;$14.20;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$350.01;11/6/20, 3:30 PM;;$14.46;1.0;
38;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$362.77;11/9/20, 10:05 AM;$12.76;$26.96;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$361.51;11/9/20, 12:40 PM;;$26.89;1.0;
40;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$360.80;11/9/20, 12:55 PM;($0.71);$26.25;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$359.66;11/9/20, 3:00 PM;;$26.70;1.0;
42;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$359.63;11/9/20, 3:20 PM;($0.03);$26.22;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$353.58;11/10/20, 10:00 AM;;$27.10;1.0;
44;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$352.49;11/10/20, 10:30 AM;($1.09);$25.13;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$354.66;11/10/20, 12:10 PM;;$25.27;1.0;
46;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$354.88;11/10/20, 12:25 PM;$0.22;$25.35;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$354.26;11/10/20, 1:00 PM;;$25.74;1.0;
48;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$353.75;11/10/20, 1:15 PM;($0.51);$24.84;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$353.96;11/10/20, 2:55 PM;;$24.87;1.0;
50;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$353.62;11/10/20, 3:10 PM;($0.34);$24.50;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$356.34;11/11/20, 9:50 AM;;$24.24;1.0;
52;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$355.31;11/11/20, 10:00 AM;($1.03);$23.47;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$356.11;11/11/20, 10:35 AM;;$23.27;1.0;
54;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$355.61;11/11/20, 10:50 AM;($0.50);$22.97;0.0;
55;AAA_ExpAvg;Buy to Open;1.0;$356.68;11/11/20, 11:20 AM;;$22.82;1.0;
56;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$356.60;11/11/20, 11:40 AM;($0.08);$22.89;0.0;
57;AAA_ExpAvg;Buy to Open;1.0;$357.26;11/11/20, 12:50 PM;;$22.82;1.0;
58;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$357.11;11/11/20, 1:05 PM;($0.15);$22.74;0.0;
59;AAA_ExpAvg;Buy to Open;1.0;$357.43;11/11/20, 1:40 PM;;$22.50;1.0;
60;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$357.01;11/11/20, 1:50 PM;($0.42);$22.32;0.0;
61;AAA_ExpAvg;Buy to Open;1.0;$356.00;11/11/20, 3:10 PM;;$22.53;1.0;
62;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$355.22;11/12/20, 9:35 AM;($0.78);$21.54;0.0;
63;AAA_ExpAvg;Buy to Open;1.0;$356.08;11/12/20, 10:55 AM;;$21.46;1.0;
64;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$356.27;11/12/20, 11:10 AM;$0.19;$21.73;0.0;
65;AAA_ExpAvg;Buy to Open;1.0;$352.68;11/12/20, 1:35 PM;;$22.08;1.0;
66;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$352.99;11/12/20, 2:10 PM;$0.31;$22.04;0.0;
67;AAA_ExpAvg;Buy to Open;1.0;$355.65;11/13/20, 9:35 AM;;$22.28;1.0;
68;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$356.03;11/13/20, 10:00 AM;$0.38;$22.42;0.0;
69;AAA_ExpAvg;Buy to Open;1.0;$355.97;11/13/20, 11:45 AM;;$22.62;1.0;
70;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$356.36;11/13/20, 12:15 PM;$0.38;$22.80;0.0;
71;AAA_ExpAvg;Buy to Open;1.0;$356.76;11/13/20, 1:05 PM;;$22.86;1.0;
72;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$356.60;11/13/20, 1:15 PM;($0.16);$22.64;0.0;
73;AAA_ExpAvg;Buy to Open;1.0;$357.43;11/13/20, 2:40 PM;;$22.59;1.0;
74;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$357.38;11/13/20, 2:45 PM;($0.05);$22.59;0.0;
75;AAA_ExpAvg;Buy to Open;1.0;$358.25;11/13/20, 3:35 PM;;$22.79;1.0;
76;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$360.52;11/16/20, 10:05 AM;$2.27;$24.86;0.0;
77;AAA_ExpAvg;Buy to Open;1.0;$361.51;11/16/20, 10:30 AM;;$24.95;1.0;
78;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$361.60;11/16/20, 10:45 AM;$0.09;$24.95;0.0;
79;AAA_ExpAvg;Buy to Open;1.0;$360.54;11/16/20, 1:55 PM;;$24.98;1.0;
80;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$361.00;11/16/20, 2:45 PM;$0.45;$25.40;0.0;
81;AAA_ExpAvg;Buy to Open;1.0;$361.17;11/16/20, 3:25 PM;;$25.10;1.0;
82;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$359.96;11/17/20, 9:30 AM;($1.21);$24.19;0.0;
83;AAA_ExpAvg;Buy to Open;1.0;$360.50;11/17/20, 11:05 AM;;$24.38;1.0;
84;AAA_ExpAvg(,5,SPY,9,9,360,1,);Sell to Close;-1.0;$360.75;11/17/20, 11:20 AM;$0.25;$24.44;0.0;
