Strategy report
Symbol: TSLA
Work Time: 10/27/20, 9:35 AM - 7/12/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAAstrictentry;Buy to Open;1.0;$420.51;10/27/20, 9:35 AM;;$6.43;1.0;
2;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$425.03;10/27/20, 10:05 AM;$4.52;$4.52;0.0;
3;AAAstrictentry;Buy to Open;1.0;$409.59;10/29/20, 9:35 AM;;$3.15;1.0;
4;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$410.45;10/29/20, 10:30 AM;$0.86;$5.38;0.0;
5;AAAstrictentry;Buy to Open;1.0;$393.22;11/2/20, 9:35 AM;;$10.74;1.0;
6;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$402.67;11/2/20, 10:05 AM;$9.45;$14.83;0.0;
7;AAAstrictentry;Buy to Open;1.0;$407.46;11/3/20, 9:35 AM;;$18.20;1.0;
8;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$416.30;11/3/20, 10:05 AM;$8.85;$23.68;0.0;
9;AAAstrictentry;Buy to Open;1.0;$433.99;11/4/20, 9:35 AM;;$17.40;1.0;
10;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$424.14;11/4/20, 9:50 AM;($9.85);$13.82;0.0;
11;AAAstrictentry;Buy to Open;1.0;$429.00;11/5/20, 9:35 AM;;$17.02;1.0;
12;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$437.44;11/5/20, 10:10 AM;$8.44;$22.26;0.0;
13;AAAstrictentry;Buy to Open;1.0;$432.37;11/9/20, 9:35 AM;;$25.62;1.0;
14;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$448.46;11/9/20, 10:15 AM;$16.09;$38.35;0.0;
15;AAAstrictentry;Buy to Open;1.0;$413.05;11/11/20, 9:35 AM;;$38.96;1.0;
16;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$415.90;11/11/20, 10:05 AM;$2.85;$41.20;0.0;
17;AAAstrictentry;Buy to Open;1.0;$451.22;11/17/20, 9:35 AM;;$45.78;1.0;
18;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$447.97;11/17/20, 10:00 AM;($3.25);$37.95;0.0;
19;AAAstrictentry;Buy to Open;1.0;$449.59;11/18/20, 9:40 AM;;$38.35;1.0;
20;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$453.91;11/18/20, 10:10 AM;$4.32;$42.27;0.0;
21;AAAstrictentry;Buy to Open;1.0;$492.40;11/19/20, 9:35 AM;;$41.89;1.0;
22;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$504.31;11/19/20, 10:20 AM;$11.91;$54.18;0.0;
23;AAAstrictentry;Buy to Open;1.0;$513.50;11/23/20, 9:35 AM;;$54.25;1.0;
24;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$521.39;11/23/20, 10:05 AM;$7.89;$62.07;0.0;
25;AAAstrictentry;Buy to Open;1.0;$538.00;11/24/20, 9:35 AM;;$59.94;1.0;
26;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$540.75;11/24/20, 10:10 AM;$2.75;$64.82;0.0;
27;AAAstrictentry;Buy to Open;1.0;$588.00;11/27/20, 9:35 AM;;$63.93;1.0;
28;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$594.84;11/27/20, 10:05 AM;$6.84;$71.66;0.0;
29;AAAstrictentry;Buy to Open;1.0;$600.88;11/30/20, 9:35 AM;;$66.35;1.0;
30;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$591.05;11/30/20, 9:55 AM;($9.83);$61.83;0.0;
31;AAAstrictentry;Buy to Open;1.0;$588.53;12/1/20, 9:35 AM;;$59.87;1.0;
32;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$585.56;12/1/20, 10:10 AM;($2.97);$58.86;0.0;
33;AAAstrictentry;Buy to Open;1.0;$586.02;12/3/20, 9:35 AM;;$66.58;1.0;
34;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$589.16;12/3/20, 10:00 AM;$3.14;$62.00;0.0;
35;AAAstrictentry;Buy to Open;1.0;$591.72;12/4/20, 9:40 AM;;$60.43;1.0;
36;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$593.78;12/4/20, 10:25 AM;$2.05;$64.05;0.0;
37;AAAstrictentry;Buy to Open;1.0;$615.68;12/7/20, 9:35 AM;;$64.17;1.0;
38;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$621.64;12/7/20, 10:05 AM;$5.96;$70.01;0.0;
39;AAAstrictentry;Buy to Open;1.0;$623.45;12/14/20, 9:35 AM;;$71.26;1.0;
40;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$618.91;12/14/20, 10:00 AM;($4.54);$65.47;0.0;
41;AAAstrictentry;Buy to Open;1.0;$626.05;12/17/20, 9:35 AM;;$63.18;1.0;
42;AAAstrictentry(,5,TSLA,9,9,10,);Sell to Close;-1.0;$623.77;12/17/20, 9:40 AM;($2.28);$63.18;0.0;
