Strategy report
Symbol: TSLA
Work Time: 10/27/20, 9:35 AM - 7/12/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$420.51;10/27/20, 9:35 AM;;$6.43;1.0;
2;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$425.03;10/27/20, 10:05 AM;$4.52;$4.52;0.0;
3;AAA;Buy to Open;1.0;$409.59;10/29/20, 9:35 AM;;$3.15;1.0;
4;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$410.45;10/29/20, 10:30 AM;$0.86;$5.38;0.0;
5;AAA;Buy to Open;1.0;$393.22;11/2/20, 9:35 AM;;$10.74;1.0;
6;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$402.67;11/2/20, 10:05 AM;$9.45;$14.83;0.0;
7;AAA;Buy to Open;1.0;$407.46;11/3/20, 9:35 AM;;$18.20;1.0;
8;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$416.30;11/3/20, 10:05 AM;$8.85;$23.68;0.0;
9;AAA;Buy to Open;1.0;$433.99;11/4/20, 9:35 AM;;$17.40;1.0;
10;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$424.14;11/4/20, 9:50 AM;($9.85);$13.82;0.0;
11;AAA;Buy to Open;1.0;$429.00;11/5/20, 9:35 AM;;$17.02;1.0;
12;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$437.44;11/5/20, 10:10 AM;$8.44;$22.26;0.0;
13;AAA;Buy to Open;1.0;$432.37;11/9/20, 9:35 AM;;$25.62;1.0;
14;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$448.46;11/9/20, 10:15 AM;$16.09;$38.35;0.0;
15;AAA;Buy to Open;1.0;$413.05;11/11/20, 9:35 AM;;$38.96;1.0;
16;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$415.90;11/11/20, 10:05 AM;$2.85;$41.20;0.0;
17;AAA;Buy to Open;1.0;$406.70;11/16/20, 9:35 AM;;$40.88;1.0;
18;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$408.80;11/16/20, 10:50 AM;$2.10;$43.31;0.0;
19;AAA;Buy to Open;1.0;$451.22;11/17/20, 9:35 AM;;$47.88;1.0;
20;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$447.97;11/17/20, 10:00 AM;($3.25);$40.05;0.0;
21;AAA;Buy to Open;1.0;$449.59;11/18/20, 9:40 AM;;$40.45;1.0;
22;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$453.91;11/18/20, 10:10 AM;$4.32;$44.37;0.0;
23;AAA;Buy to Open;1.0;$492.40;11/19/20, 9:35 AM;;$43.99;1.0;
24;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$504.31;11/19/20, 10:20 AM;$11.91;$56.28;0.0;
25;AAA;Buy to Open;1.0;$513.50;11/23/20, 9:35 AM;;$56.35;1.0;
26;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$521.39;11/23/20, 10:05 AM;$7.89;$64.17;0.0;
27;AAA;Buy to Open;1.0;$538.00;11/24/20, 9:35 AM;;$62.04;1.0;
28;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$540.75;11/24/20, 10:10 AM;$2.75;$66.92;0.0;
29;AAA;Buy to Open;1.0;$588.00;11/27/20, 9:35 AM;;$66.03;1.0;
30;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$594.84;11/27/20, 10:05 AM;$6.84;$73.76;0.0;
31;AAA;Buy to Open;1.0;$600.88;11/30/20, 9:35 AM;;$68.45;1.0;
32;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$591.05;11/30/20, 9:55 AM;($9.83);$63.93;0.0;
33;AAA;Buy to Open;1.0;$588.53;12/1/20, 9:35 AM;;$61.97;1.0;
34;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$585.56;12/1/20, 10:10 AM;($2.97);$60.96;0.0;
35;AAA;Buy to Open;1.0;$586.02;12/3/20, 9:35 AM;;$68.68;1.0;
36;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$589.16;12/3/20, 10:00 AM;$3.14;$64.10;0.0;
37;AAA;Buy to Open;1.0;$591.72;12/4/20, 9:40 AM;;$62.53;1.0;
38;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$593.78;12/4/20, 10:25 AM;$2.05;$66.15;0.0;
39;AAA;Buy to Open;1.0;$615.68;12/7/20, 9:35 AM;;$66.27;1.0;
40;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$621.64;12/7/20, 10:05 AM;$5.96;$72.11;0.0;
41;AAA;Buy to Open;1.0;$623.45;12/14/20, 9:35 AM;;$73.36;1.0;
42;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$618.91;12/14/20, 10:00 AM;($4.54);$67.57;0.0;
43;AAA;Buy to Open;1.0;$639.13;12/15/20, 9:40 AM;;$70.99;1.0;
44;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$644.44;12/15/20, 10:35 AM;$5.31;$72.88;0.0;
45;AAA;Buy to Open;1.0;$626.05;12/17/20, 9:35 AM;;$70.59;1.0;
46;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$623.77;12/17/20, 9:40 AM;($2.28);$70.59;0.0;
47;AAA;Buy to Open;1.0;$679.15;12/18/20, 9:35 AM;;$74.44;1.0;
48;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$672.02;12/18/20, 9:55 AM;($7.13);$63.46;0.0;
49;AAA;Buy to Open;1.0;$646.42;12/24/20, 9:40 AM;;$61.97;1.0;
50;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$664.68;12/24/20, 10:40 AM;$18.26;$81.72;0.0;
51;AAA;Buy to Open;1.0;$676.95;12/28/20, 9:35 AM;;$80.17;1.0;
52;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$676.57;12/28/20, 10:05 AM;($0.38);$81.34;0.0;
53;AAA;Buy to Open;1.0;$672.72;12/30/20, 9:35 AM;;$78.33;1.0;
54;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$672.06;12/30/20, 10:05 AM;($0.66);$80.68;0.0;
55;AAA;Buy to Open;1.0;$698.29;12/31/20, 9:35 AM;;$82.77;1.0;
56;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$698.61;12/31/20, 9:45 AM;$0.32;$81.00;0.0;
57;AAA;Buy to Open;1.0;$728.13;1/4/21, 9:35 AM;;$79.72;1.0;
58;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$737.70;1/4/21, 10:05 AM;$9.57;$90.57;0.0;
59;AAA;Buy to Open;1.0;$753.27;1/6/21, 9:35 AM;;$95.56;1.0;
60;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$755.67;1/6/21, 10:05 AM;$2.40;$92.97;0.0;
61;AAA;Buy to Open;1.0;$786.75;1/7/21, 9:40 AM;;$98.99;1.0;
62;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$791.67;1/7/21, 10:05 AM;$4.91;$97.88;0.0;
63;AAA;Buy to Open;1.0;$849.86;1/8/21, 9:35 AM;;$86.91;1.0;
64;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$863.64;1/8/21, 10:05 AM;$13.78;$111.66;0.0;
65;AAA;Buy to Open;1.0;$839.20;1/12/21, 9:40 AM;;$118.14;1.0;
66;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$849.77;1/12/21, 10:05 AM;$10.57;$122.23;0.0;
67;AAA;Buy to Open;1.0;$854.67;1/15/21, 9:35 AM;;$123.11;1.0;
68;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$849.36;1/15/21, 10:05 AM;($5.31);$116.92;0.0;
69;AAA;Buy to Open;1.0;$843.78;1/19/21, 9:40 AM;;$117.91;1.0;
70;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$841.49;1/19/21, 10:00 AM;($2.29);$114.63;0.0;
71;AAA;Buy to Open;1.0;$853.00;1/20/21, 9:35 AM;;$116.66;1.0;
72;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$849.39;1/20/21, 9:55 AM;($3.61);$111.02;0.0;
73;AAA;Buy to Open;1.0;$859.23;1/25/21, 9:35 AM;;$115.36;1.0;
74;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$891.11;1/25/21, 10:10 AM;$31.88;$142.90;0.0;
75;AAA;Buy to Open;1.0;$888.34;1/26/21, 9:35 AM;;$138.74;1.0;
76;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$882.80;1/26/21, 9:55 AM;($5.54);$137.36;0.0;
77;AAA;Buy to Open;1.0;$840.51;1/29/21, 9:35 AM;;$130.13;1.0;
78;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$832.80;1/29/21, 9:40 AM;($7.71);$129.65;0.0;
79;AAA;Buy to Open;1.0;$824.70;2/1/21, 9:35 AM;;$122.59;1.0;
80;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$804.53;2/1/21, 9:50 AM;($20.17);$109.48;0.0;
81;AAA;Buy to Open;1.0;$846.17;2/2/21, 9:35 AM;;$119.93;1.0;
82;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$862.61;2/2/21, 10:05 AM;$16.44;$125.92;0.0;
83;AAA;Buy to Open;1.0;$874.28;2/8/21, 9:35 AM;;$122.97;1.0;
84;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$865.60;2/8/21, 10:00 AM;($8.68);$117.24;0.0;
85;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$816.25;2/16/21, 9:35 AM;$0.00;$121.61;-1.0;
86;AAA;Buy to Open;1.0;$816.25;2/16/21, 9:35 AM;;$117.24;0.0;
87;AAA;Buy to Open;1.0;$811.97;2/16/21, 9:40 AM;;$119.11;1.0;
88;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$794.59;2/16/21, 12:10 PM;($17.38);$99.86;0.0;
89;AAA;Buy to Open;1.0;$792.11;2/19/21, 9:40 AM;;$101.72;1.0;
90;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$790.52;2/19/21, 10:05 AM;($1.59);$98.27;0.0;
91;AAA;Buy to Open;1.0;$719.26;2/24/21, 9:35 AM;;$91.87;1.0;
92;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$709.72;2/24/21, 10:00 AM;($9.54);$88.72;0.0;
93;AAA;Buy to Open;1.0;$694.56;3/1/21, 9:35 AM;;$82.16;1.0;
94;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$703.55;3/1/21, 10:30 AM;$8.99;$97.71;0.0;
95;AAA;Buy to Open;1.0;$599.77;3/8/21, 9:40 AM;;$110.72;1.0;
96;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$596.62;3/8/21, 10:00 AM;($3.15);$94.56;0.0;
97;AAA;Buy to Open;1.0;$605.01;3/9/21, 9:35 AM;;$89.79;1.0;
98;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$612.28;3/9/21, 10:05 AM;$7.27;$101.84;0.0;
99;AAA;Buy to Open;1.0;$711.36;3/10/21, 9:35 AM;;$82.61;1.0;
100;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$702.77;3/10/21, 10:00 AM;($8.59);$93.25;0.0;
101;AAA;Buy to Open;1.0;$696.95;3/11/21, 9:35 AM;;$86.16;1.0;
102;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$689.37;3/11/21, 10:05 AM;($7.58);$85.67;0.0;
103;AAA(,5,TSLA,9,9,10,);Sell to Close;-1.0;$689.57;3/15/21, 9:35 AM;$0.00;$87.10;-1.0;
