Strategy report
Symbol: TSLA
Work Time: 10/28/20, 11:25 AM - 7/14/21, 3:20 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$412.80;10/28/20, 11:25 AM;;$0.37;1.0;
2;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$413.10;10/28/20, 11:30 AM;$0.30;$0.30;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$413.09;10/28/20, 12:10 PM;;$0.33;1.0;
4;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$411.49;10/28/20, 12:30 PM;($1.60);($1.30);0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$409.35;10/28/20, 1:25 PM;;($0.32);1.0;
6;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$410.70;10/28/20, 2:10 PM;$1.35;$0.05;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$410.48;10/29/20, 10:15 AM;;($0.15);1.0;
8;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$410.45;10/29/20, 10:30 AM;($0.03);$0.02;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$409.98;10/29/20, 10:55 AM;;$1.91;1.0;
10;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$416.18;10/29/20, 11:40 AM;$6.20;$6.22;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$413.35;10/29/20, 2:40 PM;;$6.83;1.0;
12;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$412.60;10/29/20, 2:50 PM;($0.75);$5.47;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$413.90;10/29/20, 3:10 PM;;$5.29;1.0;
14;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$413.58;10/29/20, 3:35 PM;($0.32);$5.15;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$393.22;11/2/20, 9:35 AM;;$10.52;1.0;
16;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$402.67;11/2/20, 10:05 AM;$9.45;$14.61;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$397.48;11/2/20, 12:10 PM;;$14.62;1.0;
18;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$397.60;11/2/20, 12:30 PM;$0.12;$14.73;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$395.27;11/2/20, 1:30 PM;;$14.85;1.0;
20;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$392.71;11/2/20, 1:55 PM;($2.56);$12.17;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$396.35;11/2/20, 2:35 PM;;$12.42;1.0;
22;AAA_ExpAvg(,5,TSLA,9,9,360,1,);Sell to Close;-1.0;$396.60;11/2/20, 2:55 PM;$0.25;$12.42;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$397.98;11/2/20, 3:10 PM;;$14.06;1.0;
