Strategy report
Symbol: TSLA
Work Time: 10/28/20, 11:25 AM - 7/14/21, 11:25 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$412.80;10/28/20, 11:25 AM;;$0.37;1.0;
2;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$413.10;10/28/20, 11:30 AM;$0.30;$0.30;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$413.09;10/28/20, 12:10 PM;;$0.33;1.0;
4;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$411.49;10/28/20, 12:30 PM;($1.60);($1.30);0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$410.48;10/29/20, 10:15 AM;;($1.50);1.0;
6;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$410.45;10/29/20, 10:30 AM;($0.03);($1.33);0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$409.98;10/29/20, 10:55 AM;;$0.56;1.0;
8;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$416.18;10/29/20, 11:40 AM;$6.20;$4.87;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$414.33;10/29/20, 1:45 PM;;$4.27;1.0;
10;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$413.73;10/29/20, 1:50 PM;($0.60);$4.27;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$414.48;10/29/20, 2:35 PM;;$3.24;1.0;
12;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$412.60;10/29/20, 2:50 PM;($1.88);$2.39;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$413.90;10/29/20, 3:10 PM;;$2.21;1.0;
14;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$413.58;10/29/20, 3:35 PM;($0.32);$2.07;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$393.22;11/2/20, 9:35 AM;;$7.43;1.0;
16;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$402.67;11/2/20, 10:05 AM;$9.45;$11.52;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$396.35;11/2/20, 2:35 PM;;$11.77;1.0;
18;AAA_ExpAvg(,5,TSLA,9,9,360,6,);Sell to Close;-1.0;$396.60;11/2/20, 2:55 PM;$0.25;$11.77;0.0;
