Strategy report
Symbol: TSLA
Work Time: 11/2/20, 9:35 AM - 7/12/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$393.22;11/2/20, 9:35 AM;;$5.36;1.0;
2;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$402.67;11/2/20, 10:05 AM;$9.45;$9.45;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$407.46;11/3/20, 9:35 AM;;$12.82;1.0;
4;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$416.30;11/3/20, 10:05 AM;$8.85;$18.30;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$433.99;11/4/20, 9:35 AM;;$12.02;1.0;
6;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$424.14;11/4/20, 9:50 AM;($9.85);$8.44;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$429.00;11/5/20, 9:35 AM;;$11.64;1.0;
8;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$437.44;11/5/20, 10:10 AM;$8.44;$16.88;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$432.37;11/9/20, 9:35 AM;;$20.24;1.0;
10;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$448.46;11/9/20, 10:15 AM;$16.09;$32.97;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$413.05;11/11/20, 9:35 AM;;$33.58;1.0;
12;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$415.90;11/11/20, 10:05 AM;$2.85;$35.82;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$451.22;11/17/20, 9:35 AM;;$40.40;1.0;
14;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$447.97;11/17/20, 10:00 AM;($3.25);$32.57;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$449.59;11/18/20, 9:40 AM;;$32.97;1.0;
16;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$453.91;11/18/20, 10:10 AM;$4.32;$36.89;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$492.40;11/19/20, 9:35 AM;;$36.51;1.0;
18;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$504.31;11/19/20, 10:20 AM;$11.91;$48.80;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$500.19;11/20/20, 9:45 AM;;$48.84;1.0;
20;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$500.18;11/20/20, 10:20 AM;($0.01);$48.80;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$513.50;11/23/20, 9:35 AM;;$48.87;1.0;
22;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$521.39;11/23/20, 10:05 AM;$7.89;$56.68;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$538.00;11/24/20, 9:35 AM;;$54.55;1.0;
24;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$540.75;11/24/20, 10:10 AM;$2.75;$59.43;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$588.00;11/27/20, 9:35 AM;;$58.54;1.0;
26;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$594.84;11/27/20, 10:05 AM;$6.84;$66.27;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$600.88;11/30/20, 9:35 AM;;$60.96;1.0;
28;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$591.05;11/30/20, 9:55 AM;($9.83);$56.44;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$588.53;12/1/20, 9:35 AM;;$54.48;1.0;
30;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$585.56;12/1/20, 10:10 AM;($2.97);$53.47;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$586.02;12/3/20, 9:35 AM;;$61.19;1.0;
32;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$589.16;12/3/20, 10:00 AM;$3.14;$56.61;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$615.68;12/7/20, 9:35 AM;;$56.73;1.0;
34;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$621.64;12/7/20, 10:05 AM;$5.96;$62.57;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$623.45;12/14/20, 9:35 AM;;$63.82;1.0;
36;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$618.91;12/14/20, 10:00 AM;($4.54);$58.03;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$639.13;12/15/20, 9:40 AM;;$61.45;1.0;
38;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$644.44;12/15/20, 10:35 AM;$5.31;$63.34;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$626.05;12/17/20, 9:35 AM;;$61.05;1.0;
40;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$623.77;12/17/20, 9:40 AM;($2.28);$61.05;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$679.15;12/18/20, 9:35 AM;;$64.90;1.0;
42;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$672.02;12/18/20, 9:55 AM;($7.13);$53.92;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$676.95;12/28/20, 9:35 AM;;$52.37;1.0;
44;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$676.57;12/28/20, 10:05 AM;($0.38);$53.54;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$666.01;12/29/20, 9:45 AM;;$54.86;1.0;
46;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$661.35;12/29/20, 10:05 AM;($4.66);$48.88;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$672.72;12/30/20, 9:35 AM;;$45.87;1.0;
48;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$672.06;12/30/20, 10:05 AM;($0.66);$48.22;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$698.29;12/31/20, 9:35 AM;;$50.31;1.0;
50;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$698.61;12/31/20, 9:45 AM;$0.32;$48.54;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$728.13;1/4/21, 9:35 AM;;$47.26;1.0;
52;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$737.70;1/4/21, 10:05 AM;$9.57;$58.11;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$753.27;1/6/21, 9:35 AM;;$63.10;1.0;
54;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$755.67;1/6/21, 10:05 AM;$2.40;$60.51;0.0;
55;AAA_ExpAvg;Buy to Open;1.0;$786.75;1/7/21, 9:40 AM;;$66.53;1.0;
56;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$791.67;1/7/21, 10:05 AM;$4.91;$65.42;0.0;
57;AAA_ExpAvg;Buy to Open;1.0;$849.86;1/8/21, 9:35 AM;;$54.45;1.0;
58;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$863.64;1/8/21, 10:05 AM;$13.78;$79.20;0.0;
59;AAA_ExpAvg;Buy to Open;1.0;$839.20;1/12/21, 9:40 AM;;$85.68;1.0;
60;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$849.77;1/12/21, 10:05 AM;$10.57;$89.77;0.0;
61;AAA_ExpAvg;Buy to Open;1.0;$854.67;1/15/21, 9:35 AM;;$90.65;1.0;
62;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$849.36;1/15/21, 10:05 AM;($5.31);$84.46;0.0;
63;AAA_ExpAvg;Buy to Open;1.0;$843.78;1/19/21, 9:40 AM;;$85.45;1.0;
64;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$841.49;1/19/21, 10:00 AM;($2.29);$82.17;0.0;
65;AAA_ExpAvg;Buy to Open;1.0;$853.00;1/20/21, 9:35 AM;;$84.20;1.0;
66;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$849.39;1/20/21, 9:55 AM;($3.61);$78.56;0.0;
67;AAA_ExpAvg;Buy to Open;1.0;$859.23;1/25/21, 9:35 AM;;$82.90;1.0;
68;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$891.11;1/25/21, 10:10 AM;$31.88;$110.44;0.0;
69;AAA_ExpAvg;Buy to Open;1.0;$888.34;1/26/21, 9:35 AM;;$106.28;1.0;
70;AAA_ExpAvg(,5,TSLA,9,9,10,1,);Sell to Close;-1.0;$882.80;1/26/21, 9:55 AM;($5.54);$104.90;0.0;
71;AAA_ExpAvg;Buy to Open;1.0;$824.70;2/1/21, 9:35 AM;;$97.84;1.0;
