Strategy report
Symbol: TSLA
Work Time: 6/2/21, 10:05 AM - 7/15/21, 1:22 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$613.58;6/2/21, 10:05 AM;;$0.54;1.0;
2;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$614.35;6/2/21, 10:12 AM;$0.77;$0.77;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$607.22;6/2/21, 11:30 AM;;$0.27;1.0;
4;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$606.79;6/2/21, 11:31 AM;($0.42);$0.35;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$606.97;6/2/21, 11:37 AM;;$0.67;1.0;
6;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$607.79;6/2/21, 11:44 AM;$0.82;$1.17;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$605.38;6/2/21, 12:07 PM;;$1.45;1.0;
8;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$606.40;6/2/21, 12:17 PM;$1.01;$2.18;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$603.61;6/2/21, 12:54 PM;;$2.08;1.0;
10;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$603.16;6/2/21, 12:56 PM;($0.45);$1.73;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$603.55;6/2/21, 12:59 PM;;$2.44;1.0;
12;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$603.51;6/2/21, 1:05 PM;($0.04);$1.69;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$603.83;6/2/21, 1:10 PM;;$1.88;1.0;
14;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$603.34;6/2/21, 1:13 PM;($0.49);$1.20;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$600.76;6/2/21, 2:01 PM;;$1.90;1.0;
16;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$600.92;6/2/21, 2:07 PM;$0.16;$1.36;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$601.23;6/2/21, 2:20 PM;;$2.24;1.0;
18;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$602.62;6/2/21, 2:27 PM;$1.39;$2.75;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$604.03;6/2/21, 2:32 PM;;$3.12;1.0;
20;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$604.43;6/2/21, 2:35 PM;$0.40;$3.16;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$603.84;6/2/21, 2:53 PM;;$3.42;1.0;
22;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$605.92;6/2/21, 3:01 PM;$2.08;$5.23;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$606.32;6/2/21, 3:07 PM;;$4.81;1.0;
24;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$606.21;6/2/21, 3:12 PM;($0.11);$5.12;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$603.40;6/2/21, 3:30 PM;;$5.74;1.0;
26;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$603.80;6/2/21, 3:37 PM;$0.40;$5.52;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$600.27;6/3/21, 9:58 AM;;$4.77;1.0;
28;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$600.76;6/3/21, 10:01 AM;$0.49;$6.01;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$597.07;6/3/21, 10:22 AM;;$6.66;1.0;
30;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$597.25;6/3/21, 10:29 AM;$0.18;$6.20;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$598.91;6/3/21, 10:50 AM;;$6.12;1.0;
32;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$602.10;6/3/21, 10:57 AM;$3.19;$9.39;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$601.63;6/3/21, 10:58 AM;;$11.38;1.0;
34;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$604.54;6/3/21, 11:00 AM;$2.91;$12.30;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$599.71;6/3/21, 11:24 AM;;$13.07;1.0;
36;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$600.34;6/3/21, 11:32 AM;$0.63;$12.93;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$600.43;6/3/21, 11:44 AM;;$13.69;1.0;
38;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$600.44;6/3/21, 11:46 AM;$0.01;$12.94;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$598.69;6/3/21, 12:00 PM;;$13.14;1.0;
40;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$599.18;6/3/21, 12:07 PM;$0.49;$13.42;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$599.49;6/3/21, 12:18 PM;;$13.93;1.0;
42;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$599.82;6/3/21, 12:23 PM;$0.33;$13.75;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$599.86;6/3/21, 12:28 PM;;$14.53;1.0;
44;AAA_ExpAvg(,1,TSLA,9,9,360,1,);Sell to Close;-1.0;$600.44;6/3/21, 12:34 PM;$0.58;$14.33;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$601.55;6/3/21, 12:45 PM;;$14.36;1.0;
