Strategy report
Symbol: USD/CAD
Work Time: 6/4/21, 5:33 AM - 7/15/21, 9:57 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$1.21273;6/4/21, 5:33 AM;;$0.00;1.0;
2;AAA_ExpAvg(,1,USD/CAD,9,9,360,1,);Sell to Close;-1.0;$1.21281;6/4/21, 5:39 AM;$0.00;$0.00;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$1.21274;6/4/21, 5:50 AM;;$0.00;1.0;
4;AAA_ExpAvg(,1,USD/CAD,9,9,360,1,);Sell to Close;-1.0;$1.2128;6/4/21, 5:56 AM;$0.00;$0.00;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$1.21272;6/4/21, 6:20 AM;;$0.00;1.0;
6;AAA_ExpAvg(,1,USD/CAD,9,9,360,1,);Sell to Close;-1.0;$1.21256;6/4/21, 6:24 AM;$0.00;$0.00;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$1.21265;6/4/21, 6:29 AM;;$0.00;1.0;
8;AAA_ExpAvg(,1,USD/CAD,9,9,360,1,);Sell to Close;-1.0;$1.21284;6/4/21, 6:35 AM;$0.00;$0.00;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$1.21272;6/4/21, 6:45 AM;;$0.00;1.0;
10;AAA_ExpAvg(,1,USD/CAD,9,9,360,1,);Sell to Close;-1.0;$1.21296;6/4/21, 6:51 AM;$0.00;$0.00;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$1.21307;6/4/21, 7:07 AM;;$0.00;1.0;
12;AAA_ExpAvg(,1,USD/CAD,9,9,360,1,);Sell to Close;-1.0;$1.21297;6/4/21, 7:12 AM;$0.00;$0.00;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$1.2115;6/4/21, 8:21 AM;;$0.00;1.0;
14;AAA_ExpAvg(,1,USD/CAD,9,9,360,1,);Sell to Close;-1.0;$1.21274;6/4/21, 8:30 AM;$0.00;$0.00;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$1.21006;6/4/21, 8:37 AM;;$0.00;1.0;
16;AAA_ExpAvg(,1,USD/CAD,9,9,360,1,);Sell to Close;-1.0;$1.20993;6/4/21, 8:43 AM;$0.00;$0.00;0.0;
