Strategy report
Symbol: VTWO
Work Time: 10/27/20, 9:35 AM - 7/9/21, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$64.40;10/27/20, 9:35 AM;;$0.09;1.0;
2;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$64.31;10/27/20, 10:20 AM;($0.09);($0.09);0.0;
3;AAA;Buy to Open;1.0;$62.40;11/2/20, 9:35 AM;;($0.14);1.0;
4;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$62.75;11/2/20, 10:05 AM;$0.35;$0.26;0.0;
5;AAA;Buy to Open;1.0;$63.86;11/3/20, 9:35 AM;;$0.33;1.0;
6;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$64.53;11/3/20, 10:05 AM;$0.67;$0.93;0.0;
7;AAA;Buy to Open;1.0;$65.69;11/5/20, 9:35 AM;;$0.94;1.0;
8;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$66.06;11/5/20, 10:05 AM;$0.36;$1.29;0.0;
9;AAA;Buy to Open;1.0;$66.73;11/6/20, 9:35 AM;;$1.12;1.0;
10;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$66.44;11/6/20, 9:50 AM;($0.30);$0.99;0.0;
11;AAA;Buy to Open;1.0;$70.56;11/9/20, 9:35 AM;;$0.85;1.0;
12;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$69.80;11/9/20, 10:00 AM;($0.77);$0.23;0.0;
13;AAA;Buy to Open;1.0;$68.76;11/10/20, 9:35 AM;;$0.41;1.0;
14;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$69.07;11/10/20, 10:25 AM;$0.32;$0.54;0.0;
15;AAA;Buy to Open;1.0;$69.83;11/11/20, 9:35 AM;;$0.46;1.0;
16;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$69.57;11/11/20, 9:50 AM;($0.26);$0.28;0.0;
17;AAA;Buy to Open;1.0;$69.50;11/13/20, 9:35 AM;;$0.36;1.0;
18;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$69.93;11/13/20, 10:05 AM;$0.43;$0.71;0.0;
19;AAA;Buy to Open;1.0;$71.44;11/16/20, 9:35 AM;;$0.74;1.0;
20;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$71.12;11/16/20, 10:00 AM;($0.32);$0.39;0.0;
21;AAA;Buy to Open;1.0;$72.40;11/18/20, 9:35 AM;;$0.24;1.0;
22;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$72.12;11/18/20, 9:55 AM;($0.28);$0.11;0.0;
23;AAA;Buy to Open;1.0;$72.45;11/23/20, 9:35 AM;;($0.03);1.0;
24;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$72.44;11/23/20, 10:05 AM;$0.00;$0.11;0.0;
25;AAA;Buy to Open;1.0;$73.76;11/24/20, 9:35 AM;;$0.14;1.0;
26;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$74.21;11/24/20, 10:10 AM;$0.45;$0.56;0.0;
27;AAA;Buy to Open;1.0;$74.31;11/27/20, 9:35 AM;;$0.61;1.0;
28;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$74.23;11/27/20, 10:00 AM;($0.08);$0.48;0.0;
29;AAA;Buy to Open;1.0;$73.93;12/1/20, 9:35 AM;;$0.61;1.0;
30;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$74.21;12/1/20, 10:05 AM;$0.28;$0.76;0.0;
31;AAA;Buy to Open;1.0;$74.87;12/4/20, 9:35 AM;;$0.87;1.0;
32;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$75.02;12/4/20, 10:05 AM;$0.15;$0.91;0.0;
33;AAA;Buy to Open;1.0;$75.95;12/7/20, 9:35 AM;;$0.86;1.0;
34;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$76.19;12/7/20, 11:00 AM;$0.23;$1.15;0.0;
35;AAA;Buy to Open;1.0;$76.07;12/8/20, 9:40 AM;;$1.15;1.0;
36;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$76.23;12/8/20, 10:15 AM;$0.16;$1.31;0.0;
37;AAA;Buy to Open;1.0;$77.55;12/9/20, 9:35 AM;;$1.39;1.0;
38;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$77.79;12/9/20, 10:00 AM;$0.24;$1.55;0.0;
39;AAA;Buy to Open;1.0;$78.03;12/14/20, 9:35 AM;;$1.60;1.0;
40;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$77.97;12/14/20, 10:05 AM;($0.05);$1.49;0.0;
41;AAA;Buy to Open;1.0;$79.05;12/16/20, 9:35 AM;;$1.37;1.0;
42;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$78.89;12/16/20, 9:50 AM;($0.16);$1.33;0.0;
43;AAA;Buy to Open;1.0;$79.55;12/18/20, 9:35 AM;;$1.30;1.0;
44;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$79.33;12/18/20, 9:55 AM;($0.22);$1.11;0.0;
45;AAA;Buy to Open;1.0;$78.94;12/22/20, 9:35 AM;;$1.02;1.0;
46;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$79.39;12/22/20, 10:20 AM;$0.45;$1.56;0.0;
47;AAA;Buy to Open;1.0;$80.23;12/23/20, 9:35 AM;;$1.57;1.0;
48;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$80.11;12/23/20, 10:05 AM;($0.12);$1.44;0.0;
49;AAA;Buy to Open;1.0;$80.93;12/28/20, 9:35 AM;;$1.29;1.0;
50;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$81.03;12/28/20, 10:00 AM;$0.10;$1.54;0.0;
51;AAA;Buy to Open;1.0;$78.90;12/30/20, 9:35 AM;;$1.90;1.0;
52;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$79.44;12/30/20, 10:10 AM;$0.55;$2.09;0.0;
53;AAA;Buy to Open;1.0;$79.39;1/4/21, 9:35 AM;;$2.02;1.0;
54;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$79.25;1/4/21, 9:50 AM;($0.14);$1.95;0.0;
55;AAA;Buy to Open;1.0;$78.50;1/5/21, 9:35 AM;;$2.21;1.0;
56;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$79.03;1/5/21, 10:05 AM;$0.54;$2.49;0.0;
57;AAA;Buy to Open;1.0;$80.64;1/6/21, 9:35 AM;;$2.82;1.0;
58;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$81.13;1/6/21, 10:05 AM;$0.49;$2.98;0.0;
59;AAA;Buy to Open;1.0;$83.17;1/7/21, 9:35 AM;;$2.99;1.0;
60;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$83.74;1/7/21, 10:10 AM;$0.56;$3.54;0.0;
61;AAA;Buy to Open;1.0;$84.26;1/8/21, 9:35 AM;;$3.38;1.0;
62;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$84.63;1/8/21, 10:10 AM;$0.37;$3.91;0.0;
63;AAA;Buy to Open;1.0;$84.38;1/12/21, 9:35 AM;;$3.81;1.0;
64;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$84.62;1/12/21, 10:05 AM;$0.24;$4.15;0.0;
65;AAA;Buy to Open;1.0;$85.23;1/13/21, 9:35 AM;;$4.00;1.0;
66;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$85.12;1/13/21, 9:40 AM;($0.11);$4.04;0.0;
67;AAA;Buy to Open;1.0;$85.37;1/14/21, 9:35 AM;;$4.34;1.0;
68;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$86.02;1/14/21, 10:05 AM;$0.65;$4.69;0.0;
69;AAA;Buy to Open;1.0;$85.82;1/19/21, 9:35 AM;;$4.91;1.0;
70;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$85.70;1/19/21, 10:00 AM;($0.12);$4.57;0.0;
71;AAA;Buy to Open;1.0;$86.70;1/20/21, 9:35 AM;;$4.57;1.0;
72;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$87.07;1/20/21, 10:10 AM;$0.37;$4.94;0.0;
73;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$86.35;1/21/21, 9:35 AM;$0.00;$5.44;-1.0;
74;AAA;Buy to Open;1.0;$86.35;1/21/21, 9:35 AM;;$4.94;0.0;
75;AAA;Buy to Open;1.0;$86.84;1/25/21, 9:35 AM;;$4.95;1.0;
76;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$86.72;1/25/21, 9:50 AM;($0.12);$4.82;0.0;
77;AAA;Buy to Open;1.0;$87.10;1/26/21, 9:35 AM;;$4.73;1.0;
78;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$87.04;1/26/21, 9:55 AM;($0.06);$4.76;0.0;
79;AAA;Buy to Open;1.0;$84.36;1/29/21, 9:35 AM;;$4.50;1.0;
80;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$84.01;1/29/21, 9:40 AM;($0.36);$4.40;0.0;
81;AAA;Buy to Open;1.0;$83.71;2/1/21, 9:35 AM;;$4.28;1.0;
82;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$83.40;2/1/21, 10:00 AM;($0.31);$4.09;0.0;
83;AAA;Buy to Open;1.0;$85.74;2/2/21, 9:35 AM;;$4.00;1.0;
84;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$85.43;2/2/21, 9:50 AM;($0.31);$3.78;0.0;
85;AAA;Buy to Open;1.0;$86.85;2/4/21, 9:35 AM;;$3.87;1.0;
86;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$87.50;2/4/21, 10:10 AM;$0.65;$4.43;0.0;
87;AAA;Buy to Open;1.0;$88.90;2/5/21, 9:35 AM;;$4.54;1.0;
88;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$88.79;2/5/21, 10:00 AM;($0.11);$4.32;0.0;
89;AAA;Buy to Open;1.0;$90.39;2/8/21, 9:35 AM;;$4.40;1.0;
90;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$90.88;2/8/21, 10:05 AM;$0.49;$4.81;0.0;
91;AAA;Buy to Open;1.0;$91.75;2/9/21, 9:35 AM;;$4.61;1.0;
92;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$91.50;2/9/21, 9:40 AM;($0.25);$4.56;0.0;
93;AAA;Buy to Open;1.0;$92.56;2/10/21, 9:35 AM;;$4.81;1.0;
94;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$92.75;2/10/21, 10:05 AM;$0.19;$4.76;0.0;
95;AAA;Buy to Open;1.0;$92.48;2/16/21, 9:35 AM;;$4.62;1.0;
96;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$92.08;2/16/21, 9:55 AM;($0.40);$4.36;0.0;
97;AAA;Buy to Open;1.0;$89.93;2/19/21, 9:35 AM;;$4.35;1.0;
98;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$90.50;2/19/21, 10:10 AM;$0.56;$4.92;0.0;
99;AAA;Buy to Open;1.0;$90.36;2/22/21, 9:40 AM;;$4.94;1.0;
100;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$90.79;2/22/21, 10:25 AM;$0.42;$5.35;0.0;
101;AAA;Buy to Open;1.0;$90.11;2/24/21, 9:35 AM;;$5.02;1.0;
102;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$89.98;2/24/21, 10:05 AM;($0.14);$5.21;0.0;
103;AAA;Buy to Open;1.0;$91.65;2/25/21, 9:35 AM;;$5.29;1.0;
104;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$90.46;2/25/21, 11:35 AM;($1.19);$4.02;0.0;
105;AAA;Buy to Open;1.0;$90.34;3/1/21, 9:35 AM;;$3.86;1.0;
106;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$90.56;3/1/21, 10:05 AM;$0.22;$4.24;0.0;
107;AAA;Buy to Open;1.0;$90.12;3/3/21, 9:35 AM;;$3.80;1.0;
108;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$89.84;3/3/21, 9:55 AM;($0.29);$3.95;0.0;
109;AAA;Buy to Open;1.0;$87.04;3/5/21, 9:35 AM;;$3.51;1.0;
110;AAA(,5,VTWO,9,9,10,);Sell to Close;-1.0;$86.49;3/5/21, 9:50 AM;($0.55);$3.40;0.0;
111;AAA;Buy to Open;1.0;$87.95;3/8/21, 9:35 AM;;$4.44;1.0;
