Strategy report
Symbol: V
Work Time: 10/27/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$192.69;10/27/20, 9:35 AM;;$0.62;1.0;
2;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$192.43;10/27/20, 9:55 AM;($0.26);($0.26);0.0;
3;AAA;Buy to Open;1.0;$182.01;10/29/20, 9:35 AM;;($1.73);1.0;
4;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$182.55;10/29/20, 10:25 AM;$0.54;$0.28;0.0;
5;AAA;Buy to Open;1.0;$184.04;11/2/20, 9:35 AM;;$0.76;1.0;
6;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$185.16;11/2/20, 10:05 AM;$1.12;$1.40;0.0;
7;AAA;Buy to Open;1.0;$186.86;11/3/20, 9:40 AM;;$1.85;1.0;
8;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$188.20;11/3/20, 10:10 AM;$1.34;$2.74;0.0;
9;AAA;Buy to Open;1.0;$193.33;11/4/20, 9:35 AM;;$1.63;1.0;
10;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$192.43;11/4/20, 10:05 AM;($0.90);$1.84;0.0;
11;AAA;Buy to Open;1.0;$199.51;11/5/20, 9:35 AM;;$1.87;1.0;
12;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$199.54;11/5/20, 10:05 AM;$0.03;$1.87;0.0;
13;AAA;Buy to Open;1.0;$216.08;11/9/20, 9:35 AM;;$2.08;1.0;
14;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$213.57;11/9/20, 10:00 AM;($2.51);($0.65);0.0;
15;AAA;Buy to Open;1.0;$212.95;11/11/20, 9:40 AM;;($0.12);1.0;
16;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$212.95;11/11/20, 9:45 AM;$0.00;($0.65);0.0;
17;AAA;Buy to Open;1.0;$209.11;11/13/20, 9:40 AM;;($0.23);1.0;
18;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$208.57;11/13/20, 10:00 AM;($0.54);($1.19);0.0;
19;AAA;Buy to Open;1.0;$213.54;11/16/20, 9:35 AM;;($0.98);1.0;
20;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$212.81;11/16/20, 10:00 AM;($0.73);($1.92);0.0;
21;AAA;Buy to Open;1.0;$210.51;11/18/20, 9:45 AM;;($1.72);1.0;
22;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$210.21;11/18/20, 11:15 AM;($0.30);($2.22);0.0;
23;AAA;Buy to Open;1.0;$207.16;11/19/20, 9:45 AM;;($1.44);1.0;
24;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$206.80;11/19/20, 10:15 AM;($0.36);($2.57);0.0;
25;AAA;Buy to Open;1.0;$207.01;11/23/20, 9:35 AM;;($2.15);1.0;
26;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$207.79;11/23/20, 10:05 AM;$0.78;($1.80);0.0;
27;AAA;Buy to Open;1.0;$210.93;11/24/20, 9:35 AM;;($3.24);1.0;
28;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$210.67;11/24/20, 10:10 AM;($0.26);($2.06);0.0;
29;AAA;Buy to Open;1.0;$210.17;11/25/20, 9:45 AM;;($2.03);1.0;
30;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$210.84;11/25/20, 10:45 AM;$0.67;($1.39);0.0;
31;AAA;Buy to Open;1.0;$212.77;12/1/20, 9:35 AM;;($1.80);1.0;
32;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$212.32;12/1/20, 10:00 AM;($0.45);($1.84);0.0;
33;AAA;Buy to Open;1.0;$210.20;12/3/20, 9:45 AM;;($1.55);1.0;
34;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$211.00;12/3/20, 10:15 AM;$0.80;($1.04);0.0;
35;AAA;Buy to Open;1.0;$209.18;12/4/20, 9:35 AM;;($0.96);1.0;
36;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$209.47;12/4/20, 10:10 AM;$0.29;($0.75);0.0;
37;AAA;Buy to Open;1.0;$212.63;12/7/20, 9:35 AM;;($0.18);1.0;
38;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$213.82;12/7/20, 10:10 AM;$1.19;$0.44;0.0;
39;AAA;Buy to Open;1.0;$211.80;12/8/20, 9:40 AM;;$0.63;1.0;
40;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$212.12;12/8/20, 10:20 AM;$0.32;$0.76;0.0;
41;AAA;Buy to Open;1.0;$208.59;12/10/20, 9:40 AM;;$0.45;1.0;
42;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$208.33;12/10/20, 10:15 AM;($0.26);$0.50;0.0;
43;AAA;Buy to Open;1.0;$207.59;12/14/20, 9:35 AM;;$1.22;1.0;
44;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$210.41;12/14/20, 10:10 AM;$2.82;$3.32;0.0;
45;AAA;Buy to Open;1.0;$208.54;12/15/20, 9:35 AM;;$3.13;1.0;
46;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$207.81;12/15/20, 9:55 AM;($0.73);$2.59;0.0;
47;AAA;Buy to Open;1.0;$210.29;12/17/20, 9:35 AM;;$3.04;1.0;
48;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$211.25;12/17/20, 10:10 AM;$0.96;$3.55;0.0;
49;AAA;Buy to Open;1.0;$211.91;12/18/20, 9:40 AM;;$2.53;1.0;
50;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$211.91;12/18/20, 9:45 AM;$0.00;$3.55;0.0;
51;AAA;Buy to Open;1.0;$207.37;12/24/20, 9:35 AM;;$3.52;1.0;
52;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$207.91;12/24/20, 10:10 AM;$0.54;$4.09;0.0;
53;AAA;Buy to Open;1.0;$209.67;12/28/20, 9:35 AM;;$4.77;1.0;
54;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$210.90;12/28/20, 10:05 AM;$1.23;$5.32;0.0;
55;AAA;Buy to Open;1.0;$214.50;12/29/20, 9:35 AM;;$5.04;1.0;
56;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$214.89;12/29/20, 10:00 AM;$0.39;$5.71;0.0;
57;AAA;Buy to Open;1.0;$216.15;12/30/20, 9:35 AM;;$5.87;1.0;
58;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$218.33;12/30/20, 10:15 AM;$2.18;$7.90;0.0;
59;AAA;Buy to Open;1.0;$217.37;1/5/21, 9:35 AM;;$8.52;1.0;
60;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$217.81;1/5/21, 9:50 AM;$0.44;$8.34;0.0;
61;AAA;Buy to Open;1.0;$213.65;1/6/21, 9:40 AM;;$8.76;1.0;
62;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$215.34;1/6/21, 10:25 AM;$1.69;$10.02;0.0;
63;AAA;Buy to Open;1.0;$215.79;1/8/21, 9:35 AM;;$10.05;1.0;
64;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$215.36;1/8/21, 10:05 AM;($0.43);$9.59;0.0;
65;AAA;Buy to Open;1.0;$210.81;1/13/21, 9:35 AM;;$9.11;1.0;
66;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$209.91;1/13/21, 10:00 AM;($0.90);$8.69;0.0;
67;AAA;Buy to Open;1.0;$210.89;1/14/21, 9:40 AM;;$8.05;1.0;
68;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$210.08;1/14/21, 9:55 AM;($0.81);$7.88;0.0;
69;AAA;Buy to Open;1.0;$203.36;1/19/21, 9:35 AM;;$7.21;1.0;
70;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$202.18;1/19/21, 10:00 AM;($1.18);$6.70;0.0;
71;AAA;Buy to Open;1.0;$203.72;1/20/21, 9:35 AM;;$7.21;1.0;
72;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$204.02;1/20/21, 10:00 AM;$0.30;$7.00;0.0;
73;AAA;Buy to Open;1.0;$206.55;1/21/21, 9:40 AM;;$6.29;1.0;
74;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$206.56;1/21/21, 10:30 AM;$0.01;$7.01;0.0;
75;AAA;Buy to Open;1.0;$201.74;1/26/21, 9:35 AM;;$7.35;1.0;
76;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$202.34;1/26/21, 10:05 AM;$0.60;$7.61;0.0;
77;AAA;Buy to Open;1.0;$201.22;1/28/21, 9:35 AM;;$6.97;1.0;
78;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$201.85;1/28/21, 10:05 AM;$0.63;$8.24;0.0;
79;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$197.82;1/29/21, 9:35 AM;($1.81);$8.43;-1.0;
80;AAA;Buy to Open;1.0;$199.63;1/29/21, 9:35 AM;;$6.43;0.0;
81;AAA;Buy to Open;1.0;$196.39;2/1/21, 9:35 AM;;$7.21;1.0;
82;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$196.89;2/1/21, 10:05 AM;$0.50;$6.93;0.0;
83;AAA;Buy to Open;1.0;$202.16;2/2/21, 9:35 AM;;$7.26;1.0;
84;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$202.77;2/2/21, 10:05 AM;$0.61;$7.54;0.0;
85;AAA;Buy to Open;1.0;$202.72;2/3/21, 9:45 AM;;$8.17;1.0;
86;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$202.11;2/3/21, 10:15 AM;($0.61);$6.93;0.0;
87;AAA;Buy to Open;1.0;$204.59;2/4/21, 9:35 AM;;$7.55;1.0;
88;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$206.35;2/4/21, 10:10 AM;$1.76;$8.69;0.0;
89;AAA;Buy to Open;1.0;$209.73;2/5/21, 9:35 AM;;$8.26;1.0;
90;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$209.26;2/5/21, 9:45 AM;($0.47);$8.23;0.0;
91;AAA;Buy to Open;1.0;$210.12;2/8/21, 9:35 AM;;$8.02;1.0;
92;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$209.88;2/8/21, 10:10 AM;($0.24);$7.99;0.0;
93;AAA;Buy to Open;1.0;$205.58;2/9/21, 9:45 AM;;$7.89;1.0;
94;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$206.63;2/9/21, 10:30 AM;$1.05;$9.04;0.0;
95;AAA;Buy to Open;1.0;$206.98;2/10/21, 9:35 AM;;$8.23;1.0;
96;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$206.49;2/10/21, 10:30 AM;($0.49);$8.55;0.0;
97;AAA;Buy to Open;1.0;$208.30;2/11/21, 9:35 AM;;$9.73;1.0;
98;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$211.35;2/11/21, 10:10 AM;$3.05;$11.59;0.0;
99;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$209.36;2/12/21, 9:35 AM;($0.77);$11.32;-1.0;
100;AAA;Buy to Open;1.0;$210.13;2/12/21, 9:35 AM;;$10.82;0.0;
101;AAA;Buy to Open;1.0;$209.57;2/12/21, 9:40 AM;;$10.43;1.0;
102;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$209.51;2/12/21, 11:15 AM;($0.06);$10.76;0.0;
103;AAA;Buy to Open;1.0;$208.90;2/23/21, 9:40 AM;;$10.86;1.0;
104;AAA(,5,V,9,9,10,);Sell to Close;-1.0;$210.58;2/23/21, 10:40 AM;$1.68;$12.44;0.0;
