Strategy report
Symbol: V
Work Time: 11/2/20, 9:35 AM - 7/15/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$184.04;11/2/20, 9:35 AM;;$0.48;1.0;
2;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$185.82;11/2/20, 10:05 AM;$1.78;$1.78;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$186.86;11/3/20, 9:40 AM;;$2.22;1.0;
4;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$188.06;11/3/20, 10:10 AM;$1.20;$2.97;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$193.33;11/4/20, 9:35 AM;;$1.86;1.0;
6;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$193.16;11/4/20, 10:05 AM;($0.17);$2.80;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$199.51;11/5/20, 9:35 AM;;$2.83;1.0;
8;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$199.97;11/5/20, 10:05 AM;$0.46;$3.26;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$216.08;11/9/20, 9:35 AM;;$3.48;1.0;
10;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$212.44;11/9/20, 10:00 AM;($3.64);($0.38);0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$212.95;11/11/20, 9:40 AM;;$0.15;1.0;
12;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$213.54;11/11/20, 9:45 AM;$0.59;$0.21;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$209.11;11/13/20, 9:40 AM;;$0.62;1.0;
14;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$208.52;11/13/20, 10:00 AM;($0.59);($0.38);0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$213.54;11/16/20, 9:35 AM;;($0.17);1.0;
16;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$213.29;11/16/20, 10:00 AM;($0.25);($0.63);0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$207.16;11/19/20, 9:45 AM;;$0.15;1.0;
18;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$206.35;11/19/20, 10:15 AM;($0.81);($1.44);0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$207.01;11/23/20, 9:35 AM;;($1.02);1.0;
20;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$207.63;11/23/20, 10:05 AM;$0.62;($0.82);0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$210.93;11/24/20, 9:35 AM;;($2.26);1.0;
22;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$211.73;11/24/20, 10:10 AM;$0.80;($0.02);0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$212.77;12/1/20, 9:35 AM;;($0.43);1.0;
24;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$212.50;12/1/20, 10:00 AM;($0.27);($0.29);0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$210.20;12/3/20, 9:45 AM;;$0.00;1.0;
26;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$210.79;12/3/20, 10:15 AM;$0.59;$0.30;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$209.18;12/4/20, 9:35 AM;;$0.38;1.0;
28;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$209.84;12/4/20, 10:10 AM;$0.66;$0.96;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$212.63;12/7/20, 9:35 AM;;$1.53;1.0;
30;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$213.98;12/7/20, 10:10 AM;$1.35;$2.31;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$207.59;12/14/20, 9:35 AM;;$3.03;1.0;
32;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$210.30;12/14/20, 10:10 AM;$2.70;$5.02;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$208.54;12/15/20, 9:35 AM;;$4.83;1.0;
34;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$207.43;12/15/20, 9:55 AM;($1.11);$3.91;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$210.29;12/17/20, 9:35 AM;;$4.36;1.0;
36;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$211.05;12/17/20, 10:10 AM;$0.76;$4.67;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$207.37;12/24/20, 9:35 AM;;$4.64;1.0;
38;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$207.89;12/24/20, 10:10 AM;$0.52;$5.19;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$209.67;12/28/20, 9:35 AM;;$5.87;1.0;
40;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$210.91;12/28/20, 10:05 AM;$1.24;$6.43;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$214.50;12/29/20, 9:35 AM;;$6.15;1.0;
42;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$214.06;12/29/20, 10:00 AM;($0.44);$5.99;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$216.15;12/30/20, 9:35 AM;;$6.15;1.0;
44;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$218.66;12/30/20, 10:15 AM;$2.51;$8.50;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$217.37;1/5/21, 9:35 AM;;$9.12;1.0;
46;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$218.31;1/5/21, 9:50 AM;$0.94;$9.44;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$215.79;1/8/21, 9:35 AM;;$9.47;1.0;
48;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$215.85;1/8/21, 10:05 AM;$0.06;$9.50;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$210.81;1/13/21, 9:35 AM;;$9.02;1.0;
50;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$209.71;1/13/21, 10:00 AM;($1.10);$8.40;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$210.89;1/14/21, 9:40 AM;;$7.76;1.0;
52;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$209.73;1/14/21, 9:55 AM;($1.16);$7.24;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$203.36;1/19/21, 9:35 AM;;$6.57;1.0;
54;AAA_ExpAvg(,5,V,9,9,10,1,);Sell to Close;-1.0;$202.63;1/19/21, 10:00 AM;($0.73);$6.51;0.0;
