Strategy report
Symbol: WFC
Work Time: 11/2/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$21.58;11/2/20, 9:35 AM;;($0.11);1.0;
2;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$21.20;11/2/20, 9:45 AM;($0.38);($0.38);0.0;
3;AAA;Buy to Open;1.0;$22.37;11/3/20, 9:35 AM;;($0.39);1.0;
4;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$22.36;11/3/20, 10:05 AM;($0.01);($0.39);0.0;
5;AAA;Buy to Open;1.0;$22.06;11/5/20, 9:35 AM;;($0.44);1.0;
6;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$22.37;11/5/20, 10:40 AM;$0.31;($0.08);0.0;
7;AAA;Buy to Open;1.0;$24.45;11/9/20, 9:35 AM;;($0.06);1.0;
8;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$24.23;11/9/20, 10:05 AM;($0.22);($0.30);0.0;
9;AAA;Buy to Open;1.0;$24.21;11/10/20, 9:40 AM;;($0.44);1.0;
10;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$24.29;11/10/20, 10:30 AM;$0.08;($0.22);0.0;
11;AAA;Buy to Open;1.0;$24.42;11/11/20, 9:35 AM;;($0.31);1.0;
12;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$24.30;11/11/20, 9:55 AM;($0.12);($0.34);0.0;
13;AAA;Buy to Open;1.0;$23.89;11/13/20, 9:35 AM;;($0.36);1.0;
14;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$23.83;11/13/20, 9:55 AM;($0.06);($0.40);0.0;
15;AAA;Buy to Open;1.0;$24.86;11/16/20, 9:35 AM;;($0.40);1.0;
16;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$24.79;11/16/20, 10:05 AM;($0.07);($0.47);0.0;
17;AAA;Buy to Open;1.0;$24.74;11/17/20, 9:35 AM;;($0.47);1.0;
18;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$24.74;11/17/20, 9:40 AM;$0.00;($0.47);0.0;
19;AAA;Buy to Open;1.0;$25.35;11/18/20, 9:35 AM;;($0.29);1.0;
20;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$25.86;11/18/20, 10:05 AM;$0.50;$0.03;0.0;
21;AAA;Buy to Open;1.0;$25.30;11/19/20, 9:35 AM;;$0.30;1.0;
22;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$25.82;11/19/20, 10:10 AM;$0.52;$0.55;0.0;
23;AAA;Buy to Open;1.0;$26.01;11/23/20, 9:35 AM;;$0.57;1.0;
24;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$26.19;11/23/20, 10:10 AM;$0.18;$0.73;0.0;
25;AAA;Buy to Open;1.0;$27.82;11/24/20, 9:35 AM;;$0.67;1.0;
26;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$28.21;11/24/20, 10:05 AM;$0.38;$1.12;0.0;
27;AAA;Buy to Open;1.0;$28.47;11/25/20, 9:40 AM;;$1.17;1.0;
28;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$28.33;11/25/20, 10:15 AM;($0.14);$0.98;0.0;
29;AAA;Buy to Open;1.0;$28.12;12/1/20, 9:35 AM;;$1.23;1.0;
30;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$28.42;12/1/20, 10:05 AM;$0.30;$1.28;0.0;
31;AAA;Buy to Open;1.0;$28.06;12/2/20, 9:40 AM;;$1.35;1.0;
32;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$28.22;12/2/20, 10:20 AM;$0.16;$1.43;0.0;
33;AAA;Buy to Open;1.0;$28.93;12/3/20, 9:35 AM;;$1.52;1.0;
34;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$29.32;12/3/20, 10:55 AM;$0.39;$1.82;0.0;
35;AAA;Buy to Open;1.0;$29.69;12/4/20, 9:35 AM;;$2.06;1.0;
36;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$29.68;12/4/20, 10:05 AM;($0.01);$1.81;0.0;
37;AAA;Buy to Open;1.0;$29.72;12/14/20, 9:35 AM;;$1.66;1.0;
38;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$29.39;12/14/20, 10:00 AM;($0.33);$1.48;0.0;
39;AAA;Buy to Open;1.0;$29.09;12/15/20, 9:35 AM;;$1.53;1.0;
40;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$28.95;12/15/20, 10:00 AM;($0.14);$1.35;0.0;
41;AAA;Buy to Open;1.0;$29.69;12/17/20, 9:40 AM;;$1.28;1.0;
42;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$29.73;12/17/20, 10:35 AM;$0.05;$1.39;0.0;
43;AAA;Buy to Open;1.0;$29.46;12/21/20, 9:40 AM;;$1.70;1.0;
44;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$29.43;12/21/20, 10:05 AM;($0.03);$1.36;0.0;
45;AAA;Buy to Open;1.0;$29.59;12/23/20, 9:35 AM;;$1.28;1.0;
46;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$29.88;12/23/20, 10:10 AM;$0.29;$1.66;0.0;
47;AAA;Buy to Open;1.0;$30.06;12/28/20, 9:35 AM;;$1.53;1.0;
48;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$30.48;12/28/20, 10:30 AM;$0.42;$2.07;0.0;
49;AAA;Buy to Open;1.0;$29.99;12/29/20, 9:35 AM;;$2.03;1.0;
50;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$29.98;12/29/20, 10:05 AM;($0.01);$2.06;0.0;
51;AAA;Buy to Open;1.0;$29.71;12/31/20, 9:35 AM;;$2.05;1.0;
52;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$30.01;12/31/20, 10:55 AM;$0.30;$2.36;0.0;
53;AAA;Buy to Open;1.0;$30.39;1/4/21, 9:35 AM;;$2.33;1.0;
54;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$30.21;1/4/21, 9:50 AM;($0.18);$2.18;0.0;
55;AAA;Buy to Open;1.0;$30.06;1/5/21, 9:35 AM;;$2.37;1.0;
56;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$30.30;1/5/21, 10:05 AM;$0.25;$2.43;0.0;
57;AAA;Buy to Open;1.0;$31.99;1/6/21, 9:35 AM;;$2.43;1.0;
58;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$32.63;1/6/21, 10:10 AM;$0.64;$3.07;0.0;
59;AAA;Buy to Open;1.0;$33.56;1/7/21, 9:35 AM;;$2.97;1.0;
60;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$33.98;1/7/21, 10:10 AM;$0.42;$3.49;0.0;
61;AAA;Buy to Open;1.0;$34.22;1/12/21, 9:35 AM;;$3.19;1.0;
62;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$33.94;1/12/21, 10:00 AM;($0.28);$3.21;0.0;
63;AAA;Buy to Open;1.0;$34.03;1/14/21, 9:35 AM;;$3.38;1.0;
64;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$34.81;1/14/21, 10:35 AM;$0.77;$3.98;0.0;
65;AAA;Buy to Open;1.0;$32.79;1/19/21, 9:40 AM;;$4.02;1.0;
66;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$32.76;1/19/21, 10:05 AM;($0.03);$3.95;0.0;
67;AAA;Buy to Open;1.0;$30.67;1/28/21, 9:40 AM;;$4.16;1.0;
68;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$30.43;1/28/21, 10:00 AM;($0.24);$3.71;0.0;
69;AAA;Buy to Open;1.0;$30.56;2/2/21, 9:35 AM;;$3.71;1.0;
70;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$30.95;2/2/21, 10:10 AM;$0.39;$4.10;0.0;
71;AAA;Buy to Open;1.0;$31.03;2/3/21, 9:40 AM;;$4.01;1.0;
72;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$31.19;2/3/21, 10:25 AM;$0.16;$4.26;0.0;
73;AAA;Buy to Open;1.0;$32.24;2/4/21, 9:35 AM;;$4.22;1.0;
74;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$32.70;2/4/21, 10:10 AM;$0.46;$4.72;0.0;
75;AAA;Buy to Open;1.0;$33.17;2/5/21, 9:35 AM;;$4.51;1.0;
76;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$32.89;2/5/21, 9:55 AM;($0.27);$4.44;0.0;
77;AAA;Buy to Open;1.0;$32.95;2/8/21, 9:35 AM;;$4.52;1.0;
78;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$33.39;2/8/21, 10:05 AM;$0.44;$4.88;0.0;
79;AAA;Buy to Open;1.0;$33.46;2/10/21, 9:35 AM;;$4.87;1.0;
80;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$33.65;2/10/21, 10:10 AM;$0.19;$5.07;0.0;
81;AAA;Buy to Open;1.0;$32.96;2/12/21, 9:35 AM;;$5.06;1.0;
82;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$33.15;2/12/21, 10:05 AM;$0.19;$5.26;0.0;
83;AAA;Buy to Open;1.0;$34.09;2/16/21, 9:35 AM;;$5.31;1.0;
84;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$34.31;2/16/21, 10:05 AM;$0.21;$5.48;0.0;
85;AAA;Buy to Open;1.0;$37.36;2/19/21, 9:35 AM;;$5.43;1.0;
86;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$37.40;2/19/21, 10:05 AM;$0.04;$5.51;0.0;
87;AAA;Buy to Open;1.0;$37.81;2/22/21, 9:35 AM;;$5.44;1.0;
88;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$37.61;2/22/21, 10:50 AM;($0.20);$5.31;0.0;
89;AAA;Buy to Open;1.0;$37.51;2/24/21, 9:35 AM;;$5.73;1.0;
90;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$37.89;2/24/21, 10:05 AM;$0.38;$5.69;0.0;
91;AAA;Buy to Open;1.0;$38.56;2/25/21, 9:35 AM;;$5.63;1.0;
92;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$38.26;2/25/21, 9:50 AM;($0.30);$5.39;0.0;
93;AAA;Buy to Open;1.0;$36.89;3/1/21, 9:35 AM;;$5.46;1.0;
94;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$37.20;3/1/21, 10:10 AM;$0.31;$5.70;0.0;
95;AAA;Buy to Open;1.0;$37.60;3/3/21, 9:35 AM;;$5.80;1.0;
96;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$38.28;3/3/21, 10:10 AM;$0.68;$6.38;0.0;
97;AAA;Buy to Open;1.0;$37.96;3/4/21, 9:40 AM;;$6.25;1.0;
98;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$37.62;3/4/21, 10:00 AM;($0.34);$6.04;0.0;
99;AAA;Buy to Open;1.0;$38.00;3/5/21, 9:35 AM;;$5.78;1.0;
100;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$37.49;3/5/21, 9:55 AM;($0.51);$5.53;0.0;
101;AAA;Buy to Open;1.0;$38.07;3/8/21, 9:35 AM;;$5.95;1.0;
102;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$38.06;3/8/21, 10:00 AM;($0.01);$5.52;0.0;
103;AAA;Buy to Open;1.0;$38.81;3/10/21, 9:35 AM;;$5.74;1.0;
104;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$38.95;3/10/21, 10:05 AM;$0.14;$5.66;0.0;
105;AAA;Buy to Open;1.0;$39.71;3/12/21, 9:35 AM;;$5.61;1.0;
106;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$39.79;3/12/21, 10:05 AM;$0.08;$5.74;0.0;
107;AAA;Buy to Open;1.0;$40.14;3/15/21, 9:35 AM;;$5.57;1.0;
108;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$39.95;3/15/21, 9:40 AM;($0.19);$5.55;0.0;
109;AAA;Buy to Open;1.0;$40.17;3/17/21, 9:35 AM;;$5.71;1.0;
110;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$39.80;3/17/21, 9:55 AM;($0.37);$5.19;0.0;
111;AAA;Buy to Open;1.0;$40.60;3/18/21, 9:35 AM;;$5.77;1.0;
112;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$40.93;3/18/21, 10:00 AM;$0.33;$5.51;0.0;
113;AAA;Buy to Open;1.0;$38.62;3/24/21, 9:40 AM;;$5.51;1.0;
114;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$38.40;3/24/21, 9:55 AM;($0.22);$5.29;0.0;
115;AAA;Buy to Open;1.0;$40.10;3/26/21, 9:35 AM;;$5.15;1.0;
116;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$39.90;3/26/21, 10:00 AM;($0.20);$5.08;0.0;
117;AAA;Buy to Open;1.0;$38.76;3/30/21, 9:35 AM;;$5.09;1.0;
118;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$38.83;3/30/21, 10:05 AM;$0.07;$5.16;0.0;
119;AAA;Buy to Open;1.0;$39.50;3/31/21, 9:40 AM;;$5.09;1.0;
120;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$38.98;3/31/21, 11:30 AM;($0.52);$4.64;0.0;
121;AAA;Buy to Open;1.0;$39.25;4/1/21, 9:35 AM;;$4.54;1.0;
122;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$39.48;4/1/21, 10:40 AM;$0.23;$4.86;0.0;
123;AAA;Buy to Open;1.0;$40.19;4/5/21, 9:35 AM;;$4.68;1.0;
124;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$39.86;4/5/21, 9:55 AM;($0.33);$4.53;0.0;
125;AAA;Buy to Open;1.0;$39.71;4/6/21, 9:35 AM;;$4.51;1.0;
126;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$39.78;4/6/21, 10:05 AM;$0.07;$4.61;0.0;
127;AAA;Buy to Open;1.0;$39.99;4/7/21, 9:35 AM;;$4.64;1.0;
128;AAA(,5,WFC,9,9,10,);Sell to Close;-1.0;$39.87;4/7/21, 9:50 AM;($0.13);$4.48;0.0;
129;AAA;Buy to Open;1.0;$40.35;4/9/21, 9:35 AM;;$4.62;1.0;
