Strategy report
Symbol: WMT
Work Time: 10/28/20, 2:30 PM - 7/15/21, 1:40 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$141.02;10/28/20, 2:30 PM;;($0.12);1.0;
2;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$141.05;10/28/20, 3:00 PM;$0.03;$0.03;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$140.91;10/28/20, 3:10 PM;;$0.07;1.0;
4;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$140.98;10/28/20, 3:40 PM;$0.07;$0.10;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$139.81;10/29/20, 9:55 AM;;$0.42;1.0;
6;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$140.67;10/29/20, 10:40 AM;$0.85;$0.95;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$139.77;10/29/20, 12:15 PM;;$0.99;1.0;
8;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$139.93;10/29/20, 1:05 PM;$0.16;$1.11;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$140.29;10/29/20, 1:35 PM;;$1.17;1.0;
10;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$140.85;10/29/20, 2:10 PM;$0.56;$1.67;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$140.83;10/29/20, 2:15 PM;;$1.91;1.0;
12;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$141.06;10/29/20, 2:20 PM;$0.23;$1.90;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$139.14;10/30/20, 12:20 PM;;$2.07;1.0;
14;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$139.03;10/30/20, 12:35 PM;($0.11);$1.79;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$140.09;11/2/20, 9:35 AM;;$1.34;1.0;
16;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$140.02;11/2/20, 10:00 AM;($0.07);$1.72;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$140.45;11/2/20, 11:40 AM;;$1.97;1.0;
18;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$140.36;11/2/20, 12:05 PM;($0.09);$1.63;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$139.81;11/2/20, 2:55 PM;;$1.76;1.0;
20;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$140.31;11/2/20, 3:30 PM;$0.50;$2.13;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$142.56;11/3/20, 9:35 AM;;$1.93;1.0;
22;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$143.20;11/3/20, 10:05 AM;$0.64;$2.77;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$143.04;11/3/20, 12:30 PM;;$2.90;1.0;
24;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$142.81;11/3/20, 1:00 PM;($0.23);$2.54;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$143.07;11/3/20, 3:35 PM;;$2.58;1.0;
26;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$141.57;11/4/20, 9:30 AM;($1.50);$1.04;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$143.30;11/4/20, 9:55 AM;;$1.22;1.0;
28;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$142.66;11/4/20, 10:15 AM;($0.65);$0.40;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$143.30;11/4/20, 10:55 AM;;$0.34;1.0;
30;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$142.78;11/4/20, 11:10 AM;($0.52);($0.12);0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$143.12;11/4/20, 11:35 AM;;($0.13);1.0;
32;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$144.12;11/4/20, 12:35 PM;$1.00;$0.88;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$143.72;11/4/20, 1:35 PM;;$0.99;1.0;
34;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$143.53;11/4/20, 1:45 PM;($0.19);$0.69;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$143.13;11/5/20, 9:35 AM;;$0.88;1.0;
36;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$143.15;11/5/20, 10:05 AM;$0.03;$0.71;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$144.12;11/5/20, 11:15 AM;;$0.72;1.0;
38;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$144.05;11/5/20, 11:25 AM;($0.06);$0.65;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$143.28;11/5/20, 12:40 PM;;$0.77;1.0;
40;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$143.35;11/5/20, 1:15 PM;$0.07;$0.72;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$143.62;11/5/20, 1:45 PM;;$0.70;1.0;
42;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$143.60;11/5/20, 2:05 PM;($0.02);$0.70;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$144.45;11/6/20, 9:35 AM;;$0.38;1.0;
44;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$145.71;11/6/20, 10:15 AM;$1.26;$1.96;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$145.19;11/6/20, 11:35 AM;;$2.17;1.0;
46;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$145.18;11/6/20, 12:05 PM;($0.01);$1.95;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$144.66;11/6/20, 1:30 PM;;$1.99;1.0;
48;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$144.72;11/6/20, 2:00 PM;$0.06;$2.01;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$144.89;11/6/20, 2:25 PM;;$2.05;1.0;
50;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$144.84;11/6/20, 2:40 PM;($0.05);$1.96;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$145.06;11/6/20, 2:55 PM;;$2.32;1.0;
52;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$145.85;11/6/20, 3:35 PM;$0.79;$2.75;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$146.74;11/9/20, 9:45 AM;;$2.89;1.0;
54;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$146.29;11/9/20, 10:05 AM;($0.45);$2.30;0.0;
55;AAA_ExpAvg;Buy to Open;1.0;$146.31;11/9/20, 10:35 AM;;$2.11;1.0;
56;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$146.67;11/9/20, 11:20 AM;$0.36;$2.66;0.0;
57;AAA_ExpAvg;Buy to Open;1.0;$145.88;11/9/20, 12:20 PM;;$3.05;1.0;
58;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$145.99;11/9/20, 12:50 PM;$0.11;$2.77;0.0;
59;AAA_ExpAvg;Buy to Open;1.0;$146.32;11/9/20, 1:20 PM;;$2.72;1.0;
60;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$146.19;11/9/20, 1:35 PM;($0.13);$2.64;0.0;
61;AAA_ExpAvg;Buy to Open;1.0;$144.43;11/10/20, 9:45 AM;;$2.62;1.0;
62;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$145.42;11/10/20, 10:35 AM;$0.99;$3.63;0.0;
63;AAA_ExpAvg;Buy to Open;1.0;$145.31;11/10/20, 11:05 AM;;$3.81;1.0;
64;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$145.41;11/10/20, 11:35 AM;$0.10;$3.74;0.0;
65;AAA_ExpAvg;Buy to Open;1.0;$145.90;11/10/20, 1:00 PM;;$3.91;1.0;
66;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$146.04;11/10/20, 1:30 PM;$0.14;$3.88;0.0;
67;AAA_ExpAvg;Buy to Open;1.0;$146.17;11/10/20, 1:45 PM;;$4.00;1.0;
68;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$146.24;11/10/20, 2:05 PM;$0.07;$3.95;0.0;
69;AAA_ExpAvg;Buy to Open;1.0;$146.76;11/11/20, 9:35 AM;;$3.96;1.0;
70;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$147.05;11/11/20, 10:05 AM;$0.29;$4.24;0.0;
71;AAA_ExpAvg;Buy to Open;1.0;$147.89;11/11/20, 10:25 AM;;$4.34;1.0;
72;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$147.90;11/11/20, 10:40 AM;$0.01;$4.24;0.0;
73;AAA_ExpAvg;Buy to Open;1.0;$148.50;11/11/20, 11:15 AM;;$4.48;1.0;
74;AAA_ExpAvg(,5,WMT,9,9,360,1,);Sell to Close;-1.0;$148.75;11/11/20, 11:20 AM;$0.25;$4.49;0.0;
75;AAA_ExpAvg;Buy to Open;1.0;$148.47;11/11/20, 12:05 PM;;$4.58;1.0;
