Strategy report
Symbol: AMC
Work Time: 6/11/21, 9:31 AM - 6/18/21, 11:52 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperTrendStrategy(Buy);Buy to Open;100.0;$45.25;6/11/21, 9:31 AM;;$36.69;100.0;
2;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$44.26;6/11/21, 9:34 AM;($98.03);($98.03);0.0;
3;SuperTrendStrategy(Buy);Buy to Open;100.0;$43.27;6/11/21, 9:54 AM;;($111.73);100.0;
4;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$42.68;6/11/21, 10:14 AM;($59.00);($157.03);0.0;
5;SuperTrendStrategy(Buy);Buy to Open;100.0;$43.27;6/11/21, 10:33 AM;;($151.66);100.0;
6;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$44.66;6/11/21, 10:50 AM;$139.38;($17.65);0.0;
7;SuperTrendStrategy(Buy);Buy to Open;100.0;$44.80;6/11/21, 10:51 AM;;($9.99);100.0;
8;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$44.17;6/11/21, 11:04 AM;($62.88);($80.53);0.0;
9;SuperTrendStrategy(Buy);Buy to Open;100.0;$43.55;6/11/21, 11:21 AM;;($71.31);100.0;
10;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$44.81;6/11/21, 12:51 PM;$126.00;$45.47;0.0;
11;SuperTrendStrategy(Buy);Buy to Open;100.0;$45.05;6/11/21, 12:52 PM;;$31.08;100.0;
12;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$46.35;6/11/21, 12:59 PM;$129.61;$175.08;0.0;
13;SuperTrendStrategy(Buy);Buy to Open;100.0;$46.35;6/11/21, 1:00 PM;;$197.28;100.0;
14;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$47.88;6/11/21, 1:11 PM;$153.50;$328.58;0.0;
15;SuperTrendStrategy(Buy);Buy to Open;100.0;$47.86;6/11/21, 1:12 PM;;$321.44;100.0;
16;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$47.11;6/11/21, 1:19 PM;($75.04);$253.54;0.0;
17;SuperTrendStrategy(Buy);Buy to Open;100.0;$47.66;6/11/21, 1:24 PM;;$216.83;100.0;
18;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$47.14;6/11/21, 1:39 PM;($52.21);$201.33;0.0;
19;SuperTrendStrategy(Buy);Buy to Open;100.0;$47.21;6/11/21, 1:40 PM;;$196.58;100.0;
20;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$48.73;6/11/21, 1:50 PM;$152.24;$353.57;0.0;
21;SuperTrendStrategy(Buy);Buy to Open;100.0;$49.19;6/11/21, 1:51 PM;;$308.29;100.0;
22;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$48.62;6/11/21, 1:53 PM;($56.80);$296.77;0.0;
23;SuperTrendStrategy(Buy);Buy to Open;100.0;$48.59;6/11/21, 1:54 PM;;$269.78;100.0;
24;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$47.93;6/11/21, 2:04 PM;($66.18);$230.59;0.0;
25;SuperTrendStrategy(Buy);Buy to Open;100.0;$48.35;6/11/21, 2:14 PM;;$221.79;100.0;
26;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$47.80;6/11/21, 2:18 PM;($54.80);$175.79;0.0;
27;SuperTrendStrategy(Buy);Buy to Open;100.0;$47.93;6/11/21, 2:19 PM;;$164.79;100.0;
28;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$47.21;6/11/21, 2:22 PM;($71.55);$104.24;0.0;
29;SuperTrendStrategy(Buy);Buy to Open;100.0;$47.43;6/11/21, 2:27 PM;;$97.91;100.0;
30;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$46.41;6/11/21, 2:41 PM;($102.00);$2.24;0.0;
