Strategy report
Symbol: AAPL
Work Time: 5/13/21, 9:40 AM - 6/25/21, 10:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$125.09;5/13/21, 9:40 AM;;($0.13);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$124.52;5/13/21, 9:50 AM;($0.57);($0.57);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$125.22;5/13/21, 9:55 AM;;($0.44);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$125.33;5/13/21, 10:20 AM;$0.11;($0.46);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$125.53;5/13/21, 12:35 PM;;($0.62);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$125.37;5/13/21, 12:45 PM;($0.16);($0.62);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$125.30;5/13/21, 2:20 PM;;($0.59);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$125.50;5/13/21, 2:55 PM;$0.20;($0.42);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$125.69;5/13/21, 3:35 PM;;($0.40);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$125.25;5/13/21, 3:55 PM;($0.44);($0.85);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$126.60;5/14/21, 9:40 AM;;($1.00);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$126.07;5/14/21, 9:50 AM;($0.53);($1.39);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$126.57;5/14/21, 10:20 AM;;($1.51);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$126.45;5/14/21, 10:25 AM;($0.12);($1.50);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$126.85;5/14/21, 12:20 PM;;($1.48);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$127.05;5/14/21, 1:20 PM;$0.19;($1.31);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$127.16;5/14/21, 1:30 PM;;($1.38);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$127.09;5/14/21, 1:35 PM;($0.07);($1.38);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$127.34;5/14/21, 2:15 PM;;($1.41);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$127.33;5/14/21, 2:25 PM;($0.01);($1.39);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$127.48;5/14/21, 2:40 PM;;($1.35);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$127.53;5/14/21, 3:00 PM;$0.05;($1.34);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$127.63;5/14/21, 3:55 PM;;($1.52);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$126.82;5/17/21, 9:30 AM;($0.81);($2.15);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$125.70;5/17/21, 3:10 PM;;($2.13);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$125.54;5/17/21, 3:25 PM;($0.15);($2.31);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$125.81;5/17/21, 3:50 PM;;($2.18);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$126.54;5/18/21, 9:55 AM;$0.72;($1.58);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$126.72;5/18/21, 10:35 AM;;($1.64);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$126.66;5/18/21, 10:40 AM;($0.06);($1.64);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$124.17;5/19/21, 12:25 PM;;($1.67);1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$123.96;5/19/21, 12:45 PM;($0.21);($1.86);0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$124.31;5/19/21, 1:15 PM;;($1.89);1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$124.15;5/19/21, 1:25 PM;($0.17);($2.03);0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$124.30;5/19/21, 1:55 PM;;($2.07);1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$123.95;5/19/21, 2:05 PM;($0.35);($2.38);0.0;
