Strategy report
Symbol: AAL
Work Time: 10/8/20, 2:45 PM - 6/24/21, 2:40 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$13.09;10/8/20, 2:45 PM;;($0.01);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$13.07;10/8/20, 2:55 PM;($0.02);($0.02);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$13.10;10/8/20, 3:05 PM;;$0.03;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$13.15;10/8/20, 3:50 PM;$0.05;$0.04;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$13.14;10/9/20, 11:15 AM;;$0.00;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$13.09;10/9/20, 11:30 AM;($0.04);($0.01);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$13.36;10/9/20, 11:50 AM;;($0.03);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$13.41;10/9/20, 12:30 PM;$0.05;$0.05;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$13.48;10/9/20, 12:40 PM;;$0.01;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$13.48;10/9/20, 12:45 PM;$0.00;$0.05;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$12.98;10/12/20, 2:55 PM;;$0.04;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$13.01;10/12/20, 3:35 PM;$0.03;$0.07;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$12.50;10/13/20, 12:50 PM;;$0.09;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$12.50;10/13/20, 1:10 PM;$0.00;$0.07;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$12.47;10/13/20, 1:20 PM;;$0.09;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$12.46;10/13/20, 1:45 PM;($0.02);$0.06;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$12.40;10/14/20, 9:35 AM;;$0.01;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$12.44;10/14/20, 10:10 AM;$0.04;$0.10;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$12.40;10/14/20, 11:20 AM;;$0.15;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$12.45;10/14/20, 11:50 AM;$0.05;$0.15;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$12.41;10/14/20, 12:10 PM;;$0.16;1.0;
