Strategy report
Symbol: AAPL
Work Time: 10/27/20, 9:35 AM - 7/6/21, 2:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;$0.21;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.16;10/27/20, 9:50 AM;$0.41;$0.41;0.0;
3;MacdPerfect;Buy to Open;1.0;$116.26;10/27/20, 2:25 PM;;$0.44;1.0;
4;MacdPerfect;Sell to Close;-1.0;$116.11;10/27/20, 3:10 PM;($0.15);$0.26;0.0;
5;MacdPerfect;Buy to Open;1.0;$115.04;10/28/20, 9:30 AM;;($0.70);1.0;
6;MacdPerfect;Sell to Close;-1.0;$114.09;10/28/20, 9:35 AM;($0.95);($0.69);0.0;
7;MacdPerfect;Buy to Open;1.0;$110.20;11/3/20, 2:15 PM;;($0.73);1.0;
8;MacdPerfect;Sell to Close;-1.0;$110.81;11/3/20, 3:45 PM;$0.61;($0.08);0.0;
9;MacdPerfect;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;($1.19);1.0;
10;MacdPerfect;Sell to Close;-1.0;$112.75;11/4/20, 9:40 AM;($1.10);($1.18);0.0;
11;MacdPerfect;Buy to Open;1.0;$113.44;11/4/20, 9:45 AM;;($1.58);1.0;
12;MacdPerfect;Sell to Close;-1.0;$113.03;11/4/20, 9:50 AM;($0.41);($1.59);0.0;
13;MacdPerfect;Buy to Open;1.0;$112.97;11/4/20, 9:55 AM;;($1.01);1.0;
14;MacdPerfect;Sell to Close;-1.0;$114.93;11/4/20, 10:30 AM;$1.96;$0.37;0.0;
15;MacdPerfect;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$1.03;1.0;
16;MacdPerfect;Sell to Close;-1.0;$118.76;11/5/20, 10:10 AM;$1.29;$1.65;0.0;
17;MacdPerfect;Buy to Open;1.0;$117.83;11/5/20, 12:40 PM;;$1.69;1.0;
18;MacdPerfect;Sell to Close;-1.0;$118.45;11/5/20, 2:10 PM;$0.62;$2.27;0.0;
19;MacdPerfect;Buy to Open;1.0;$116.72;11/6/20, 10:10 AM;;$2.56;1.0;
20;MacdPerfect;Sell to Close;-1.0;$118.79;11/6/20, 12:15 PM;$2.07;$4.34;0.0;
21;MacdPerfect;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$3.54;1.0;
22;MacdPerfect;Sell to Close;-1.0;$119.09;11/9/20, 9:40 AM;($0.81);$3.53;0.0;
23;MacdPerfect;Buy to Open;1.0;$119.38;11/9/20, 9:45 AM;;$4.41;1.0;
24;MacdPerfect;Sell to Close;-1.0;$119.65;11/9/20, 9:55 AM;$0.27;$3.80;0.0;
25;MacdPerfect;Buy to Open;1.0;$119.73;11/9/20, 10:00 AM;;$4.96;1.0;
26;MacdPerfect;Sell to Close;-1.0;$121.16;11/9/20, 10:40 AM;$1.43;$5.23;0.0;
27;MacdPerfect;Buy to Open;1.0;$120.68;11/9/20, 12:25 PM;;$5.20;1.0;
28;MacdPerfect;Sell to Close;-1.0;$120.28;11/9/20, 1:20 PM;($0.40);$4.83;0.0;
29;MacdPerfect;Buy to Open;1.0;$118.80;11/9/20, 2:40 PM;;$5.15;1.0;
30;MacdPerfect;Sell to Close;-1.0;$118.35;11/9/20, 2:55 PM;($0.45);$4.38;0.0;
31;MacdPerfect;Buy to Open;1.0;$118.54;11/9/20, 3:00 PM;;$4.64;1.0;
32;MacdPerfect;Sell to Close;-1.0;$118.32;11/9/20, 3:25 PM;($0.22);$4.16;0.0;
33;MacdPerfect;Buy to Open;1.0;$119.10;11/12/20, 9:50 AM;;$4.52;1.0;
34;MacdPerfect;Sell to Close;-1.0;$119.91;11/12/20, 10:25 AM;$0.81;$4.97;0.0;
35;MacdPerfect;Buy to Open;1.0;$119.57;11/12/20, 11:55 AM;;$4.99;1.0;
36;MacdPerfect;Sell to Close;-1.0;$119.65;11/12/20, 12:30 PM;$0.08;$5.05;0.0;
37;MacdPerfect;Buy to Open;1.0;$119.01;11/12/20, 1:55 PM;;$5.18;1.0;
38;MacdPerfect;Sell to Close;-1.0;$118.76;11/12/20, 2:15 PM;($0.25);$4.80;0.0;
39;MacdPerfect;Buy to Open;1.0;$119.22;11/12/20, 3:25 PM;;$4.61;1.0;
40;MacdPerfect;Sell to Close;-1.0;$119.03;11/12/20, 3:30 PM;($0.19);$4.61;0.0;
41;MacdPerfect;Buy to Open;1.0;$119.16;11/12/20, 3:35 PM;;$4.70;1.0;
42;MacdPerfect;Sell to Close;-1.0;$119.04;11/12/20, 3:45 PM;($0.13);$4.49;0.0;
43;MacdPerfect;Buy to Open;1.0;$119.45;11/13/20, 9:30 AM;;$4.15;1.0;
44;MacdPerfect;Sell to Close;-1.0;$119.10;11/13/20, 9:35 AM;($0.35);$4.14;0.0;
45;MacdPerfect;Buy to Open;1.0;$119.19;11/13/20, 9:40 AM;;$4.02;1.0;
46;MacdPerfect;Sell to Close;-1.0;$118.66;11/13/20, 9:50 AM;($0.53);$3.61;0.0;
47;MacdPerfect;Buy to Open;1.0;$118.46;11/13/20, 10:20 AM;;$3.65;1.0;
48;MacdPerfect;Sell to Close;-1.0;$118.14;11/13/20, 10:40 AM;($0.32);$3.29;0.0;
49;MacdPerfect;Buy to Open;1.0;$118.29;11/13/20, 10:45 AM;;$3.47;1.0;
50;MacdPerfect;Sell to Close;-1.0;$118.03;11/13/20, 11:00 AM;($0.26);$3.03;0.0;
51;MacdPerfect;Buy to Open;1.0;$119.79;11/16/20, 3:10 PM;;$2.94;1.0;
52;MacdPerfect;Sell to Close;-1.0;$119.93;11/16/20, 3:55 PM;$0.15;$3.17;0.0;
53;MacdPerfect;Buy to Open;1.0;$119.53;11/17/20, 10:10 AM;;$3.25;1.0;
54;MacdPerfect;Sell to Close;-1.0;$120.16;11/17/20, 11:05 AM;$0.63;$3.80;0.0;
55;MacdPerfect;Buy to Open;1.0;$119.77;11/17/20, 3:40 PM;;$3.79;1.0;
56;MacdPerfect;Sell to Close;-1.0;$119.67;11/17/20, 3:50 PM;($0.10);$3.70;0.0;
57;MacdPerfect;Buy to Open;1.0;$115.74;11/25/20, 9:35 AM;;$4.19;1.0;
58;MacdPerfect;Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;$0.08;$3.78;0.0;
59;MacdPerfect;Buy to Open;1.0;$115.82;11/25/20, 10:10 AM;;$4.11;1.0;
60;MacdPerfect;Sell to Close;-1.0;$115.98;11/25/20, 10:30 AM;$0.16;$3.94;0.0;
61;MacdPerfect;Buy to Open;1.0;$116.07;11/25/20, 12:35 PM;;$3.82;1.0;
62;MacdPerfect;Sell to Close;-1.0;$116.02;11/25/20, 1:30 PM;($0.05);$3.89;0.0;
63;MacdPerfect;Buy to Open;1.0;$115.92;11/25/20, 2:20 PM;;$3.96;1.0;
64;MacdPerfect;Sell to Close;-1.0;$115.85;11/25/20, 2:45 PM;($0.07);$3.82;0.0;
65;MacdPerfect;Buy to Open;1.0;$116.17;11/25/20, 3:15 PM;;$3.83;1.0;
66;MacdPerfect;Sell to Close;-1.0;$116.13;11/25/20, 3:40 PM;($0.04);$3.78;0.0;
67;MacdPerfect;Buy to Open;1.0;$117.03;11/27/20, 9:35 AM;;$3.70;1.0;
68;MacdPerfect;Sell to Close;-1.0;$116.86;11/27/20, 9:55 AM;($0.17);$3.61;0.0;
69;MacdPerfect;Buy to Open;1.0;$116.99;11/27/20, 10:00 AM;;$3.48;1.0;
70;MacdPerfect;Sell to Close;-1.0;$116.85;11/27/20, 10:05 AM;($0.14);$3.47;0.0;
71;MacdPerfect;Buy to Open;1.0;$116.80;11/27/20, 10:10 AM;;$3.62;1.0;
72;MacdPerfect;Sell to Close;-1.0;$117.06;11/27/20, 10:40 AM;$0.26;$3.73;0.0;
