Strategy report
Symbol: AAPL
Work Time: 10/26/20, 9:40 AM - 7/9/21, 10:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$115.41;10/26/20, 9:40 AM;;($0.26);1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.15;10/26/20, 9:45 AM;($0.26);($0.26);0.0;
3;MacdPerfect;Buy to Open;1.0;$115.23;10/26/20, 9:50 AM;;$0.31;1.0;
4;MacdPerfect;Sell to Close;-1.0;$116.08;10/26/20, 10:25 AM;$0.85;$0.59;0.0;
5;MacdPerfect;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;$0.80;1.0;
6;MacdPerfect;Sell to Close;-1.0;$115.16;10/27/20, 9:50 AM;$0.41;$1.00;0.0;
7;MacdPerfect;Buy to Open;1.0;$115.65;10/27/20, 9:55 AM;;$1.35;1.0;
8;MacdPerfect;Sell to Close;-1.0;$115.96;10/27/20, 10:15 AM;$0.31;$1.31;0.0;
9;MacdPerfect;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;$0.63;1.0;
10;MacdPerfect;Sell to Close;-1.0;$112.97;10/29/20, 9:40 AM;($0.68);$0.64;0.0;
11;MacdPerfect;Buy to Open;1.0;$113.43;10/29/20, 9:50 AM;;$1.20;1.0;
12;MacdPerfect;Sell to Close;-1.0;$113.59;10/29/20, 10:15 AM;$0.16;$0.80;0.0;
13;MacdPerfect;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$1.19;1.0;
14;MacdPerfect;Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$0.76;0.0;
15;MacdPerfect;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$0.85;1.0;
16;MacdPerfect;Sell to Close;-1.0;$110.69;11/3/20, 10:30 AM;$1.64;$2.40;0.0;
17;MacdPerfect;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$1.30;1.0;
18;MacdPerfect;Sell to Close;-1.0;$112.75;11/4/20, 9:40 AM;($1.10);$1.30;0.0;
19;MacdPerfect;Buy to Open;1.0;$113.44;11/4/20, 9:45 AM;;$0.90;1.0;
20;MacdPerfect;Sell to Close;-1.0;$112.97;11/4/20, 9:55 AM;($0.47);$0.83;0.0;
21;MacdPerfect;Buy to Open;1.0;$113.55;11/4/20, 10:00 AM;;$1.42;1.0;
22;MacdPerfect;Sell to Close;-1.0;$114.93;11/4/20, 10:30 AM;$1.38;$2.21;0.0;
23;MacdPerfect;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$2.88;1.0;
24;MacdPerfect;Sell to Close;-1.0;$118.76;11/5/20, 10:10 AM;$1.29;$3.50;0.0;
25;MacdPerfect;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$2.70;1.0;
26;MacdPerfect;Sell to Close;-1.0;$119.09;11/9/20, 9:40 AM;($0.81);$2.69;0.0;
27;MacdPerfect;Buy to Open;1.0;$119.38;11/9/20, 9:45 AM;;$3.57;1.0;
28;MacdPerfect;Sell to Close;-1.0;$119.65;11/9/20, 9:55 AM;$0.27;$2.96;0.0;
29;MacdPerfect;Buy to Open;1.0;$119.73;11/9/20, 10:00 AM;;$4.12;1.0;
30;MacdPerfect;Sell to Close;-1.0;$121.16;11/9/20, 10:40 AM;$1.43;$4.39;0.0;
31;MacdPerfect;Buy to Open;1.0;$117.00;11/11/20, 9:35 AM;;$4.68;1.0;
32;MacdPerfect;Sell to Close;-1.0;$117.99;11/11/20, 10:20 AM;$0.99;$5.38;0.0;
33;MacdPerfect;Buy to Open;1.0;$119.70;11/12/20, 9:45 AM;;$4.79;1.0;
34;MacdPerfect;Sell to Close;-1.0;$119.10;11/12/20, 9:50 AM;($0.60);$4.78;0.0;
35;MacdPerfect;Buy to Open;1.0;$119.47;11/12/20, 9:55 AM;;$5.03;1.0;
36;MacdPerfect;Sell to Close;-1.0;$119.91;11/12/20, 10:25 AM;$0.44;$5.22;0.0;
37;MacdPerfect;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$5.30;1.0;
38;MacdPerfect;Sell to Close;-1.0;$118.66;11/13/20, 9:50 AM;($0.44);$4.78;0.0;
39;MacdPerfect;Buy to Open;1.0;$115.74;11/25/20, 9:35 AM;;$5.27;1.0;
40;MacdPerfect;Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;$0.08;$4.86;0.0;
41;MacdPerfect;Buy to Open;1.0;$117.03;11/27/20, 9:35 AM;;$4.78;1.0;
42;MacdPerfect;Sell to Close;-1.0;$116.86;11/27/20, 9:55 AM;($0.17);$4.69;0.0;
43;MacdPerfect;Buy to Open;1.0;$116.99;11/27/20, 10:00 AM;;$4.55;1.0;
44;MacdPerfect;Sell to Close;-1.0;$116.85;11/27/20, 10:05 AM;($0.14);$4.55;0.0;
45;MacdPerfect;Buy to Open;1.0;$118.24;11/30/20, 9:35 AM;;$5.24;1.0;
46;MacdPerfect;Sell to Close;-1.0;$119.02;11/30/20, 10:15 AM;$0.78;$5.33;0.0;
47;MacdPerfect;Buy to Open;1.0;$120.32;12/1/20, 9:35 AM;;$6.27;1.0;
48;MacdPerfect;Sell to Close;-1.0;$122.40;12/1/20, 10:25 AM;$2.08;$7.41;0.0;
49;MacdPerfect;Buy to Open;1.0;$123.37;12/3/20, 9:35 AM;;$7.27;1.0;
50;MacdPerfect;Sell to Close;-1.0;$123.23;12/3/20, 9:40 AM;($0.14);$7.27;0.0;
51;MacdPerfect;Buy to Open;1.0;$123.16;12/3/20, 9:50 AM;;$6.94;1.0;
52;MacdPerfect;Sell to Close;-1.0;$122.84;12/3/20, 9:55 AM;($0.32);$6.95;0.0;
53;MacdPerfect;Buy to Open;1.0;$123.09;12/7/20, 9:35 AM;;$7.32;1.0;
54;MacdPerfect;Sell to Close;-1.0;$123.89;12/7/20, 10:20 AM;$0.80;$7.75;0.0;
55;MacdPerfect;Buy to Open;1.0;$122.74;12/14/20, 9:35 AM;;$8.05;1.0;
56;MacdPerfect;Sell to Close;-1.0;$122.92;12/14/20, 10:05 AM;$0.19;$7.93;0.0;
57;MacdPerfect;Buy to Open;1.0;$125.17;12/15/20, 9:35 AM;;$8.98;1.0;
58;MacdPerfect;Sell to Close;-1.0;$126.13;12/15/20, 10:10 AM;$0.96;$8.90;0.0;
59;MacdPerfect;Buy to Open;1.0;$129.19;12/17/20, 9:35 AM;;$9.25;1.0;
60;MacdPerfect;Sell to Close;-1.0;$128.93;12/17/20, 9:45 AM;($0.27);$8.63;0.0;
61;MacdPerfect;Buy to Open;1.0;$128.96;12/17/20, 9:50 AM;;$8.45;1.0;
62;MacdPerfect;Sell to Close;-1.0;$128.79;12/17/20, 9:55 AM;($0.17);$8.46;0.0;
63;MacdPerfect;Buy to Open;1.0;$128.96;12/17/20, 10:00 AM;;$8.04;1.0;
64;MacdPerfect;Sell to Close;-1.0;$128.55;12/17/20, 10:05 AM;($0.41);$8.05;0.0;
65;MacdPerfect;Buy to Open;1.0;$130.91;12/22/20, 9:35 AM;;$8.93;1.0;
66;MacdPerfect;Sell to Close;-1.0;$133.34;12/22/20, 10:15 AM;$2.43;$10.48;0.0;
67;MacdPerfect;Buy to Open;1.0;$132.46;12/24/20, 9:45 AM;;$10.78;1.0;
68;MacdPerfect;Sell to Close;-1.0;$132.32;12/24/20, 10:05 AM;($0.15);$10.33;0.0;
69;MacdPerfect;Buy to Open;1.0;$134.38;12/28/20, 9:35 AM;;$10.76;1.0;
70;MacdPerfect;Sell to Close;-1.0;$135.07;12/28/20, 10:10 AM;$0.69;$11.02;0.0;
71;MacdPerfect;Buy to Open;1.0;$138.42;12/29/20, 9:35 AM;;$10.47;1.0;
72;MacdPerfect;Sell to Close;-1.0;$137.86;12/29/20, 9:40 AM;($0.56);$10.46;0.0;
73;MacdPerfect;Buy to Open;1.0;$137.35;12/29/20, 9:45 AM;;$10.09;1.0;
74;MacdPerfect;Sell to Close;-1.0;$136.98;12/29/20, 9:50 AM;($0.37);$10.09;0.0;
75;MacdPerfect;Buy to Open;1.0;$130.49;1/5/21, 9:35 AM;;$10.31;1.0;
76;MacdPerfect;Sell to Close;-1.0;$130.82;1/5/21, 10:20 AM;$0.33;$10.42;0.0;
77;MacdPerfect;Buy to Open;1.0;$129.03;1/7/21, 10:00 AM;;$10.80;1.0;
78;MacdPerfect;Sell to Close;-1.0;$130.53;1/7/21, 11:15 AM;$1.50;$11.92;0.0;
79;MacdPerfect;Buy to Open;1.0;$132.32;1/8/21, 9:35 AM;;$11.07;1.0;
80;MacdPerfect;Sell to Close;-1.0;$131.48;1/8/21, 9:40 AM;($0.84);$11.08;0.0;
81;MacdPerfect;Buy to Open;1.0;$131.41;1/8/21, 9:45 AM;;$10.58;1.0;
82;MacdPerfect;Sell to Close;-1.0;$130.91;1/8/21, 9:50 AM;($0.50);$10.58;0.0;
83;MacdPerfect;Buy to Open;1.0;$129.27;1/13/21, 9:35 AM;;$10.58;1.0;
84;MacdPerfect;Sell to Close;-1.0;$128.94;1/13/21, 9:45 AM;($0.33);$10.25;0.0;
85;MacdPerfect;Buy to Open;1.0;$129.70;1/13/21, 9:50 AM;;$10.67;1.0;
86;MacdPerfect;Sell to Close;-1.0;$129.37;1/13/21, 10:05 AM;($0.33);$9.92;0.0;
87;MacdPerfect;Buy to Open;1.0;$128.31;1/19/21, 9:35 AM;;$9.65;1.0;
88;MacdPerfect;Sell to Close;-1.0;$128.05;1/19/21, 9:40 AM;($0.26);$9.66;0.0;
89;MacdPerfect;Buy to Open;1.0;$129.32;1/20/21, 9:35 AM;;$10.30;1.0;
