Strategy report
Symbol: AAPL
Work Time: 10/26/20, 9:35 AM - 7/7/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$115.24;10/26/20, 9:35 AM;;$0.16;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.15;10/26/20, 9:45 AM;($0.09);($0.09);0.0;
3;MacdPerfect;Buy to Open;1.0;$115.23;10/26/20, 9:50 AM;;$0.48;1.0;
4;MacdPerfect;Sell to Close;-1.0;$116.08;10/26/20, 10:25 AM;$0.85;$0.76;0.0;
5;MacdPerfect;Buy to Open;1.0;$115.36;10/27/20, 9:45 AM;;$0.55;1.0;
6;MacdPerfect;Sell to Close;-1.0;$115.16;10/27/20, 9:50 AM;($0.20);$0.56;0.0;
7;MacdPerfect;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;($0.12);1.0;
8;MacdPerfect;Sell to Close;-1.0;$112.97;10/29/20, 9:40 AM;($0.68);($0.12);0.0;
9;MacdPerfect;Buy to Open;1.0;$113.43;10/29/20, 9:50 AM;;$0.44;1.0;
10;MacdPerfect;Sell to Close;-1.0;$113.59;10/29/20, 10:15 AM;$0.16;$0.04;0.0;
11;MacdPerfect;Buy to Open;1.0;$110.09;11/2/20, 9:55 AM;;($0.23);1.0;
12;MacdPerfect;Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.26);($0.22);0.0;
13;MacdPerfect;Buy to Open;1.0;$109.28;11/3/20, 9:45 AM;;($0.32);1.0;
14;MacdPerfect;Sell to Close;-1.0;$110.69;11/3/20, 10:30 AM;$1.41;$1.19;0.0;
15;MacdPerfect;Buy to Open;1.0;$113.55;11/4/20, 10:00 AM;;$1.78;1.0;
16;MacdPerfect;Sell to Close;-1.0;$114.93;11/4/20, 10:30 AM;$1.38;$2.57;0.0;
17;MacdPerfect;Buy to Open;1.0;$118.15;11/5/20, 9:40 AM;;$3.00;1.0;
18;MacdPerfect;Sell to Close;-1.0;$118.76;11/5/20, 10:10 AM;$0.61;$3.18;0.0;
19;MacdPerfect;Buy to Open;1.0;$120.28;11/9/20, 9:50 AM;;$2.55;1.0;
20;MacdPerfect;Sell to Close;-1.0;$119.65;11/9/20, 9:55 AM;($0.63);$2.55;0.0;
21;MacdPerfect;Buy to Open;1.0;$117.35;11/10/20, 9:35 AM;;$1.98;1.0;
22;MacdPerfect;Sell to Close;-1.0;$116.79;11/10/20, 9:40 AM;($0.56);$1.99;0.0;
23;MacdPerfect;Buy to Open;1.0;$119.83;11/12/20, 9:40 AM;;$1.86;1.0;
24;MacdPerfect;Sell to Close;-1.0;$119.10;11/12/20, 9:50 AM;($0.73);$1.26;0.0;
25;MacdPerfect;Buy to Open;1.0;$119.47;11/12/20, 9:55 AM;;$1.51;1.0;
26;MacdPerfect;Sell to Close;-1.0;$119.91;11/12/20, 10:25 AM;$0.44;$1.70;0.0;
27;MacdPerfect;Buy to Open;1.0;$119.09;11/18/20, 9:40 AM;;$1.60;1.0;
28;MacdPerfect;Sell to Close;-1.0;$118.77;11/18/20, 10:00 AM;($0.32);$1.38;0.0;
29;MacdPerfect;Buy to Open;1.0;$116.99;11/27/20, 10:00 AM;;$1.24;1.0;
30;MacdPerfect;Sell to Close;-1.0;$116.85;11/27/20, 10:05 AM;($0.14);$1.24;0.0;
31;MacdPerfect;Buy to Open;1.0;$124.40;12/9/20, 9:40 AM;;$1.69;1.0;
32;MacdPerfect;Sell to Close;-1.0;$125.32;12/9/20, 10:10 AM;$0.92;$2.16;0.0;
33;MacdPerfect;Buy to Open;1.0;$123.03;12/14/20, 9:40 AM;;$1.91;1.0;
34;MacdPerfect;Sell to Close;-1.0;$122.79;12/14/20, 9:45 AM;($0.24);$1.91;0.0;
35;MacdPerfect;Buy to Open;1.0;$123.01;12/14/20, 9:50 AM;;$1.79;1.0;
36;MacdPerfect;Sell to Close;-1.0;$122.92;12/14/20, 10:05 AM;($0.09);$1.82;0.0;
37;MacdPerfect;Buy to Open;1.0;$127.21;12/16/20, 9:50 AM;;$1.82;1.0;
38;MacdPerfect;Sell to Close;-1.0;$127.04;12/16/20, 10:20 AM;($0.17);$1.65;0.0;
39;MacdPerfect;Buy to Open;1.0;$125.91;12/21/20, 10:00 AM;;$1.05;1.0;
