Strategy report
Symbol: AAPL
Work Time: 4/13/20, 9:35 AM - 12/23/20, 9:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$67.07;4/13/20, 9:35 AM;;$0.32;1.0;
2;MacdPerfect;Sell to Close;-1.0;$67.04;4/13/20, 9:45 AM;($0.02);($0.02);0.0;
3;MacdPerfect;Buy to Open;1.0;$70.13;4/14/20, 9:35 AM;;$0.34;1.0;
4;MacdPerfect;Sell to Close;-1.0;$70.98;4/14/20, 10:10 AM;$0.85;$0.83;0.0;
5;MacdPerfect;Buy to Open;1.0;$70.60;4/15/20, 10:00 AM;;$0.72;1.0;
6;MacdPerfect;Sell to Close;-1.0;$70.29;4/15/20, 10:20 AM;($0.31);$0.52;0.0;
7;MacdPerfect;Buy to Open;1.0;$71.70;4/16/20, 9:35 AM;;$0.52;1.0;
8;MacdPerfect;Sell to Close;-1.0;$71.55;4/16/20, 9:50 AM;($0.16);$0.36;0.0;
9;MacdPerfect;Buy to Open;1.0;$71.39;4/16/20, 9:55 AM;;$0.28;1.0;
10;MacdPerfect;Sell to Close;-1.0;$71.31;4/16/20, 10:00 AM;($0.08);$0.28;0.0;
11;MacdPerfect;Buy to Open;1.0;$71.52;4/17/20, 9:35 AM;;($0.10);1.0;
12;MacdPerfect;Sell to Close;-1.0;$71.14;4/17/20, 9:40 AM;($0.38);($0.10);0.0;
13;MacdPerfect;Buy to Open;1.0;$69.44;4/23/20, 9:35 AM;;($0.06);1.0;
14;MacdPerfect;Sell to Close;-1.0;$70.23;4/23/20, 10:50 AM;$0.80;$0.70;0.0;
15;MacdPerfect;Buy to Open;1.0;$69.63;4/24/20, 9:45 AM;;$0.64;1.0;
16;MacdPerfect;Sell to Close;-1.0;$69.36;4/24/20, 10:00 AM;($0.27);$0.43;0.0;
17;MacdPerfect;Buy to Open;1.0;$70.38;4/27/20, 9:50 AM;;$0.91;1.0;
18;MacdPerfect;Sell to Close;-1.0;$70.88;4/27/20, 10:20 AM;$0.50;$0.92;0.0;
19;MacdPerfect;Buy to Open;1.0;$71.40;4/28/20, 9:35 AM;;$0.64;1.0;
20;MacdPerfect;Sell to Close;-1.0;$71.11;4/28/20, 9:40 AM;($0.28);$0.64;0.0;
21;MacdPerfect;Buy to Open;1.0;$71.17;4/28/20, 9:45 AM;;$0.71;1.0;
22;MacdPerfect;Sell to Close;-1.0;$71.17;4/28/20, 10:00 AM;$0.00;$0.64;0.0;
23;MacdPerfect;Buy to Open;1.0;$71.40;4/29/20, 9:35 AM;;$0.50;1.0;
24;MacdPerfect;Sell to Close;-1.0;$72.18;4/29/20, 10:40 AM;$0.78;$1.42;0.0;
25;MacdPerfect;Buy to Open;1.0;$72.35;4/30/20, 9:35 AM;;$1.45;1.0;
26;MacdPerfect;Sell to Close;-1.0;$72.85;4/30/20, 10:15 AM;$0.50;$1.92;0.0;
27;MacdPerfect;Buy to Open;1.0;$73.16;5/1/20, 9:40 AM;;$1.58;1.0;
28;MacdPerfect;Sell to Close;-1.0;$72.82;5/1/20, 9:45 AM;($0.34);$1.59;0.0;
29;MacdPerfect;Buy to Open;1.0;$73.55;5/1/20, 10:00 AM;;$2.15;1.0;
30;MacdPerfect;Sell to Close;-1.0;$73.83;5/1/20, 10:25 AM;$0.29;$1.88;0.0;
31;MacdPerfect;Buy to Open;1.0;$74.12;5/5/20, 9:35 AM;;$1.94;1.0;
32;MacdPerfect;Sell to Close;-1.0;$74.43;5/5/20, 10:10 AM;$0.31;$2.18;0.0;
33;MacdPerfect;Buy to Open;1.0;$75.47;5/6/20, 9:35 AM;;$2.21;1.0;
34;MacdPerfect;Sell to Close;-1.0;$75.08;5/6/20, 10:05 AM;($0.39);$1.80;0.0;
35;MacdPerfect;Buy to Open;1.0;$76.24;5/7/20, 9:35 AM;;$1.47;1.0;
36;MacdPerfect;Sell to Close;-1.0;$75.90;5/7/20, 9:40 AM;($0.33);$1.46;0.0;
37;MacdPerfect;Buy to Open;1.0;$76.03;5/7/20, 9:45 AM;;$1.40;1.0;
38;MacdPerfect;Sell to Close;-1.0;$76.04;5/7/20, 10:10 AM;$0.00;$1.47;0.0;
39;MacdPerfect;Buy to Open;1.0;$76.19;5/8/20, 9:35 AM;;$1.59;1.0;
40;MacdPerfect;Sell to Close;-1.0;$76.60;5/8/20, 10:50 AM;$0.41;$1.88;0.0;
41;MacdPerfect;Buy to Open;1.0;$79.42;5/12/20, 9:35 AM;;$1.99;1.0;
42;MacdPerfect;Sell to Close;-1.0;$79.26;5/12/20, 9:50 AM;($0.16);$1.72;0.0;
43;MacdPerfect;Buy to Open;1.0;$79.38;5/12/20, 10:00 AM;;$1.62;1.0;
44;MacdPerfect;Sell to Close;-1.0;$79.09;5/12/20, 10:10 AM;($0.29);$1.43;0.0;
45;MacdPerfect;Buy to Open;1.0;$77.76;5/18/20, 9:35 AM;;$1.48;1.0;
