Strategy report
Symbol: AAPL
Work Time: 5/26/21, 9:31 AM - 7/6/21, 3:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$127.29;5/26/21, 9:31 AM;;($0.09);1.0;
2;MacdPerfect;Sell to Close;-1.0;$127.21;5/26/21, 9:32 AM;($0.08);($0.08);0.0;
3;MacdPerfect;Buy to Open;1.0;$127.13;5/26/21, 9:40 AM;;($0.14);1.0;
4;MacdPerfect;Sell to Close;-1.0;$127.05;5/26/21, 9:42 AM;($0.08);($0.16);0.0;
5;MacdPerfect;Buy to Open;1.0;$126.97;5/26/21, 10:29 AM;;($0.08);1.0;
6;MacdPerfect;Sell to Close;-1.0;$127.04;5/26/21, 10:38 AM;$0.07;($0.09);0.0;
7;MacdPerfect;Buy to Open;1.0;$126.98;5/26/21, 11:59 AM;;($0.11);1.0;
8;MacdPerfect;Sell to Close;-1.0;$126.96;5/26/21, 12:00 PM;($0.02);($0.11);0.0;
9;MacdPerfect;Buy to Open;1.0;$127.02;5/26/21, 12:04 PM;;($0.12);1.0;
10;MacdPerfect;Sell to Close;-1.0;$126.97;5/26/21, 12:06 PM;($0.05);($0.15);0.0;
11;MacdPerfect;Buy to Open;1.0;$127.09;5/27/21, 10:09 AM;;($0.14);1.0;
12;MacdPerfect;Sell to Close;-1.0;$127.33;5/27/21, 10:21 AM;$0.24;$0.09;0.0;
13;MacdPerfect;Buy to Open;1.0;$125.15;5/28/21, 3:50 PM;;($0.06);1.0;
14;MacdPerfect;Sell to Close;-1.0;$125.00;5/28/21, 3:51 PM;($0.15);($0.06);0.0;
15;MacdPerfect;Buy to Open;1.0;$124.74;6/2/21, 3:14 PM;;($0.07);1.0;
16;MacdPerfect;Sell to Close;-1.0;$124.75;6/2/21, 3:25 PM;$0.01;($0.06);0.0;
17;MacdPerfect;Buy to Open;1.0;$123.69;6/3/21, 1:24 PM;;($0.02);1.0;
18;MacdPerfect;Sell to Close;-1.0;$123.72;6/3/21, 1:29 PM;$0.03;($0.02);0.0;
19;MacdPerfect;Buy to Open;1.0;$124.10;6/4/21, 9:34 AM;;$0.00;1.0;
20;MacdPerfect;Sell to Close;-1.0;$124.48;6/4/21, 9:43 AM;$0.38;$0.35;0.0;
21;MacdPerfect;Buy to Open;1.0;$125.23;6/7/21, 12:42 PM;;$0.37;1.0;
22;MacdPerfect;Sell to Close;-1.0;$125.23;6/7/21, 12:49 PM;$0.00;$0.35;0.0;
23;MacdPerfect;Buy to Open;1.0;$125.22;6/7/21, 3:03 PM;;$0.38;1.0;
24;MacdPerfect;Sell to Close;-1.0;$125.36;6/7/21, 3:11 PM;$0.14;$0.49;0.0;
25;MacdPerfect;Buy to Open;1.0;$126.85;6/8/21, 9:34 AM;;$0.63;1.0;
26;MacdPerfect;Sell to Close;-1.0;$128.39;6/8/21, 9:47 AM;$1.54;$2.03;0.0;
27;MacdPerfect;Buy to Open;1.0;$127.50;6/8/21, 10:21 AM;;$2.09;1.0;
28;MacdPerfect;Sell to Close;-1.0;$127.57;6/8/21, 10:26 AM;$0.06;$2.09;0.0;
29;MacdPerfect;Buy to Open;1.0;$127.45;6/8/21, 11:12 AM;;$2.03;1.0;
30;MacdPerfect;Sell to Close;-1.0;$127.39;6/8/21, 11:13 AM;($0.06);$2.03;0.0;
31;MacdPerfect;Buy to Open;1.0;$127.20;6/8/21, 2:56 PM;;$2.07;1.0;
