Strategy report
Symbol: AAPL
Work Time: 4/16/21, 12:28 PM - 5/27/21, 10:21 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$134.06;4/16/21, 12:28 PM;;($0.05);1.0;
2;MacdPerfect;Sell to Close;-1.0;$134.01;4/16/21, 12:29 PM;($0.05);($0.05);0.0;
3;MacdPerfect;Buy to Open;1.0;$134.06;4/16/21, 12:31 PM;;($0.05);1.0;
4;MacdPerfect;Sell to Close;-1.0;$134.07;4/16/21, 12:32 PM;$0.01;($0.04);0.0;
5;MacdPerfect;Buy to Open;1.0;$133.99;4/16/21, 2:31 PM;;($0.05);1.0;
6;MacdPerfect;Sell to Close;-1.0;$133.96;4/16/21, 2:37 PM;($0.03);($0.07);0.0;
7;MacdPerfect;Buy to Open;1.0;$134.03;4/16/21, 3:18 PM;;($0.06);1.0;
8;MacdPerfect;Sell to Close;-1.0;$134.09;4/16/21, 3:27 PM;$0.06;($0.01);0.0;
9;MacdPerfect;Buy to Open;1.0;$134.77;4/19/21, 11:03 AM;;$0.02;1.0;
10;MacdPerfect;Sell to Close;-1.0;$134.71;4/19/21, 11:06 AM;($0.06);($0.07);0.0;
11;MacdPerfect;Buy to Open;1.0;$134.63;4/19/21, 1:37 PM;;($0.08);1.0;
12;MacdPerfect;Sell to Close;-1.0;$134.54;4/19/21, 1:43 PM;($0.09);($0.16);0.0;
13;MacdPerfect;Buy to Open;1.0;$134.58;4/19/21, 1:59 PM;;($0.19);1.0;
14;MacdPerfect;Sell to Close;-1.0;$134.51;4/19/21, 2:01 PM;($0.07);($0.24);0.0;
15;MacdPerfect;Buy to Open;1.0;$134.59;4/19/21, 2:03 PM;;($0.28);1.0;
16;MacdPerfect;Sell to Close;-1.0;$134.55;4/19/21, 2:04 PM;($0.04);($0.28);0.0;
17;MacdPerfect;Buy to Open;1.0;$134.63;4/19/21, 2:06 PM;;($0.30);1.0;
18;MacdPerfect;Sell to Close;-1.0;$134.53;4/19/21, 2:08 PM;($0.10);($0.38);0.0;
19;MacdPerfect;Buy to Open;1.0;$134.58;4/19/21, 2:16 PM;;($0.37);1.0;
20;MacdPerfect;Sell to Close;-1.0;$134.71;4/19/21, 2:26 PM;$0.13;($0.25);0.0;
21;MacdPerfect;Buy to Open;1.0;$134.58;4/19/21, 3:00 PM;;($0.32);1.0;
22;MacdPerfect;Sell to Close;-1.0;$134.51;4/19/21, 3:01 PM;($0.07);($0.31);0.0;
23;MacdPerfect;Buy to Open;1.0;$134.65;4/19/21, 3:56 PM;;($0.24);1.0;
24;MacdPerfect;Sell to Close;-1.0;$134.73;4/19/21, 3:57 PM;$0.08;($0.24);0.0;
25;MacdPerfect;Buy to Open;1.0;$134.91;4/20/21, 9:46 AM;;($0.04);1.0;
26;MacdPerfect;Sell to Close;-1.0;$135.12;4/20/21, 9:57 AM;$0.21;($0.03);0.0;
