Strategy report
Symbol: AAPL
Work Time: 10/27/20, 9:35 AM - 7/6/21, 2:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$114.85;10/27/20, 9:35 AM;;$0.11;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.41;10/27/20, 9:50 AM;$0.55;$0.55;0.0;
3;MacdPerfect;Buy to Open;1.0;$115.83;10/27/20, 9:55 AM;;$0.73;1.0;
4;MacdPerfect;Sell to Close;-1.0;$115.77;10/27/20, 10:15 AM;($0.06);$0.49;0.0;
5;MacdPerfect;Buy to Open;1.0;$110.18;11/3/20, 2:15 PM;;$0.48;1.0;
6;MacdPerfect;Sell to Close;-1.0;$110.90;11/3/20, 3:45 PM;$0.72;$1.21;0.0;
7;MacdPerfect;Buy to Open;1.0;$113.30;11/4/20, 9:35 AM;;$0.66;1.0;
8;MacdPerfect;Sell to Close;-1.0;$114.87;11/4/20, 10:30 AM;$1.57;$2.78;0.0;
9;MacdPerfect;Buy to Open;1.0;$118.37;11/5/20, 9:40 AM;;$2.99;1.0;
10;MacdPerfect;Sell to Close;-1.0;$118.55;11/5/20, 10:10 AM;$0.19;$2.96;0.0;
11;MacdPerfect;Buy to Open;1.0;$118.47;11/5/20, 10:15 AM;;$3.09;1.0;
12;MacdPerfect;Sell to Close;-1.0;$117.82;11/5/20, 10:25 AM;($0.65);$2.31;0.0;
13;MacdPerfect;Buy to Open;1.0;$117.85;11/5/20, 12:40 PM;;$2.33;1.0;
14;MacdPerfect;Sell to Close;-1.0;$118.47;11/5/20, 2:10 PM;$0.62;$2.93;0.0;
15;MacdPerfect;Buy to Open;1.0;$116.87;11/6/20, 10:10 AM;;$3.07;1.0;
16;MacdPerfect;Sell to Close;-1.0;$118.71;11/6/20, 12:15 PM;$1.85;$4.78;0.0;
17;MacdPerfect;Buy to Open;1.0;$119.50;11/9/20, 9:35 AM;;$4.38;1.0;
18;MacdPerfect;Sell to Close;-1.0;$119.24;11/9/20, 9:40 AM;($0.27);$4.51;0.0;
19;MacdPerfect;Buy to Open;1.0;$119.82;11/9/20, 9:45 AM;;$4.95;1.0;
20;MacdPerfect;Sell to Close;-1.0;$119.70;11/9/20, 9:55 AM;($0.13);$4.39;0.0;
21;MacdPerfect;Buy to Open;1.0;$120.31;11/9/20, 10:00 AM;;$4.97;1.0;
22;MacdPerfect;Sell to Close;-1.0;$121.14;11/9/20, 10:40 AM;$0.82;$5.21;0.0;
23;MacdPerfect;Buy to Open;1.0;$118.96;11/9/20, 2:40 PM;;$5.37;1.0;
24;MacdPerfect;Sell to Close;-1.0;$118.64;11/9/20, 2:50 PM;($0.32);$4.89;0.0;
25;MacdPerfect;Buy to Open;1.0;$118.67;11/9/20, 3:00 PM;;$5.02;1.0;
26;MacdPerfect;Sell to Close;-1.0;$118.49;11/9/20, 3:20 PM;($0.19);$4.70;0.0;
27;MacdPerfect;Buy to Open;1.0;$119.41;11/12/20, 9:45 AM;;$4.41;1.0;
28;MacdPerfect;Sell to Close;-1.0;$119.28;11/12/20, 9:50 AM;($0.13);$4.58;0.0;
29;MacdPerfect;Buy to Open;1.0;$119.60;11/12/20, 9:55 AM;;$4.70;1.0;
30;MacdPerfect;Sell to Close;-1.0;$119.95;11/12/20, 10:25 AM;$0.35;$4.93;0.0;
31;MacdPerfect;Buy to Open;1.0;$119.58;11/12/20, 11:55 AM;;$4.94;1.0;
32;MacdPerfect;Sell to Close;-1.0;$119.82;11/12/20, 12:30 PM;$0.23;$5.16;0.0;
33;MacdPerfect;Buy to Open;1.0;$119.07;11/12/20, 1:55 PM;;$5.23;1.0;
34;MacdPerfect;Sell to Close;-1.0;$118.90;11/12/20, 2:10 PM;($0.18);$4.99;0.0;
35;MacdPerfect;Buy to Open;1.0;$119.13;11/12/20, 3:25 PM;;$4.89;1.0;
36;MacdPerfect;Sell to Close;-1.0;$119.10;11/12/20, 3:30 PM;($0.03);$4.96;0.0;
37;MacdPerfect;Buy to Open;1.0;$119.20;11/12/20, 3:35 PM;;$5.00;1.0;
38;MacdPerfect;Sell to Close;-1.0;$119.00;11/12/20, 3:45 PM;($0.20);$4.75;0.0;
39;MacdPerfect;Buy to Open;1.0;$119.28;11/13/20, 9:30 AM;;$4.58;1.0;
40;MacdPerfect;Sell to Close;-1.0;$118.87;11/13/20, 9:45 AM;($0.41);$4.34;0.0;
41;MacdPerfect;Buy to Open;1.0;$118.48;11/13/20, 10:20 AM;;$4.36;1.0;
42;MacdPerfect;Sell to Close;-1.0;$118.23;11/13/20, 10:35 AM;($0.25);$4.09;0.0;
43;MacdPerfect;Buy to Open;1.0;$118.38;11/13/20, 10:45 AM;;$4.18;1.0;
44;MacdPerfect;Sell to Close;-1.0;$118.12;11/13/20, 10:55 AM;($0.26);$3.83;0.0;
45;MacdPerfect;Buy to Open;1.0;$119.74;11/16/20, 3:10 PM;;$3.79;1.0;
46;MacdPerfect;Sell to Close;-1.0;$120.14;11/16/20, 3:55 PM;$0.40;$4.23;0.0;
47;MacdPerfect;Buy to Open;1.0;$119.57;11/17/20, 10:10 AM;;$4.27;1.0;
48;MacdPerfect;Sell to Close;-1.0;$120.23;11/17/20, 11:05 AM;$0.66;$4.90;0.0;
49;MacdPerfect;Buy to Open;1.0;$119.77;11/17/20, 3:40 PM;;$4.89;1.0;
50;MacdPerfect;Sell to Close;-1.0;$119.58;11/17/20, 3:50 PM;($0.19);$4.71;0.0;
51;MacdPerfect;Buy to Open;1.0;$115.99;11/25/20, 9:35 AM;;$4.95;1.0;
52;MacdPerfect;Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;($0.17);$4.54;0.0;
53;MacdPerfect;Buy to Open;1.0;$115.98;11/25/20, 10:10 AM;;$4.70;1.0;
54;MacdPerfect;Sell to Close;-1.0;$116.02;11/25/20, 10:30 AM;$0.04;$4.58;0.0;
55;MacdPerfect;Buy to Open;1.0;$116.01;11/25/20, 12:35 PM;;$4.52;1.0;
56;MacdPerfect;Sell to Close;-1.0;$116.01;11/25/20, 1:30 PM;$0.00;$4.58;0.0;
57;MacdPerfect;Buy to Open;1.0;$115.96;11/25/20, 2:20 PM;;$4.61;1.0;
58;MacdPerfect;Sell to Close;-1.0;$115.89;11/25/20, 2:45 PM;($0.06);$4.52;0.0;
59;MacdPerfect;Buy to Open;1.0;$116.18;11/25/20, 3:15 PM;;$4.52;1.0;
60;MacdPerfect;Sell to Close;-1.0;$116.20;11/25/20, 3:40 PM;$0.02;$4.54;0.0;
61;MacdPerfect;Buy to Open;1.0;$116.99;11/27/20, 9:35 AM;;$4.50;1.0;
62;MacdPerfect;Sell to Close;-1.0;$116.92;11/27/20, 9:55 AM;($0.07);$4.47;0.0;
63;MacdPerfect;Buy to Open;1.0;$116.92;11/27/20, 10:00 AM;;$4.40;1.0;
64;MacdPerfect;Sell to Close;-1.0;$116.83;11/27/20, 10:05 AM;($0.09);$4.37;0.0;
65;MacdPerfect;Buy to Open;1.0;$116.88;11/27/20, 10:10 AM;;$4.45;1.0;
66;MacdPerfect;Sell to Close;-1.0;$117.04;11/27/20, 10:40 AM;$0.16;$4.53;0.0;
67;MacdPerfect;Buy to Open;1.0;$116.58;11/27/20, 1:00 PM;;$4.45;1.0;
68;MacdPerfect;Sell to Close;-1.0;$116.46;11/27/20, 1:35 PM;($0.12);$4.41;0.0;
69;MacdPerfect;Buy to Open;1.0;$118.59;11/30/20, 9:35 AM;;$4.75;1.0;
70;MacdPerfect;Sell to Close;-1.0;$118.88;11/30/20, 10:15 AM;$0.29;$4.70;0.0;
71;MacdPerfect;Buy to Open;1.0;$118.14;11/30/20, 11:40 AM;;$4.82;1.0;
72;MacdPerfect;Sell to Close;-1.0;$118.90;11/30/20, 12:35 PM;$0.75;$5.45;0.0;
73;MacdPerfect;Buy to Open;1.0;$120.79;12/1/20, 9:35 AM;;$5.92;1.0;
74;MacdPerfect;Sell to Close;-1.0;$122.23;12/1/20, 10:25 AM;$1.44;$6.89;0.0;
75;MacdPerfect;Buy to Open;1.0;$123.30;12/3/20, 9:35 AM;;$6.82;1.0;
76;MacdPerfect;Sell to Close;-1.0;$123.05;12/3/20, 9:40 AM;($0.26);$6.64;0.0;
77;MacdPerfect;Buy to Open;1.0;$123.00;12/3/20, 9:50 AM;;$6.47;1.0;
78;MacdPerfect;Sell to Close;-1.0;$123.00;12/3/20, 9:55 AM;$0.00;$6.64;0.0;
79;MacdPerfect;Buy to Open;1.0;$123.33;12/3/20, 10:20 AM;;$6.71;1.0;
80;MacdPerfect;Sell to Close;-1.0;$123.15;12/3/20, 10:25 AM;($0.17);$6.47;0.0;
