Strategy report
Symbol: AAPL
Work Time: 10/27/20, 9:50 AM - 7/9/21, 10:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$115.16;10/27/20, 9:50 AM;;$0.49;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.96;10/27/20, 10:15 AM;$0.80;$0.80;0.0;
3;MacdPerfect;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;($0.30);1.0;
4;MacdPerfect;Sell to Close;-1.0;$114.93;11/4/20, 10:30 AM;$1.08;$1.88;0.0;
5;MacdPerfect;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$2.55;1.0;
6;MacdPerfect;Sell to Close;-1.0;$118.76;11/5/20, 10:10 AM;$1.29;$3.17;0.0;
7;MacdPerfect;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$2.37;1.0;
8;MacdPerfect;Sell to Close;-1.0;$119.09;11/9/20, 9:40 AM;($0.81);$2.36;0.0;
9;MacdPerfect;Buy to Open;1.0;$119.38;11/9/20, 9:45 AM;;$3.25;1.0;
10;MacdPerfect;Sell to Close;-1.0;$119.65;11/9/20, 9:55 AM;$0.27;$2.63;0.0;
11;MacdPerfect;Buy to Open;1.0;$119.73;11/9/20, 10:00 AM;;$3.79;1.0;
12;MacdPerfect;Sell to Close;-1.0;$121.16;11/9/20, 10:40 AM;$1.43;$4.06;0.0;
13;MacdPerfect;Buy to Open;1.0;$119.70;11/12/20, 9:45 AM;;$3.47;1.0;
14;MacdPerfect;Sell to Close;-1.0;$119.10;11/12/20, 9:50 AM;($0.60);$3.46;0.0;
15;MacdPerfect;Buy to Open;1.0;$119.47;11/12/20, 9:55 AM;;$3.71;1.0;
16;MacdPerfect;Sell to Close;-1.0;$119.91;11/12/20, 10:25 AM;$0.44;$3.90;0.0;
17;MacdPerfect;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$3.98;1.0;
18;MacdPerfect;Sell to Close;-1.0;$118.66;11/13/20, 9:50 AM;($0.44);$3.46;0.0;
19;MacdPerfect;Buy to Open;1.0;$115.74;11/25/20, 9:35 AM;;$3.95;1.0;
