Strategy report
Symbol: AAPL
Work Time: 4/9/20, 9:35 AM - 12/22/20, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;40.0;$66.95;4/9/20, 9:35 AM;;$8.10;40.0;
2;MacdPerfect;Sell to Close;-40.0;$67.17;4/9/20, 10:05 AM;$8.70;$8.70;0.0;
3;MacdPerfect;Buy to Open;40.0;$67.07;4/13/20, 9:35 AM;;$21.45;40.0;
4;MacdPerfect;Sell to Close;-40.0;$67.04;4/13/20, 9:45 AM;($0.90);$7.80;0.0;
5;MacdPerfect;Buy to Open;40.0;$70.13;4/14/20, 9:35 AM;;$22.15;40.0;
6;MacdPerfect;Sell to Close;-40.0;$70.98;4/14/20, 10:10 AM;$34.00;$41.80;0.0;
7;MacdPerfect;Buy to Open;40.0;$71.70;4/16/20, 9:35 AM;;$42.00;40.0;
8;MacdPerfect;Sell to Close;-40.0;$71.55;4/16/20, 9:50 AM;($6.20);$35.60;0.0;
9;MacdPerfect;Buy to Open;40.0;$71.52;4/17/20, 9:35 AM;;$20.15;40.0;
10;MacdPerfect;Sell to Close;-40.0;$71.14;4/17/20, 9:40 AM;($15.25);$20.35;0.0;
11;MacdPerfect;Buy to Open;40.0;$68.47;4/22/20, 9:35 AM;;$25.10;40.0;
12;MacdPerfect;Sell to Close;-40.0;$68.27;4/22/20, 9:50 AM;($8.05);$12.30;0.0;
13;MacdPerfect;Buy to Open;40.0;$69.49;4/23/20, 9:40 AM;;$18.70;40.0;
14;MacdPerfect;Sell to Close;-40.0;$70.23;4/23/20, 10:50 AM;$29.60;$41.90;0.0;
15;MacdPerfect;Buy to Open;40.0;$71.40;4/28/20, 9:35 AM;;$30.60;40.0;
16;MacdPerfect;Sell to Close;-40.0;$71.11;4/28/20, 9:40 AM;($11.30);$30.60;0.0;
17;MacdPerfect;Buy to Open;40.0;$71.40;4/29/20, 9:35 AM;;$25.08;40.0;
