Strategy report
Symbol: AAPL
Work Time: 4/9/20, 9:35 AM - 12/22/20, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$66.95;4/9/20, 9:35 AM;;$0.20;1.0;
2;MacdPerfect;Sell to Close;-1.0;$67.17;4/9/20, 10:05 AM;$0.22;$0.22;0.0;
3;MacdPerfect;Buy to Open;1.0;$67.07;4/13/20, 9:35 AM;;$0.54;1.0;
4;MacdPerfect;Sell to Close;-1.0;$67.04;4/13/20, 9:45 AM;($0.02);$0.20;0.0;
5;MacdPerfect;Buy to Open;1.0;$70.13;4/14/20, 9:35 AM;;$0.55;1.0;
6;MacdPerfect;Sell to Close;-1.0;$70.98;4/14/20, 10:10 AM;$0.85;$1.05;0.0;
7;MacdPerfect;Buy to Open;1.0;$71.70;4/16/20, 9:35 AM;;$1.05;1.0;
8;MacdPerfect;Sell to Close;-1.0;$71.55;4/16/20, 9:50 AM;($0.16);$0.89;0.0;
9;MacdPerfect;Buy to Open;1.0;$71.52;4/17/20, 9:35 AM;;$0.50;1.0;
10;MacdPerfect;Sell to Close;-1.0;$71.14;4/17/20, 9:40 AM;($0.38);$0.51;0.0;
11;MacdPerfect;Buy to Open;1.0;$68.47;4/22/20, 9:35 AM;;$0.63;1.0;
12;MacdPerfect;Sell to Close;-1.0;$68.27;4/22/20, 9:50 AM;($0.20);$0.31;0.0;
13;MacdPerfect;Buy to Open;1.0;$69.49;4/23/20, 9:40 AM;;$0.47;1.0;
14;MacdPerfect;Sell to Close;-1.0;$70.23;4/23/20, 10:50 AM;$0.74;$1.05;0.0;
15;MacdPerfect;Buy to Open;1.0;$71.40;4/28/20, 9:35 AM;;$0.77;1.0;
16;MacdPerfect;Sell to Close;-1.0;$71.11;4/28/20, 9:40 AM;($0.28);$0.77;0.0;
17;MacdPerfect;Buy to Open;1.0;$71.40;4/29/20, 9:35 AM;;$0.63;1.0;
18;MacdPerfect;Sell to Close;-1.0;$72.18;4/29/20, 10:40 AM;$0.78;$1.55;0.0;
19;MacdPerfect;Buy to Open;1.0;$72.35;4/30/20, 9:35 AM;;$1.58;1.0;
20;MacdPerfect;Sell to Close;-1.0;$72.85;4/30/20, 10:15 AM;$0.50;$2.05;0.0;
21;MacdPerfect;Buy to Open;1.0;$74.12;5/5/20, 9:35 AM;;$2.11;1.0;
22;MacdPerfect;Sell to Close;-1.0;$74.43;5/5/20, 10:10 AM;$0.31;$2.36;0.0;
23;MacdPerfect;Buy to Open;1.0;$75.47;5/6/20, 9:35 AM;;$2.39;1.0;
