Strategy report
Symbol: AAPL
Work Time: 10/22/20, 1:25 PM - 7/6/21, 2:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$115.91;10/22/20, 1:25 PM;;$0.03;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.73;10/22/20, 1:40 PM;($0.19);($0.19);0.0;
3;MacdPerfect;Buy to Open;1.0;$115.72;10/22/20, 1:45 PM;;($0.44);1.0;
4;MacdPerfect;Sell to Close;-1.0;$115.46;10/22/20, 1:50 PM;($0.25);($0.44);0.0;
5;MacdPerfect;Buy to Open;1.0;$115.66;10/22/20, 1:55 PM;;($0.56);1.0;
6;MacdPerfect;Sell to Close;-1.0;$115.54;10/22/20, 2:00 PM;($0.13);($0.56);0.0;
7;MacdPerfect;Buy to Open;1.0;$115.85;10/22/20, 2:55 PM;;($0.59);1.0;
8;MacdPerfect;Sell to Close;-1.0;$115.62;10/22/20, 3:10 PM;($0.23);($0.79);0.0;
9;MacdPerfect;Buy to Open;1.0;$115.72;10/22/20, 3:20 PM;;($0.68);1.0;
10;MacdPerfect;Sell to Close;-1.0;$115.93;10/22/20, 3:50 PM;$0.21;($0.58);0.0;
11;MacdPerfect;Buy to Open;1.0;$115.87;10/22/20, 3:55 PM;;($0.68);1.0;
12;MacdPerfect;Sell to Close;-1.0;$116.38;10/23/20, 9:30 AM;$0.51;($0.07);0.0;
13;MacdPerfect;Buy to Open;1.0;$115.96;10/23/20, 9:35 AM;;($0.14);1.0;
14;MacdPerfect;Sell to Close;-1.0;$115.90;10/23/20, 9:40 AM;($0.06);($0.13);0.0;
15;MacdPerfect;Buy to Open;1.0;$115.02;10/23/20, 1:10 PM;;($0.24);1.0;
16;MacdPerfect;Sell to Close;-1.0;$114.93;10/23/20, 1:45 PM;($0.08);($0.22);0.0;
17;MacdPerfect;Buy to Open;1.0;$114.98;10/23/20, 1:50 PM;;($0.24);1.0;
18;MacdPerfect;Sell to Close;-1.0;$114.85;10/23/20, 2:00 PM;($0.13);($0.35);0.0;
19;MacdPerfect;Buy to Open;1.0;$114.96;10/23/20, 2:05 PM;;($0.28);1.0;
20;MacdPerfect;Sell to Close;-1.0;$114.88;10/23/20, 2:15 PM;($0.08);($0.43);0.0;
21;MacdPerfect;Buy to Open;1.0;$115.01;10/23/20, 3:55 PM;;($0.39);1.0;
22;MacdPerfect;Sell to Close;-1.0;$114.01;10/26/20, 9:30 AM;($1.00);($1.43);0.0;
23;MacdPerfect;Buy to Open;1.0;$114.22;10/26/20, 2:40 PM;;($1.43);1.0;
24;MacdPerfect;Sell to Close;-1.0;$113.98;10/26/20, 2:50 PM;($0.24);($1.66);0.0;
25;MacdPerfect;Buy to Open;1.0;$114.08;10/26/20, 2:55 PM;;($1.58);1.0;
26;MacdPerfect;Sell to Close;-1.0;$114.02;10/26/20, 3:10 PM;($0.06);($1.73);0.0;
27;MacdPerfect;Buy to Open;1.0;$114.04;10/26/20, 3:15 PM;;($1.50);1.0;
28;MacdPerfect;Sell to Close;-1.0;$114.44;10/26/20, 3:50 PM;$0.40;($1.33);0.0;
29;MacdPerfect;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;($1.12);1.0;
30;MacdPerfect;Sell to Close;-1.0;$115.16;10/27/20, 9:50 AM;$0.41;($0.92);0.0;
31;MacdPerfect;Buy to Open;1.0;$115.65;10/27/20, 9:55 AM;;($0.57);1.0;
32;MacdPerfect;Sell to Close;-1.0;$115.96;10/27/20, 10:15 AM;$0.31;($0.60);0.0;
33;MacdPerfect;Buy to Open;1.0;$113.18;10/28/20, 2:00 PM;;($0.79);1.0;
34;MacdPerfect;Sell to Close;-1.0;$112.99;10/28/20, 2:05 PM;($0.19);($0.79);0.0;
35;MacdPerfect;Buy to Open;1.0;$112.97;10/28/20, 2:10 PM;;($1.04);1.0;
36;MacdPerfect;Sell to Close;-1.0;$112.70;10/28/20, 2:15 PM;($0.27);($1.06);0.0;
37;MacdPerfect;Buy to Open;1.0;$112.78;10/28/20, 2:20 PM;;($0.76);1.0;
38;MacdPerfect;Sell to Close;-1.0;$112.88;10/28/20, 2:40 PM;$0.10;($0.95);0.0;
39;MacdPerfect;Buy to Open;1.0;$113.43;10/29/20, 9:50 AM;;($0.39);1.0;
40;MacdPerfect;Sell to Close;-1.0;$113.59;10/29/20, 10:15 AM;$0.16;($0.79);0.0;
41;MacdPerfect;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;($0.39);1.0;
42;MacdPerfect;Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);($0.83);0.0;
43;MacdPerfect;Buy to Open;1.0;$109.63;11/2/20, 10:05 AM;;($1.20);1.0;
44;MacdPerfect;Sell to Close;-1.0;$109.27;11/2/20, 10:10 AM;($0.36);($1.19);0.0;
45;MacdPerfect;Buy to Open;1.0;$109.86;11/2/20, 10:15 AM;;($0.88);1.0;
46;MacdPerfect;Sell to Close;-1.0;$109.48;11/2/20, 10:35 AM;($0.39);($1.57);0.0;
47;MacdPerfect;Buy to Open;1.0;$108.20;11/2/20, 3:20 PM;;($1.58);1.0;
48;MacdPerfect;Sell to Close;-1.0;$107.98;11/2/20, 3:35 PM;($0.22);($1.79);0.0;
49;MacdPerfect;Buy to Open;1.0;$108.00;11/2/20, 3:40 PM;;($2.00);1.0;
50;MacdPerfect;Sell to Close;-1.0;$107.80;11/2/20, 3:45 PM;($0.20);($1.99);0.0;
51;MacdPerfect;Buy to Open;1.0;$108.02;11/2/20, 3:50 PM;;($1.64);1.0;
52;MacdPerfect;Sell to Close;-1.0;$108.37;11/2/20, 3:55 PM;$0.35;($1.64);0.0;
53;MacdPerfect;Buy to Open;1.0;$109.66;11/3/20, 9:30 AM;;($2.26);1.0;
54;MacdPerfect;Sell to Close;-1.0;$109.04;11/3/20, 9:35 AM;($0.62);($2.26);0.0;
55;MacdPerfect;Buy to Open;1.0;$109.15;11/3/20, 9:40 AM;;($2.14);1.0;
56;MacdPerfect;Sell to Close;-1.0;$110.69;11/3/20, 10:30 AM;$1.53;($0.73);0.0;
57;MacdPerfect;Buy to Open;1.0;$110.86;11/3/20, 3:30 PM;;($0.51);1.0;
58;MacdPerfect;Sell to Close;-1.0;$110.81;11/3/20, 3:45 PM;($0.05);($0.78);0.0;
59;MacdPerfect;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;($1.88);1.0;
60;MacdPerfect;Sell to Close;-1.0;$112.75;11/4/20, 9:40 AM;($1.10);($1.88);0.0;
61;MacdPerfect;Buy to Open;1.0;$113.44;11/4/20, 9:45 AM;;($2.28);1.0;
62;MacdPerfect;Sell to Close;-1.0;$113.03;11/4/20, 9:50 AM;($0.41);($2.29);0.0;
63;MacdPerfect;Buy to Open;1.0;$112.97;11/4/20, 9:55 AM;;($1.71);1.0;
64;MacdPerfect;Sell to Close;-1.0;$114.93;11/4/20, 10:30 AM;$1.96;($0.33);0.0;
65;MacdPerfect;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$0.34;1.0;
66;MacdPerfect;Sell to Close;-1.0;$118.76;11/5/20, 10:10 AM;$1.29;$0.96;0.0;
67;MacdPerfect;Buy to Open;1.0;$118.34;11/5/20, 10:15 AM;;$1.22;1.0;
68;MacdPerfect;Sell to Close;-1.0;$117.92;11/5/20, 10:25 AM;($0.42);$0.54;0.0;
69;MacdPerfect;Buy to Open;1.0;$118.05;11/5/20, 1:20 PM;;$0.81;1.0;
70;MacdPerfect;Sell to Close;-1.0;$118.45;11/5/20, 2:10 PM;$0.40;$0.93;0.0;
71;MacdPerfect;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$0.13;1.0;
72;MacdPerfect;Sell to Close;-1.0;$119.09;11/9/20, 9:40 AM;($0.81);$0.12;0.0;
73;MacdPerfect;Buy to Open;1.0;$119.38;11/9/20, 9:45 AM;;$1.01;1.0;
74;MacdPerfect;Sell to Close;-1.0;$119.65;11/9/20, 9:55 AM;$0.27;$0.39;0.0;
75;MacdPerfect;Buy to Open;1.0;$119.73;11/9/20, 10:00 AM;;$1.55;1.0;
76;MacdPerfect;Sell to Close;-1.0;$121.16;11/9/20, 10:40 AM;$1.43;$1.82;0.0;
77;MacdPerfect;Buy to Open;1.0;$117.00;11/11/20, 9:35 AM;;$2.11;1.0;
78;MacdPerfect;Sell to Close;-1.0;$117.99;11/11/20, 10:20 AM;$0.99;$2.81;0.0;
79;MacdPerfect;Buy to Open;1.0;$119.70;11/12/20, 9:45 AM;;$2.22;1.0;
80;MacdPerfect;Sell to Close;-1.0;$119.10;11/12/20, 9:50 AM;($0.60);$2.21;0.0;
81;MacdPerfect;Buy to Open;1.0;$119.47;11/12/20, 9:55 AM;;$2.46;1.0;
82;MacdPerfect;Sell to Close;-1.0;$119.91;11/12/20, 10:25 AM;$0.44;$2.65;0.0;
83;MacdPerfect;Buy to Open;1.0;$119.22;11/12/20, 3:25 PM;;$2.46;1.0;
84;MacdPerfect;Sell to Close;-1.0;$119.03;11/12/20, 3:30 PM;($0.19);$2.46;0.0;
85;MacdPerfect;Buy to Open;1.0;$119.16;11/12/20, 3:35 PM;;$2.55;1.0;
86;MacdPerfect;Sell to Close;-1.0;$119.04;11/12/20, 3:45 PM;($0.13);$2.34;0.0;
87;MacdPerfect;Buy to Open;1.0;$119.45;11/13/20, 9:30 AM;;$2.00;1.0;
88;MacdPerfect;Sell to Close;-1.0;$119.10;11/13/20, 9:35 AM;($0.35);$1.99;0.0;
89;MacdPerfect;Buy to Open;1.0;$119.19;11/13/20, 9:40 AM;;$1.87;1.0;
90;MacdPerfect;Sell to Close;-1.0;$118.66;11/13/20, 9:50 AM;($0.53);$1.46;0.0;
