Strategy report
Symbol: AAPL
Work Time: 10/26/20, 9:30 AM - 7/7/21, 12:30 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$114.01;10/26/20, 9:30 AM;;$1.21;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.15;10/26/20, 9:45 AM;$1.14;$1.14;0.0;
3;MacdPerfect;Buy to Open;1.0;$114.59;10/26/20, 11:55 AM;;$0.74;1.0;
4;MacdPerfect;Sell to Close;-1.0;$114.17;10/26/20, 12:00 PM;($0.41);$0.73;0.0;
5;MacdPerfect;Buy to Open;1.0;$113.29;10/26/20, 1:40 PM;;$0.75;1.0;
6;MacdPerfect;Sell to Close;-1.0;$113.98;10/26/20, 2:50 PM;$0.69;$1.42;0.0;
7;MacdPerfect;Buy to Open;1.0;$114.08;10/26/20, 2:55 PM;;$1.50;1.0;
8;MacdPerfect;Sell to Close;-1.0;$114.02;10/26/20, 3:10 PM;($0.06);$1.35;0.0;
9;MacdPerfect;Buy to Open;1.0;$114.04;10/26/20, 3:15 PM;;$1.58;1.0;
10;MacdPerfect;Sell to Close;-1.0;$114.44;10/26/20, 3:50 PM;$0.40;$1.75;0.0;
11;MacdPerfect;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;$1.96;1.0;
12;MacdPerfect;Sell to Close;-1.0;$115.16;10/27/20, 9:50 AM;$0.41;$2.16;0.0;
13;MacdPerfect;Buy to Open;1.0;$115.65;10/27/20, 9:55 AM;;$2.51;1.0;
14;MacdPerfect;Sell to Close;-1.0;$115.96;10/27/20, 10:15 AM;$0.31;$2.48;0.0;
15;MacdPerfect;Buy to Open;1.0;$113.18;10/28/20, 2:00 PM;;$2.29;1.0;
16;MacdPerfect;Sell to Close;-1.0;$112.99;10/28/20, 2:05 PM;($0.19);$2.29;0.0;
17;MacdPerfect;Buy to Open;1.0;$112.97;10/28/20, 2:10 PM;;$2.04;1.0;
18;MacdPerfect;Sell to Close;-1.0;$112.70;10/28/20, 2:15 PM;($0.27);$2.02;0.0;
19;MacdPerfect;Buy to Open;1.0;$112.78;10/28/20, 2:20 PM;;$2.32;1.0;
20;MacdPerfect;Sell to Close;-1.0;$112.88;10/28/20, 2:40 PM;$0.10;$2.13;0.0;
21;MacdPerfect;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;$1.45;1.0;
22;MacdPerfect;Sell to Close;-1.0;$112.97;10/29/20, 9:40 AM;($0.68);$1.45;0.0;
23;MacdPerfect;Buy to Open;1.0;$113.43;10/29/20, 9:50 AM;;$2.01;1.0;
24;MacdPerfect;Sell to Close;-1.0;$113.59;10/29/20, 10:15 AM;$0.16;$1.61;0.0;
25;MacdPerfect;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$2.01;1.0;
26;MacdPerfect;Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$1.57;0.0;
27;MacdPerfect;Buy to Open;1.0;$109.63;11/2/20, 10:05 AM;;$1.21;1.0;
28;MacdPerfect;Sell to Close;-1.0;$109.27;11/2/20, 10:10 AM;($0.36);$1.22;0.0;
29;MacdPerfect;Buy to Open;1.0;$109.86;11/2/20, 10:15 AM;;$1.53;1.0;
30;MacdPerfect;Sell to Close;-1.0;$109.48;11/2/20, 10:35 AM;($0.39);$0.83;0.0;
31;MacdPerfect;Buy to Open;1.0;$108.31;11/2/20, 11:45 AM;;$0.66;1.0;
32;MacdPerfect;Sell to Close;-1.0;$107.91;11/2/20, 12:00 PM;($0.40);$0.43;0.0;
33;MacdPerfect;Buy to Open;1.0;$107.71;11/2/20, 2:10 PM;;$0.19;1.0;
34;MacdPerfect;Sell to Close;-1.0;$107.47;11/2/20, 2:15 PM;($0.23);$0.20;0.0;
35;MacdPerfect;Buy to Open;1.0;$107.76;11/2/20, 2:25 PM;;$0.25;1.0;
36;MacdPerfect;Sell to Close;-1.0;$107.64;11/2/20, 2:55 PM;($0.12);$0.07;0.0;
37;MacdPerfect;Buy to Open;1.0;$108.20;11/2/20, 3:20 PM;;$0.06;1.0;
38;MacdPerfect;Sell to Close;-1.0;$107.98;11/2/20, 3:35 PM;($0.22);($0.15);0.0;
39;MacdPerfect;Buy to Open;1.0;$108.00;11/2/20, 3:40 PM;;($0.35);1.0;
40;MacdPerfect;Sell to Close;-1.0;$107.80;11/2/20, 3:45 PM;($0.20);($0.35);0.0;
41;MacdPerfect;Buy to Open;1.0;$108.02;11/2/20, 3:50 PM;;$0.00;1.0;
42;MacdPerfect;Sell to Close;-1.0;$108.37;11/2/20, 3:55 PM;$0.35;$0.00;0.0;
43;MacdPerfect;Buy to Open;1.0;$109.66;11/3/20, 9:30 AM;;($0.62);1.0;
44;MacdPerfect;Sell to Close;-1.0;$109.04;11/3/20, 9:35 AM;($0.62);($0.62);0.0;
45;MacdPerfect;Buy to Open;1.0;$109.15;11/3/20, 9:40 AM;;($0.50);1.0;
46;MacdPerfect;Sell to Close;-1.0;$110.69;11/3/20, 10:30 AM;$1.53;$0.92;0.0;
47;MacdPerfect;Buy to Open;1.0;$110.86;11/3/20, 3:30 PM;;$1.13;1.0;
48;MacdPerfect;Sell to Close;-1.0;$110.81;11/3/20, 3:45 PM;($0.05);$0.87;0.0;
49;MacdPerfect;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;($0.24);1.0;
50;MacdPerfect;Sell to Close;-1.0;$112.75;11/4/20, 9:40 AM;($1.10);($0.23);0.0;
