Strategy report
Symbol: AAPL
Work Time: 10/29/20, 9:35 AM - 7/7/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;40.0;$113.65;10/29/20, 9:35 AM;;($27.20);40.0;
2;MacdPerfect;Sell to Close;-40.0;$113.93;10/29/20, 10:10 AM;$11.20;$11.20;0.0;
3;MacdPerfect;Buy to Open;40.0;$109.87;11/2/20, 9:35 AM;;$27.20;40.0;
4;MacdPerfect;Sell to Close;-40.0;$109.83;11/2/20, 10:00 AM;($1.60);$9.60;0.0;
5;MacdPerfect;Buy to Open;40.0;$109.04;11/3/20, 9:35 AM;;$13.20;40.0;
6;MacdPerfect;Sell to Close;-40.0;$110.92;11/3/20, 10:25 AM;$75.20;$84.80;0.0;
7;MacdPerfect;Buy to Open;40.0;$113.85;11/4/20, 9:35 AM;;$40.67;40.0;
8;MacdPerfect;Sell to Close;-40.0;$114.55;11/4/20, 10:10 AM;$28.00;$112.80;0.0;
9;MacdPerfect;Buy to Open;40.0;$117.47;11/5/20, 9:35 AM;;$139.50;40.0;
10;MacdPerfect;Sell to Close;-40.0;$118.97;11/5/20, 10:05 AM;$59.72;$172.52;0.0;
11;MacdPerfect;Buy to Open;40.0;$119.90;11/9/20, 9:35 AM;;$140.52;40.0;
12;MacdPerfect;Sell to Close;-40.0;$119.09;11/9/20, 9:40 AM;($32.40);$140.12;0.0;
13;MacdPerfect;Buy to Open;40.0;$117.35;11/10/20, 9:35 AM;;$117.32;40.0;
14;MacdPerfect;Sell to Close;-40.0;$115.93;11/10/20, 10:25 AM;($57.00);$83.12;0.0;
15;MacdPerfect;Buy to Open;40.0;$117.00;11/11/20, 9:35 AM;;$94.72;40.0;
16;MacdPerfect;Sell to Close;-40.0;$118.33;11/11/20, 10:10 AM;$53.20;$136.33;0.0;
17;MacdPerfect;Buy to Open;40.0;$119.29;11/12/20, 9:35 AM;;$157.77;40.0;
18;MacdPerfect;Sell to Close;-40.0;$119.70;11/12/20, 9:45 AM;$16.40;$152.73;0.0;
19;MacdPerfect;Buy to Open;40.0;$119.10;11/13/20, 9:35 AM;;$155.99;40.0;
20;MacdPerfect;Sell to Close;-40.0;$119.19;11/13/20, 9:40 AM;$3.40;$156.13;0.0;
21;MacdPerfect;Buy to Open;40.0;$119.09;11/18/20, 9:40 AM;;$152.13;40.0;
22;MacdPerfect;Sell to Close;-40.0;$119.22;11/18/20, 11:10 AM;$5.00;$161.13;0.0;
23;MacdPerfect;Buy to Open;40.0;$115.74;11/25/20, 9:35 AM;;$180.79;40.0;
24;MacdPerfect;Sell to Close;-40.0;$115.82;11/25/20, 10:05 AM;$3.20;$164.33;0.0;
25;MacdPerfect;Buy to Open;40.0;$117.03;11/27/20, 9:35 AM;;$161.22;40.0;
26;MacdPerfect;Sell to Close;-40.0;$116.86;11/27/20, 9:55 AM;($6.80);$157.53;0.0;
27;MacdPerfect;Buy to Open;40.0;$118.24;11/30/20, 9:35 AM;;$185.30;40.0;
28;MacdPerfect;Sell to Close;-40.0;$119.04;11/30/20, 10:05 AM;$32.00;$189.53;0.0;
29;MacdPerfect;Buy to Open;40.0;$120.32;12/1/20, 9:35 AM;;$227.11;40.0;
30;MacdPerfect;Sell to Close;-40.0;$122.75;12/1/20, 10:15 AM;$97.20;$286.73;0.0;
31;MacdPerfect;Buy to Open;40.0;$123.37;12/3/20, 9:35 AM;;$281.13;40.0;
32;MacdPerfect;Sell to Close;-40.0;$123.23;12/3/20, 9:40 AM;($5.60);$281.13;0.0;
33;MacdPerfect;Buy to Open;40.0;$123.09;12/7/20, 9:35 AM;;$295.93;40.0;
34;MacdPerfect;Sell to Close;-40.0;$124.21;12/7/20, 10:10 AM;$44.80;$325.93;0.0;
35;MacdPerfect;Buy to Open;40.0;$124.40;12/9/20, 9:40 AM;;$343.94;40.0;
36;MacdPerfect;Sell to Close;-40.0;$125.32;12/9/20, 10:10 AM;$36.74;$362.66;0.0;
37;MacdPerfect;Buy to Open;40.0;$122.74;12/14/20, 9:35 AM;;$374.66;40.0;
38;MacdPerfect;Sell to Close;-40.0;$122.95;12/14/20, 10:00 AM;$8.60;$371.26;0.0;
39;MacdPerfect;Buy to Open;40.0;$125.17;12/15/20, 9:35 AM;;$413.00;40.0;
40;MacdPerfect;Sell to Close;-40.0;$126.35;12/15/20, 10:05 AM;$47.35;$418.62;0.0;
41;MacdPerfect;Buy to Open;40.0;$129.19;12/17/20, 9:35 AM;;$432.74;40.0;
42;MacdPerfect;Sell to Close;-40.0;$128.93;12/17/20, 9:45 AM;($10.67);$407.94;0.0;
43;MacdPerfect;Buy to Open;40.0;$130.91;12/22/20, 9:35 AM;;$442.99;40.0;
44;MacdPerfect;Sell to Close;-40.0;$133.78;12/22/20, 10:05 AM;$114.68;$522.62;0.0;
45;MacdPerfect;Buy to Open;40.0;$131.95;12/24/20, 9:35 AM;;$522.62;40.0;
46;MacdPerfect;Sell to Close;-40.0;$132.32;12/24/20, 10:05 AM;$14.70;$537.32;0.0;
47;MacdPerfect;Buy to Open;40.0;$134.38;12/28/20, 9:35 AM;;$554.52;40.0;
48;MacdPerfect;Sell to Close;-40.0;$135.48;12/28/20, 10:05 AM;$44.00;$581.32;0.0;
49;MacdPerfect;Buy to Open;40.0;$138.42;12/29/20, 9:35 AM;;$559.20;40.0;
50;MacdPerfect;Sell to Close;-40.0;$137.35;12/29/20, 9:45 AM;($42.86);$538.46;0.0;
51;MacdPerfect;Buy to Open;40.0;$130.49;1/5/21, 9:35 AM;;$547.18;40.0;
52;MacdPerfect;Sell to Close;-40.0;$131.20;1/5/21, 10:05 AM;$28.52;$566.98;0.0;
53;MacdPerfect;Buy to Open;40.0;$132.32;1/8/21, 9:35 AM;;$532.98;40.0;
54;MacdPerfect;Sell to Close;-40.0;$131.48;1/8/21, 9:40 AM;($33.60);$533.38;0.0;
55;MacdPerfect;Buy to Open;40.0;$129.27;1/13/21, 9:35 AM;;$533.38;40.0;
56;MacdPerfect;Sell to Close;-40.0;$128.94;1/13/21, 9:45 AM;($13.06);$520.32;0.0;
57;MacdPerfect;Buy to Open;40.0;$130.01;1/15/21, 9:35 AM;;$513.12;40.0;
58;MacdPerfect;Sell to Close;-40.0;$129.51;1/15/21, 9:55 AM;($19.80);$500.52;0.0;
59;MacdPerfect;Buy to Open;40.0;$128.31;1/19/21, 9:35 AM;;$489.72;40.0;
60;MacdPerfect;Sell to Close;-40.0;$127.51;1/19/21, 9:55 AM;($31.88);$468.64;0.0;
61;MacdPerfect;Buy to Open;40.0;$129.32;1/20/21, 9:35 AM;;$494.23;40.0;
62;MacdPerfect;Sell to Close;-40.0;$130.03;1/20/21, 10:05 AM;$28.40;$497.04;0.0;
63;MacdPerfect;Buy to Open;40.0;$133.99;1/21/21, 9:35 AM;;$516.80;40.0;
64;MacdPerfect;Sell to Close;-40.0;$135.29;1/21/21, 10:10 AM;$51.98;$549.02;0.0;
65;MacdPerfect;Buy to Open;40.0;$144.54;1/25/21, 9:35 AM;;$562.62;40.0;
66;MacdPerfect;Sell to Close;-40.0;$144.76;1/25/21, 10:05 AM;$9.00;$558.02;0.0;
67;MacdPerfect;Buy to Open;40.0;$143.95;1/26/21, 9:35 AM;;$551.62;40.0;
68;MacdPerfect;Sell to Close;-40.0;$142.06;1/26/21, 9:45 AM;($75.53);$482.49;0.0;
69;MacdPerfect;Buy to Open;40.0;$134.66;2/1/21, 9:35 AM;;$441.29;40.0;
70;MacdPerfect;Sell to Close;-40.0;$133.20;2/1/21, 9:45 AM;($58.60);$423.89;0.0;
71;MacdPerfect;Buy to Open;40.0;$135.95;2/2/21, 9:35 AM;;$415.49;40.0;
72;MacdPerfect;Sell to Close;-40.0;$135.24;2/2/21, 9:50 AM;($28.40);$395.49;0.0;
73;MacdPerfect;Sell to Close;-40.0;$134.98;2/3/21, 9:35 AM;$0.00;$417.49;-40.0;
74;MacdPerfect;Buy to Open;40.0;$134.98;2/3/21, 9:35 AM;;$395.49;0.0;
75;MacdPerfect;Buy to Open;40.0;$135.93;2/4/21, 9:35 AM;;$384.69;40.0;
76;MacdPerfect;Sell to Close;-40.0;$135.28;2/4/21, 10:00 AM;($26.20);$369.29;0.0;
77;MacdPerfect;Buy to Open;40.0;$137.36;2/9/21, 9:35 AM;;$373.29;40.0;
78;MacdPerfect;Sell to Close;-40.0;$137.07;2/9/21, 9:50 AM;($11.40);$357.89;0.0;
79;MacdPerfect;Buy to Open;40.0;$136.53;2/10/21, 9:35 AM;;$352.29;40.0;
80;MacdPerfect;Sell to Close;-40.0;$136.17;2/10/21, 9:55 AM;($14.40);$343.49;0.0;
81;MacdPerfect;Buy to Open;40.0;$136.02;2/11/21, 9:35 AM;;$350.21;40.0;
82;MacdPerfect;Sell to Close;-40.0;$135.22;2/11/21, 9:55 AM;($32.00);$311.49;0.0;
83;MacdPerfect;Sell to Close;-40.0;$135.27;2/16/21, 9:35 AM;$0.00;$325.09;-40.0;
84;MacdPerfect;Buy to Open;40.0;$135.27;2/16/21, 9:35 AM;;$311.49;0.0;
85;MacdPerfect;Sell to Close;-40.0;$134.93;2/16/21, 9:40 AM;$0.00;$315.09;-40.0;
86;MacdPerfect;Buy to Open;40.0;$134.93;2/16/21, 9:40 AM;;$311.49;0.0;
87;MacdPerfect;Buy to Open;40.0;$129.77;2/19/21, 9:35 AM;;$306.09;40.0;
88;MacdPerfect;Sell to Close;-40.0;$129.64;2/19/21, 9:40 AM;($5.40);$306.09;0.0;
89;MacdPerfect;Buy to Open;40.0;$125.22;2/25/21, 9:35 AM;;$339.09;40.0;
90;MacdPerfect;Sell to Close;-40.0;$125.24;2/25/21, 9:45 AM;$0.60;$306.69;0.0;
91;MacdPerfect;Buy to Open;40.0;$123.47;2/26/21, 9:40 AM;;$297.48;40.0;
92;MacdPerfect;Sell to Close;-40.0;$122.58;2/26/21, 9:55 AM;($35.57);$271.12;0.0;
93;MacdPerfect;Sell to Close;-40.0;$125.57;3/3/21, 9:35 AM;$0.00;$297.52;-40.0;
94;MacdPerfect;Buy to Open;40.0;$125.57;3/3/21, 9:35 AM;;$271.12;0.0;
95;MacdPerfect;Buy to Open;40.0;$119.33;3/9/21, 9:35 AM;;$276.29;40.0;
96;MacdPerfect;Sell to Close;-40.0;$120.54;3/9/21, 10:10 AM;$48.40;$319.52;0.0;
97;MacdPerfect;Buy to Open;40.0;$122.77;3/11/21, 9:35 AM;;$321.92;40.0;
98;MacdPerfect;Sell to Close;-40.0;$121.73;3/11/21, 9:55 AM;($41.80);$277.72;0.0;
99;MacdPerfect;Sell to Close;-40.0;$120.88;3/15/21, 9:35 AM;$0.00;$274.72;-40.0;
100;MacdPerfect;Buy to Open;40.0;$120.88;3/15/21, 9:35 AM;;$277.72;0.0;
101;MacdPerfect;Buy to Open;40.0;$120.95;3/15/21, 9:40 AM;;$302.15;40.0;
102;MacdPerfect;Sell to Close;-40.0;$122.92;3/15/21, 10:20 AM;$78.80;$356.52;0.0;
103;MacdPerfect;Buy to Open;40.0;$126.00;3/16/21, 9:35 AM;;$335.72;40.0;
104;MacdPerfect;Sell to Close;-40.0;$126.70;3/16/21, 10:05 AM;$27.96;$384.48;0.0;
105;MacdPerfect;Buy to Open;40.0;$121.62;3/22/21, 9:35 AM;;$381.29;40.0;
106;MacdPerfect;Sell to Close;-40.0;$121.74;3/22/21, 10:05 AM;$4.80;$389.29;0.0;
107;MacdPerfect;Buy to Open;40.0;$120.64;3/25/21, 9:40 AM;;$383.29;40.0;
108;MacdPerfect;Sell to Close;-40.0;$121.05;3/25/21, 10:25 AM;$16.40;$405.69;0.0;
109;MacdPerfect;Buy to Open;40.0;$122.12;3/29/21, 9:35 AM;;$414.88;40.0;
110;MacdPerfect;Sell to Close;-40.0;$121.52;3/29/21, 9:55 AM;($24.00);$381.68;0.0;
111;MacdPerfect;Buy to Open;40.0;$121.57;3/31/21, 9:35 AM;;$402.10;40.0;
112;MacdPerfect;Sell to Close;-40.0;$122.83;3/31/21, 10:10 AM;$50.42;$432.10;0.0;
113;MacdPerfect;Buy to Open;40.0;$123.39;4/1/21, 9:35 AM;;$455.27;40.0;
114;MacdPerfect;Sell to Close;-40.0;$123.11;4/1/21, 10:05 AM;($11.20);$420.90;0.0;
115;MacdPerfect;Buy to Open;40.0;$123.39;4/5/21, 9:35 AM;;$448.50;40.0;
116;MacdPerfect;Sell to Close;-40.0;$125.41;4/5/21, 10:10 AM;$80.80;$501.70;0.0;
117;MacdPerfect;Buy to Open;40.0;$125.82;4/6/21, 9:35 AM;;$515.32;40.0;
118;MacdPerfect;Sell to Close;-40.0;$126.42;4/6/21, 10:15 AM;$24.12;$525.82;0.0;
119;MacdPerfect;Buy to Open;40.0;$129.31;4/8/21, 9:35 AM;;$528.88;40.0;
120;MacdPerfect;Sell to Close;-40.0;$129.80;4/8/21, 10:05 AM;$19.46;$545.28;0.0;
121;MacdPerfect;Buy to Open;40.0;$132.23;4/13/21, 9:35 AM;;$574.09;40.0;
122;MacdPerfect;Sell to Close;-40.0;$132.78;4/13/21, 10:05 AM;$21.80;$567.08;0.0;
123;MacdPerfect;Buy to Open;40.0;$134.01;4/15/21, 9:35 AM;;$585.88;40.0;
124;MacdPerfect;Sell to Close;-40.0;$134.26;4/15/21, 10:05 AM;$10.00;$577.08;0.0;
125;MacdPerfect;Buy to Open;40.0;$134.47;4/19/21, 9:35 AM;;$586.24;40.0;
126;MacdPerfect;Sell to Close;-40.0;$135.04;4/19/21, 10:05 AM;$22.80;$599.88;0.0;
127;MacdPerfect;Buy to Open;40.0;$134.77;4/20/21, 9:35 AM;;$601.08;40.0;
128;MacdPerfect;Sell to Close;-40.0;$134.94;4/20/21, 10:05 AM;$6.80;$606.68;0.0;
129;MacdPerfect;Buy to Open;40.0;$134.97;4/27/21, 9:35 AM;;$599.68;40.0;
130;MacdPerfect;Sell to Close;-40.0;$134.79;4/27/21, 9:45 AM;($7.40);$599.28;0.0;
131;MacdPerfect;Buy to Open;40.0;$135.93;4/29/21, 9:35 AM;;$532.84;40.0;
132;MacdPerfect;Sell to Close;-40.0;$134.40;4/29/21, 9:55 AM;($61.20);$538.08;0.0;
133;MacdPerfect;Buy to Open;40.0;$132.61;5/3/21, 9:40 AM;;$549.28;40.0;
134;MacdPerfect;Sell to Close;-40.0;$133.51;5/3/21, 10:10 AM;$36.00;$574.08;0.0;
135;MacdPerfect;Buy to Open;40.0;$129.91;5/5/21, 9:35 AM;;$569.48;40.0;
136;MacdPerfect;Sell to Close;-40.0;$129.73;5/5/21, 10:00 AM;($7.00);$567.08;0.0;
137;MacdPerfect;Buy to Open;40.0;$128.17;5/6/21, 9:40 AM;;$559.28;40.0;
138;MacdPerfect;Sell to Close;-40.0;$127.59;5/6/21, 10:00 AM;($23.20);$543.88;0.0;
139;MacdPerfect;Buy to Open;40.0;$130.00;5/7/21, 9:35 AM;;$546.68;40.0;
140;MacdPerfect;Sell to Close;-40.0;$129.71;5/7/21, 9:45 AM;($11.60);$532.28;0.0;
141;MacdPerfect;Buy to Open;40.0;$125.19;5/13/21, 9:35 AM;;$533.13;40.0;
142;MacdPerfect;Sell to Close;-40.0;$125.37;5/13/21, 10:05 AM;$7.20;$539.48;0.0;
143;MacdPerfect;Buy to Open;40.0;$126.95;5/14/21, 9:35 AM;;$530.88;40.0;
144;MacdPerfect;Sell to Close;-40.0;$126.07;5/14/21, 9:50 AM;($35.00);$504.48;0.0;
