Strategy report
Symbol: AAPL
Work Time: 10/27/20, 9:35 AM - 7/7/21, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;$0.21;1.0;
2;AAA;Sell to Close;-1.0;$116.21;10/27/20, 10:10 AM;$1.45;$1.45;0.0;
3;AAA;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;$0.77;1.0;
4;AAA;Sell to Close;-1.0;$113.43;10/29/20, 9:50 AM;($0.22);$1.23;0.0;
5;AAA;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$1.63;1.0;
6;AAA;Sell to Close;-1.0;$110.23;11/2/20, 9:45 AM;$0.36;$1.59;0.0;
7;AAA;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$1.68;1.0;
8;AAA;Sell to Close;-1.0;$109.28;11/3/20, 9:45 AM;$0.24;$1.83;0.0;
9;AAA;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$0.73;1.0;
10;AAA;Sell to Close;-1.0;$113.03;11/4/20, 9:50 AM;($0.82);$1.02;0.0;
11;AAA;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$1.68;1.0;
12;AAA;Sell to Close;-1.0;$119.32;11/5/20, 9:50 AM;$1.85;$2.86;0.0;
13;AAA;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$2.06;1.0;
14;AAA;Sell to Close;-1.0;$120.28;11/9/20, 9:50 AM;$0.38;$3.24;0.0;
15;AAA;Buy to Open;1.0;$117.35;11/10/20, 9:35 AM;;$2.67;1.0;
16;AAA;Sell to Close;-1.0;$116.67;11/10/20, 9:50 AM;($0.68);$2.56;0.0;
17;AAA;Buy to Open;1.0;$119.29;11/12/20, 9:35 AM;;$3.10;1.0;
18;AAA;Sell to Close;-1.0;$119.70;11/12/20, 9:45 AM;$0.41;$2.97;0.0;
19;AAA;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$3.05;1.0;
20;AAA;Sell to Close;-1.0;$119.19;11/13/20, 9:40 AM;$0.09;$3.06;0.0;
21;AAA;Buy to Open;1.0;$119.09;11/18/20, 9:40 AM;;$2.96;1.0;
22;AAA;Sell to Close;-1.0;$118.97;11/18/20, 9:55 AM;($0.12);$2.94;0.0;
23;AAA;Buy to Open;1.0;$115.74;11/25/20, 9:35 AM;;$3.43;1.0;
24;AAA;Sell to Close;-1.0;$116.31;11/25/20, 9:50 AM;$0.57;$3.51;0.0;
25;AAA;Buy to Open;1.0;$117.03;11/27/20, 9:35 AM;;$3.43;1.0;
26;AAA;Sell to Close;-1.0;$117.05;11/27/20, 9:50 AM;$0.02;$3.53;0.0;
27;AAA;Buy to Open;1.0;$118.24;11/30/20, 9:35 AM;;$4.22;1.0;
28;AAA;Sell to Close;-1.0;$119.06;11/30/20, 9:50 AM;$0.82;$4.35;0.0;
29;AAA;Buy to Open;1.0;$120.32;12/1/20, 9:35 AM;;$5.29;1.0;
30;AAA;Sell to Close;-1.0;$121.97;12/1/20, 9:55 AM;$1.65;$6.00;0.0;
31;AAA;Buy to Open;1.0;$123.09;12/7/20, 9:35 AM;;$6.37;1.0;
32;AAA;Sell to Close;-1.0;$123.98;12/7/20, 9:50 AM;$0.89;$6.89;0.0;
33;AAA;Buy to Open;1.0;$124.40;12/9/20, 9:40 AM;;$7.34;1.0;
34;AAA;Sell to Close;-1.0;$125.86;12/9/20, 10:00 AM;$1.46;$8.35;0.0;
35;AAA;Buy to Open;1.0;$122.74;12/14/20, 9:35 AM;;$8.65;1.0;
36;AAA;Sell to Close;-1.0;$122.79;12/14/20, 9:45 AM;$0.06;$8.41;0.0;
37;AAA;Buy to Open;1.0;$125.17;12/15/20, 9:35 AM;;$9.45;1.0;
38;AAA;Sell to Close;-1.0;$126.91;12/15/20, 9:50 AM;$1.74;$10.15;0.0;
39;AAA;Buy to Open;1.0;$129.19;12/17/20, 9:35 AM;;$10.50;1.0;
40;AAA;Sell to Close;-1.0;$128.93;12/17/20, 9:45 AM;($0.27);$9.88;0.0;
41;AAA;Buy to Open;1.0;$130.91;12/22/20, 9:35 AM;;$10.76;1.0;
42;AAA;Sell to Close;-1.0;$133.17;12/22/20, 9:50 AM;$2.25;$12.13;0.0;
43;AAA;Buy to Open;1.0;$131.95;12/24/20, 9:35 AM;;$12.13;1.0;
44;AAA;Sell to Close;-1.0;$132.67;12/24/20, 9:55 AM;$0.72;$12.85;0.0;
45;AAA;Buy to Open;1.0;$134.38;12/28/20, 9:35 AM;;$13.28;1.0;
46;AAA;Sell to Close;-1.0;$135.37;12/28/20, 9:50 AM;$0.99;$13.85;0.0;
47;AAA;Buy to Open;1.0;$138.42;12/29/20, 9:35 AM;;$13.29;1.0;
48;AAA;Sell to Close;-1.0;$137.35;12/29/20, 9:45 AM;($1.07);$12.77;0.0;
49;AAA;Buy to Open;1.0;$130.49;1/5/21, 9:35 AM;;$12.99;1.0;
50;AAA;Sell to Close;-1.0;$130.84;1/5/21, 9:50 AM;$0.35;$13.13;0.0;
51;AAA;Buy to Open;1.0;$132.32;1/8/21, 9:35 AM;;$12.28;1.0;
52;AAA;Sell to Close;-1.0;$131.41;1/8/21, 9:45 AM;($0.91);$12.22;0.0;
53;AAA;Buy to Open;1.0;$129.27;1/13/21, 9:35 AM;;$12.22;1.0;
54;AAA;Sell to Close;-1.0;$129.27;1/13/21, 9:40 AM;$0.00;$12.22;0.0;
55;AAA;Buy to Open;1.0;$130.01;1/15/21, 9:35 AM;;$12.04;1.0;
56;AAA;Sell to Close;-1.0;$129.66;1/15/21, 9:45 AM;($0.35);$11.87;0.0;
57;AAA;Buy to Open;1.0;$128.31;1/19/21, 9:35 AM;;$11.60;1.0;
58;AAA;Sell to Close;-1.0;$127.94;1/19/21, 9:45 AM;($0.37);$11.50;0.0;
59;AAA;Buy to Open;1.0;$129.32;1/20/21, 9:35 AM;;$12.14;1.0;
60;AAA;Sell to Close;-1.0;$130.29;1/20/21, 9:50 AM;$0.97;$12.47;0.0;
61;AAA;Buy to Open;1.0;$133.99;1/21/21, 9:35 AM;;$12.96;1.0;
62;AAA;Sell to Close;-1.0;$134.77;1/21/21, 9:50 AM;$0.78;$13.25;0.0;
63;AAA;Buy to Open;1.0;$144.54;1/25/21, 9:35 AM;;$13.59;1.0;
64;AAA;Sell to Close;-1.0;$144.46;1/25/21, 9:45 AM;($0.08);$13.17;0.0;
65;AAA;Buy to Open;1.0;$143.95;1/26/21, 9:35 AM;;$13.01;1.0;
66;AAA;Sell to Close;-1.0;$143.79;1/26/21, 9:40 AM;($0.16);$13.01;0.0;
67;AAA;Buy to Open;1.0;$134.66;2/1/21, 9:35 AM;;$11.98;1.0;
68;AAA;Sell to Close;-1.0;$133.20;2/1/21, 9:45 AM;($1.47);$11.54;0.0;
69;AAA;Buy to Open;1.0;$135.95;2/2/21, 9:35 AM;;$11.33;1.0;
70;AAA;Sell to Close;-1.0;$135.65;2/2/21, 9:45 AM;($0.30);$11.24;0.0;
71;AAA;Buy to Open;1.0;$134.98;2/3/21, 9:35 AM;;$10.69;1.0;
72;AAA;Sell to Close;-1.0;$134.95;2/3/21, 10:05 AM;($0.03);$11.21;0.0;
73;AAA;Buy to Open;1.0;$135.93;2/4/21, 9:35 AM;;$10.94;1.0;
