Strategy report
Symbol: AAPL
Work Time: 1/7/20, 9:35 AM - 9/15/20, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$75.21;1/7/20, 9:35 AM;;($0.43);1.0;
2;MacdPerfect;Sell to Close;-1.0;$74.78;1/7/20, 9:40 AM;($0.43);($0.43);0.0;
3;MacdPerfect;Buy to Open;1.0;$76.88;1/9/20, 9:35 AM;;($0.20);1.0;
4;MacdPerfect;Sell to Close;-1.0;$77.05;1/9/20, 10:05 AM;$0.17;($0.26);0.0;
5;MacdPerfect;Buy to Open;1.0;$77.48;1/10/20, 9:35 AM;;($0.15);1.0;
6;MacdPerfect;Sell to Close;-1.0;$77.98;1/10/20, 10:15 AM;$0.51;$0.25;0.0;
7;MacdPerfect;Buy to Open;1.0;$78.24;1/13/20, 9:35 AM;;$0.18;1.0;
8;MacdPerfect;Sell to Close;-1.0;$78.24;1/13/20, 10:00 AM;$0.00;$0.25;0.0;
9;MacdPerfect;Buy to Open;1.0;$79.10;1/14/20, 9:35 AM;;$0.37;1.0;
10;MacdPerfect;Sell to Close;-1.0;$79.22;1/14/20, 9:40 AM;$0.12;$0.36;0.0;
11;MacdPerfect;Buy to Open;1.0;$79.05;1/17/20, 9:35 AM;;$0.30;1.0;
12;MacdPerfect;Sell to Close;-1.0;$79.26;1/17/20, 10:05 AM;$0.21;$0.57;0.0;
13;MacdPerfect;Sell to Close;-1.0;$79.45;1/21/20, 9:35 AM;$0.00;$0.66;-1.0;
14;MacdPerfect;Buy to Open;1.0;$79.45;1/21/20, 9:35 AM;;$0.57;0.0;
15;MacdPerfect;Buy to Open;1.0;$79.36;1/21/20, 9:40 AM;;$0.66;1.0;
16;MacdPerfect;Sell to Close;-1.0;$79.67;1/21/20, 11:45 AM;$0.30;$0.87;0.0;
17;MacdPerfect;Buy to Open;1.0;$79.55;1/22/20, 9:40 AM;;$0.73;1.0;
18;MacdPerfect;Sell to Close;-1.0;$79.52;1/22/20, 10:05 AM;($0.03);$0.84;0.0;
19;MacdPerfect;Buy to Open;1.0;$80.22;1/24/20, 9:35 AM;;$0.96;1.0;
20;MacdPerfect;Sell to Close;-1.0;$80.55;1/24/20, 10:05 AM;$0.33;$1.18;0.0;
21;MacdPerfect;Buy to Open;1.0;$78.34;1/28/20, 9:35 AM;;$1.14;1.0;
22;MacdPerfect;Sell to Close;-1.0;$78.16;1/28/20, 10:05 AM;($0.18);$1.00;0.0;
23;MacdPerfect;Buy to Open;1.0;$81.19;1/29/20, 9:35 AM;;$0.89;1.0;
24;MacdPerfect;Sell to Close;-1.0;$80.83;1/29/20, 10:00 AM;($0.36);$0.64;0.0;
25;MacdPerfect;Buy to Open;1.0;$80.45;1/31/20, 9:35 AM;;$0.45;1.0;
26;MacdPerfect;Sell to Close;-1.0;$78.89;1/31/20, 11:25 AM;($1.56);($0.92);0.0;
27;MacdPerfect;Buy to Open;1.0;$77.22;2/3/20, 9:40 AM;;($0.94);1.0;
28;MacdPerfect;Sell to Close;-1.0;$78.11;2/3/20, 10:30 AM;$0.89;($0.03);0.0;
29;MacdPerfect;Buy to Open;1.0;$79.16;2/4/20, 9:35 AM;;($0.31);1.0;
30;MacdPerfect;Sell to Close;-1.0;$78.60;2/4/20, 10:00 AM;($0.56);($0.59);0.0;
31;MacdPerfect;Buy to Open;1.0;$80.94;2/5/20, 9:35 AM;;($1.08);1.0;
32;MacdPerfect;Sell to Close;-1.0;$80.72;2/5/20, 10:05 AM;($0.23);($0.82);0.0;
33;MacdPerfect;Buy to Open;1.0;$80.54;2/11/20, 9:35 AM;;($0.71);1.0;
34;MacdPerfect;Sell to Close;-1.0;$80.44;2/11/20, 10:00 AM;($0.10);($0.92);0.0;
35;MacdPerfect;Buy to Open;1.0;$80.90;2/12/20, 9:40 AM;;($1.08);1.0;
36;MacdPerfect;Sell to Close;-1.0;$80.75;2/12/20, 10:05 AM;($0.16);($1.07);0.0;
37;MacdPerfect;Sell to Close;-1.0;$81.29;2/13/20, 9:35 AM;$0.00;($1.03);-1.0;
38;MacdPerfect;Buy to Open;1.0;$81.29;2/13/20, 9:35 AM;;($1.07);0.0;
39;MacdPerfect;Buy to Open;1.0;$80.19;2/19/20, 9:35 AM;;($0.81);1.0;
40;MacdPerfect;Sell to Close;-1.0;$80.57;2/19/20, 10:05 AM;$0.38;($0.70);0.0;
41;MacdPerfect;Buy to Open;1.0;$75.17;2/25/20, 9:35 AM;;($0.36);1.0;
42;MacdPerfect;Sell to Close;-1.0;$74.94;2/25/20, 10:10 AM;($0.23);($0.92);0.0;
43;MacdPerfect;Buy to Open;1.0;$70.33;3/2/20, 9:35 AM;;($1.53);1.0;
44;MacdPerfect;Sell to Close;-1.0;$70.39;3/2/20, 10:00 AM;$0.06;($0.86);0.0;
45;MacdPerfect;Buy to Open;1.0;$75.00;3/3/20, 9:35 AM;;($1.53);1.0;
46;MacdPerfect;Sell to Close;-1.0;$74.49;3/3/20, 9:45 AM;($0.52);($1.37);0.0;
47;MacdPerfect;Buy to Open;1.0;$74.05;3/4/20, 9:35 AM;;($1.61);1.0;
48;MacdPerfect;Sell to Close;-1.0;$73.88;3/4/20, 10:05 AM;($0.17);($1.54);0.0;
49;MacdPerfect;Buy to Open;1.0;$69.73;3/10/20, 9:35 AM;;($2.32);1.0;
50;MacdPerfect;Sell to Close;-1.0;$70.07;3/10/20, 10:10 AM;$0.33;($1.21);0.0;
51;MacdPerfect;Buy to Open;1.0;$66.27;3/13/20, 9:35 AM;;($2.47);1.0;
52;MacdPerfect;Sell to Close;-1.0;$65.34;3/13/20, 10:10 AM;($0.93);($2.14);0.0;
53;MacdPerfect;Buy to Open;1.0;$62.11;3/17/20, 9:35 AM;;($3.30);1.0;
54;MacdPerfect;Sell to Close;-1.0;$63.38;3/17/20, 11:20 AM;$1.27;($0.88);0.0;
55;MacdPerfect;Buy to Open;1.0;$61.36;3/19/20, 9:35 AM;;($1.22);1.0;
56;MacdPerfect;Sell to Close;-1.0;$60.92;3/19/20, 9:45 AM;($0.44);($1.32);0.0;
57;MacdPerfect;Buy to Open;1.0;$62.24;3/20/20, 9:35 AM;;($1.42);1.0;
58;MacdPerfect;Sell to Close;-1.0;$62.82;3/20/20, 10:40 AM;$0.58;($0.74);0.0;
59;MacdPerfect;Buy to Open;1.0;$59.38;3/24/20, 9:35 AM;;($1.23);1.0;
60;MacdPerfect;Sell to Close;-1.0;$59.13;3/24/20, 10:00 AM;($0.26);($0.99);0.0;
61;MacdPerfect;Buy to Open;1.0;$63.62;3/25/20, 9:35 AM;;($0.15);1.0;
62;MacdPerfect;Sell to Close;-1.0;$62.65;3/25/20, 9:55 AM;($0.97);($1.96);0.0;
63;MacdPerfect;Sell to Close;-1.0;$62.71;3/27/20, 9:35 AM;$0.00;($1.91);-1.0;
64;MacdPerfect;Buy to Open;1.0;$62.71;3/27/20, 9:35 AM;;($1.96);0.0;
65;MacdPerfect;Buy to Open;1.0;$63.39;3/30/20, 9:35 AM;;($2.50);1.0;
66;MacdPerfect;Sell to Close;-1.0;$62.61;3/30/20, 10:10 AM;($0.78);($2.74);0.0;
67;MacdPerfect;Buy to Open;1.0;$64.04;3/31/20, 9:35 AM;;($2.75);1.0;
68;MacdPerfect;Sell to Close;-1.0;$63.76;3/31/20, 9:50 AM;($0.28);($3.02);0.0;
69;MacdPerfect;Buy to Open;1.0;$61.05;4/3/20, 9:35 AM;;($3.01);1.0;
70;MacdPerfect;Sell to Close;-1.0;$61.17;4/3/20, 9:50 AM;$0.13;($2.89);0.0;
71;MacdPerfect;Buy to Open;1.0;$62.51;4/6/20, 9:35 AM;;($2.93);1.0;
72;MacdPerfect;Sell to Close;-1.0;$63.22;4/6/20, 10:05 AM;$0.71;($2.18);0.0;
73;MacdPerfect;Buy to Open;1.0;$66.89;4/7/20, 9:35 AM;;($2.38);1.0;
74;MacdPerfect;Sell to Close;-1.0;$67.34;4/7/20, 10:00 AM;$0.45;($1.73);0.0;
75;MacdPerfect;Buy to Open;1.0;$66.95;4/9/20, 9:35 AM;;($1.53);1.0;
76;MacdPerfect;Sell to Close;-1.0;$67.44;4/9/20, 10:00 AM;$0.49;($1.24);0.0;
77;MacdPerfect;Buy to Open;1.0;$67.07;4/13/20, 9:35 AM;;($0.92);1.0;
78;MacdPerfect;Sell to Close;-1.0;$67.03;4/13/20, 10:35 AM;($0.04);($1.28);0.0;
79;MacdPerfect;Buy to Open;1.0;$70.13;4/14/20, 9:35 AM;;($0.92);1.0;
80;MacdPerfect;Sell to Close;-1.0;$71.17;4/14/20, 10:05 AM;$1.04;($0.24);0.0;
81;MacdPerfect;Buy to Open;1.0;$71.70;4/16/20, 9:35 AM;;($0.23);1.0;
82;MacdPerfect;Sell to Close;-1.0;$71.31;4/16/20, 10:00 AM;($0.39);($0.63);0.0;
83;MacdPerfect;Sell to Close;-1.0;$71.52;4/17/20, 9:35 AM;$0.00;($0.24);-1.0;
84;MacdPerfect;Buy to Open;1.0;$71.52;4/17/20, 9:35 AM;;($0.63);0.0;
85;MacdPerfect;Buy to Open;1.0;$69.90;4/20/20, 9:35 AM;;($0.65);1.0;
86;MacdPerfect;Sell to Close;-1.0;$70.30;4/20/20, 10:55 AM;$0.40;($0.23);0.0;
87;MacdPerfect;Buy to Open;1.0;$68.47;4/22/20, 9:35 AM;;($0.11);1.0;
88;MacdPerfect;Sell to Close;-1.0;$68.29;4/22/20, 10:05 AM;($0.19);($0.42);0.0;
89;MacdPerfect;Buy to Open;1.0;$69.44;4/23/20, 9:35 AM;;($0.38);1.0;
90;MacdPerfect;Sell to Close;-1.0;$70.29;4/23/20, 10:40 AM;$0.85;$0.43;0.0;
91;MacdPerfect;Buy to Open;1.0;$71.40;4/28/20, 9:35 AM;;$0.15;1.0;
92;MacdPerfect;Sell to Close;-1.0;$71.17;4/28/20, 10:00 AM;($0.23);$0.20;0.0;
93;MacdPerfect;Buy to Open;1.0;$71.40;4/29/20, 9:35 AM;;$0.07;1.0;
94;MacdPerfect;Sell to Close;-1.0;$71.69;4/29/20, 10:05 AM;$0.30;$0.50;0.0;
95;MacdPerfect;Buy to Open;1.0;$72.35;4/30/20, 9:35 AM;;$0.53;1.0;
96;MacdPerfect;Sell to Close;-1.0;$73.12;4/30/20, 10:10 AM;$0.77;$1.27;0.0;
97;MacdPerfect;Sell to Close;-1.0;$73.16;5/1/20, 9:40 AM;$0.00;$1.61;-1.0;
98;MacdPerfect;Buy to Open;1.0;$73.16;5/1/20, 9:40 AM;;$1.27;0.0;
99;MacdPerfect;Buy to Open;1.0;$74.12;5/5/20, 9:35 AM;;$1.33;1.0;
100;MacdPerfect;Sell to Close;-1.0;$74.52;5/5/20, 10:05 AM;$0.39;$1.67;0.0;
101;MacdPerfect;Buy to Open;1.0;$75.47;5/6/20, 9:35 AM;;$1.70;1.0;
102;MacdPerfect;Sell to Close;-1.0;$75.50;5/6/20, 10:00 AM;$0.03;$1.70;0.0;
103;MacdPerfect;Buy to Open;1.0;$76.24;5/7/20, 9:35 AM;;$1.37;1.0;
104;MacdPerfect;Sell to Close;-1.0;$76.14;5/7/20, 10:05 AM;($0.10);$1.60;0.0;
105;MacdPerfect;Buy to Open;1.0;$76.19;5/8/20, 9:35 AM;;$1.72;1.0;
106;MacdPerfect;Sell to Close;-1.0;$76.34;5/8/20, 10:05 AM;$0.15;$1.75;0.0;
107;MacdPerfect;Buy to Open;1.0;$79.42;5/12/20, 9:35 AM;;$1.86;1.0;
108;MacdPerfect;Sell to Close;-1.0;$79.28;5/12/20, 10:05 AM;($0.14);$1.61;0.0;
109;MacdPerfect;Buy to Open;1.0;$77.99;5/13/20, 9:40 AM;;$1.67;1.0;
110;MacdPerfect;Sell to Close;-1.0;$78.86;5/13/20, 10:40 AM;$0.87;$2.48;0.0;
111;MacdPerfect;Sell to Close;-1.0;$76.38;5/14/20, 9:35 AM;$0.00;$2.65;-1.0;
112;MacdPerfect;Buy to Open;1.0;$76.38;5/14/20, 9:35 AM;;$2.48;0.0;
113;MacdPerfect;Buy to Open;1.0;$76.21;5/14/20, 9:40 AM;;$2.30;1.0;
114;MacdPerfect;Sell to Close;-1.0;$76.17;5/14/20, 11:25 AM;($0.05);$2.44;0.0;
115;MacdPerfect;Buy to Open;1.0;$77.76;5/18/20, 9:35 AM;;$2.48;1.0;
116;MacdPerfect;Sell to Close;-1.0;$78.12;5/18/20, 10:05 AM;$0.36;$2.80;0.0;
117;MacdPerfect;Buy to Open;1.0;$78.95;5/19/20, 9:35 AM;;$2.96;1.0;
118;MacdPerfect;Sell to Close;-1.0;$79.45;5/19/20, 10:30 AM;$0.50;$3.29;0.0;
119;MacdPerfect;Buy to Open;1.0;$79.45;5/20/20, 9:35 AM;;$3.41;1.0;
120;MacdPerfect;Sell to Close;-1.0;$79.72;5/20/20, 10:10 AM;$0.26;$3.55;0.0;
121;MacdPerfect;Buy to Open;1.0;$79.76;5/21/20, 9:35 AM;;$3.91;1.0;
122;MacdPerfect;Sell to Close;-1.0;$79.91;5/21/20, 10:00 AM;$0.15;$3.71;0.0;
123;MacdPerfect;Buy to Open;1.0;$80.68;5/26/20, 9:35 AM;;$3.54;1.0;
124;MacdPerfect;Sell to Close;-1.0;$80.17;5/26/20, 9:55 AM;($0.51);$3.20;0.0;
125;MacdPerfect;Buy to Open;1.0;$79.29;5/28/20, 9:35 AM;;$3.43;1.0;
126;MacdPerfect;Sell to Close;-1.0;$80.01;5/28/20, 10:15 AM;$0.71;$3.91;0.0;
127;MacdPerfect;Buy to Open;1.0;$80.50;6/2/20, 9:40 AM;;$3.80;1.0;
128;MacdPerfect;Sell to Close;-1.0;$80.39;6/2/20, 10:35 AM;($0.11);$3.80;0.0;
129;MacdPerfect;Buy to Open;1.0;$80.84;6/3/20, 9:35 AM;;$3.68;1.0;
130;MacdPerfect;Sell to Close;-1.0;$81.13;6/3/20, 10:05 AM;$0.29;$4.09;0.0;
131;MacdPerfect;Buy to Open;1.0;$81.18;6/5/20, 9:35 AM;;$4.43;1.0;
132;MacdPerfect;Sell to Close;-1.0;$81.53;6/5/20, 10:05 AM;$0.35;$4.44;0.0;
133;MacdPerfect;Buy to Open;1.0;$83.38;6/9/20, 9:35 AM;;$4.82;1.0;
134;MacdPerfect;Sell to Close;-1.0;$84.15;6/9/20, 10:10 AM;$0.78;$5.22;0.0;
135;MacdPerfect;Buy to Open;1.0;$86.60;6/10/20, 9:35 AM;;$5.96;1.0;
136;MacdPerfect;Sell to Close;-1.0;$87.70;6/10/20, 10:10 AM;$1.10;$6.32;0.0;
137;MacdPerfect;Buy to Open;1.0;$86.35;6/12/20, 9:40 AM;;$6.89;1.0;
138;MacdPerfect;Sell to Close;-1.0;$86.72;6/12/20, 10:05 AM;$0.37;$6.68;0.0;
139;MacdPerfect;Buy to Open;1.0;$87.63;6/16/20, 9:35 AM;;$6.74;1.0;
140;MacdPerfect;Sell to Close;-1.0;$87.92;6/16/20, 10:05 AM;$0.29;$6.97;0.0;
141;MacdPerfect;Buy to Open;1.0;$88.55;6/17/20, 9:35 AM;;$7.01;1.0;
142;MacdPerfect;Sell to Close;-1.0;$88.47;6/17/20, 10:00 AM;($0.09);$6.89;0.0;
143;MacdPerfect;Buy to Open;1.0;$88.06;6/18/20, 9:35 AM;;$6.77;1.0;
144;MacdPerfect;Sell to Close;-1.0;$87.85;6/18/20, 10:25 AM;($0.21);$6.68;0.0;
145;MacdPerfect;Buy to Open;1.0;$89.00;6/19/20, 9:35 AM;;$6.72;1.0;
146;MacdPerfect;Sell to Close;-1.0;$88.76;6/19/20, 10:00 AM;($0.25);$6.43;0.0;
147;MacdPerfect;Buy to Open;1.0;$88.36;6/22/20, 9:35 AM;;$6.21;1.0;
148;MacdPerfect;Sell to Close;-1.0;$88.81;6/22/20, 10:05 AM;$0.45;$6.88;0.0;
149;MacdPerfect;Buy to Open;1.0;$90.76;6/23/20, 9:35 AM;;$6.99;1.0;
150;MacdPerfect;Sell to Close;-1.0;$91.28;6/23/20, 10:05 AM;$0.52;$7.40;0.0;
151;MacdPerfect;Buy to Open;1.0;$91.77;6/24/20, 9:40 AM;;$7.68;1.0;
152;MacdPerfect;Sell to Close;-1.0;$91.54;6/24/20, 9:50 AM;($0.23);$7.17;0.0;
153;MacdPerfect;Buy to Open;1.0;$90.58;6/25/20, 9:35 AM;;$6.99;1.0;
154;MacdPerfect;Sell to Close;-1.0;$90.40;6/25/20, 9:40 AM;($0.18);$6.99;0.0;
155;MacdPerfect;Sell to Close;-1.0;$90.94;6/26/20, 9:35 AM;$0.00;$7.14;-1.0;
156;MacdPerfect;Buy to Open;1.0;$90.94;6/26/20, 9:35 AM;;$6.99;0.0;
157;MacdPerfect;Buy to Open;1.0;$90.79;6/26/20, 9:40 AM;;$6.67;1.0;
158;MacdPerfect;Sell to Close;-1.0;$90.01;6/26/20, 11:40 AM;($0.79);$6.21;0.0;
159;MacdPerfect;Buy to Open;1.0;$89.00;6/29/20, 9:35 AM;;$5.93;1.0;
160;MacdPerfect;Sell to Close;-1.0;$89.49;6/29/20, 10:40 AM;$0.48;$6.69;0.0;
161;MacdPerfect;Buy to Open;1.0;$90.32;6/30/20, 9:35 AM;;$6.76;1.0;
162;MacdPerfect;Sell to Close;-1.0;$91.15;6/30/20, 10:20 AM;$0.83;$7.52;0.0;
163;MacdPerfect;Buy to Open;1.0;$91.69;7/1/20, 9:35 AM;;$7.42;1.0;
164;MacdPerfect;Sell to Close;-1.0;$91.45;7/1/20, 9:50 AM;($0.23);$7.29;0.0;
165;MacdPerfect;Buy to Open;1.0;$92.34;7/2/20, 9:35 AM;;$7.29;1.0;
166;MacdPerfect;Sell to Close;-1.0;$92.23;7/2/20, 10:05 AM;($0.11);$7.18;0.0;
167;MacdPerfect;Buy to Open;1.0;$92.85;7/6/20, 9:35 AM;;$7.03;1.0;
168;MacdPerfect;Sell to Close;-1.0;$93.28;7/6/20, 10:10 AM;$0.43;$7.60;0.0;
169;MacdPerfect;Buy to Open;1.0;$94.19;7/7/20, 9:35 AM;;$6.94;1.0;
170;MacdPerfect;Sell to Close;-1.0;$94.19;7/7/20, 10:10 AM;$0.00;$7.61;0.0;
171;MacdPerfect;Buy to Open;1.0;$94.59;7/8/20, 9:35 AM;;$7.60;1.0;
172;MacdPerfect;Sell to Close;-1.0;$94.85;7/8/20, 10:10 AM;$0.26;$7.87;0.0;
173;MacdPerfect;Buy to Open;1.0;$95.98;7/9/20, 9:35 AM;;$7.75;1.0;
174;MacdPerfect;Sell to Close;-1.0;$96.06;7/9/20, 10:05 AM;$0.09;$7.96;0.0;
175;MacdPerfect;Buy to Open;1.0;$97.61;7/13/20, 9:35 AM;;$8.35;1.0;
176;MacdPerfect;Sell to Close;-1.0;$99.36;7/13/20, 10:10 AM;$1.75;$9.71;0.0;
177;MacdPerfect;Buy to Open;1.0;$96.21;7/14/20, 9:35 AM;;$9.47;1.0;
178;MacdPerfect;Sell to Close;-1.0;$95.37;7/14/20, 10:00 AM;($0.84);$8.87;0.0;
179;MacdPerfect;Buy to Open;1.0;$98.51;7/15/20, 9:35 AM;;$8.78;1.0;
180;MacdPerfect;Sell to Close;-1.0;$98.61;7/15/20, 10:00 AM;$0.10;$8.97;0.0;
181;MacdPerfect;Buy to Open;1.0;$96.88;7/17/20, 9:35 AM;;$8.88;1.0;
182;MacdPerfect;Sell to Close;-1.0;$96.38;7/17/20, 11:25 AM;($0.50);$8.47;0.0;
183;MacdPerfect;Sell to Close;-1.0;$98.70;7/21/20, 9:35 AM;$0.00;$8.67;-1.0;
184;MacdPerfect;Buy to Open;1.0;$98.70;7/21/20, 9:35 AM;;$8.47;0.0;
185;MacdPerfect;Buy to Open;1.0;$98.48;7/21/20, 9:40 AM;;$8.21;1.0;
186;MacdPerfect;Sell to Close;-1.0;$97.90;7/21/20, 11:25 AM;($0.58);$7.89;0.0;
187;MacdPerfect;Buy to Open;1.0;$97.27;7/22/20, 9:35 AM;;$7.59;1.0;
188;MacdPerfect;Sell to Close;-1.0;$97.60;7/22/20, 10:25 AM;$0.33;$8.23;0.0;
189;MacdPerfect;Buy to Open;1.0;$94.49;7/27/20, 9:35 AM;;$8.13;1.0;
190;MacdPerfect;Sell to Close;-1.0;$94.62;7/27/20, 10:05 AM;$0.13;$8.35;0.0;
191;MacdPerfect;Buy to Open;1.0;$94.14;7/29/20, 9:35 AM;;$8.41;1.0;
192;MacdPerfect;Sell to Close;-1.0;$94.64;7/29/20, 10:30 AM;$0.50;$8.85;0.0;
193;MacdPerfect;Buy to Open;1.0;$101.83;7/31/20, 9:35 AM;;$8.26;1.0;
194;MacdPerfect;Sell to Close;-1.0;$102.12;7/31/20, 10:05 AM;$0.29;$9.14;0.0;
195;MacdPerfect;Buy to Open;1.0;$109.42;8/3/20, 9:35 AM;;$9.50;1.0;
