Strategy report
Symbol: AAPL
Work Time: 4/29/20, 1:10 PM - 1/13/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$71.94;4/29/20, 1:10 PM;;$0.03;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$71.82;4/29/20, 1:30 PM;($0.12);($0.12);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$72.04;4/29/20, 3:20 PM;;($0.04);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$72.24;4/29/20, 3:50 PM;$0.21;$0.09;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$72.37;4/30/20, 9:40 AM;;$0.55;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$73.12;4/30/20, 10:15 AM;$0.74;$0.84;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$72.75;4/30/20, 1:35 PM;;$0.77;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$72.83;4/30/20, 2:00 PM;$0.08;$0.92;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$72.79;4/30/20, 2:30 PM;;$1.03;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$72.90;4/30/20, 2:40 PM;$0.10;$1.02;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$72.91;4/30/20, 2:50 PM;;$0.85;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$72.91;4/30/20, 2:55 PM;$0.00;$1.02;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$73.08;4/30/20, 3:25 PM;;$0.91;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$73.08;4/30/20, 3:30 PM;$0.00;$1.02;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$73.04;4/30/20, 3:40 PM;;$0.78;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$73.04;4/30/20, 3:45 PM;$0.00;$1.02;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$73.55;5/1/20, 10:00 AM;;$1.58;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$74.15;5/1/20, 10:25 AM;$0.60;$1.62;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$72.82;5/1/20, 2:45 PM;;$1.66;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$72.86;5/1/20, 2:55 PM;$0.04;$1.66;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$72.97;5/1/20, 3:05 PM;;$1.56;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$72.97;5/1/20, 3:10 PM;$0.00;$1.66;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$73.04;5/1/20, 3:20 PM;;$1.42;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$73.04;5/1/20, 3:25 PM;$0.00;$1.66;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$72.60;5/4/20, 10:45 AM;;$1.61;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$72.72;5/4/20, 11:30 AM;$0.13;$1.78;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$72.94;5/4/20, 11:40 AM;;$1.80;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$72.97;5/4/20, 12:00 PM;$0.03;$1.82;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$72.73;5/4/20, 2:15 PM;;$1.80;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$72.71;5/4/20, 2:40 PM;($0.03);$1.79;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$72.83;5/4/20, 2:55 PM;;$1.85;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$73.21;5/4/20, 3:55 PM;$0.37;$2.17;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$74.12;5/5/20, 9:35 AM;;$2.23;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$74.52;5/5/20, 10:10 AM;$0.39;$2.56;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$75.05;5/5/20, 2:20 PM;;$2.62;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$75.23;5/5/20, 3:05 PM;$0.19;$2.75;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$75.47;5/6/20, 9:35 AM;;$2.77;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$75.50;5/6/20, 10:05 AM;$0.03;$2.78;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$75.28;5/6/20, 10:40 AM;;$2.97;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$75.65;5/6/20, 11:25 AM;$0.36;$3.14;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$75.62;5/6/20, 2:45 PM;;$3.17;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$75.46;5/6/20, 3:05 PM;($0.16);$2.98;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$75.57;5/6/20, 3:25 PM;;$3.06;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$75.65;5/6/20, 3:35 PM;$0.08;$3.06;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$75.90;5/7/20, 9:40 AM;;$3.18;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$76.14;5/7/20, 10:10 AM;$0.23;$3.29;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$76.02;5/7/20, 11:45 AM;;$3.28;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$76.07;5/7/20, 12:35 PM;$0.05;$3.34;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$76.19;5/8/20, 9:35 AM;;$3.46;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$76.61;5/8/20, 10:50 AM;$0.42;$3.76;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$76.85;5/8/20, 11:45 AM;;$3.77;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$77.06;5/8/20, 12:15 PM;$0.21;$3.97;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$76.97;5/8/20, 2:35 PM;;$3.85;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$76.97;5/8/20, 2:40 PM;$0.00;$3.97;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$76.95;5/8/20, 2:50 PM;;$3.96;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$77.50;5/8/20, 3:50 PM;$0.55;$4.52;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$77.76;5/11/20, 10:10 AM;;$4.58;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$78.13;5/11/20, 10:55 AM;$0.38;$4.90;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$78.25;5/11/20, 11:25 AM;;$4.99;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$78.37;5/11/20, 11:55 AM;$0.12;$5.02;0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$78.62;5/11/20, 1:20 PM;;$5.05;1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$78.71;5/11/20, 2:05 PM;$0.09;$5.11;0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$78.86;5/11/20, 2:25 PM;;$5.03;1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$78.86;5/11/20, 2:30 PM;$0.00;$5.11;0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$78.96;5/11/20, 2:40 PM;;$5.11;1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$79.05;5/11/20, 3:00 PM;$0.09;$5.20;0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$79.22;5/11/20, 3:10 PM;;$5.07;1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$79.22;5/11/20, 3:15 PM;$0.00;$5.20;0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$79.54;5/12/20, 9:40 AM;;$5.21;1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$79.26;5/12/20, 9:55 AM;($0.27);$4.93;0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$79.40;5/12/20, 10:20 AM;;$4.89;1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$79.36;5/12/20, 10:30 AM;($0.04);$4.89;0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$79.48;5/12/20, 10:40 AM;;$4.92;1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$79.70;5/12/20, 11:30 AM;$0.22;$5.11;0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$79.75;5/12/20, 12:45 PM;;$5.18;1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$79.84;5/12/20, 1:05 PM;$0.09;$5.20;0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$78.86;5/13/20, 10:40 AM;;$5.13;1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$78.79;5/13/20, 10:50 AM;($0.07);$5.13;0.0;
79;MacdPerfect(SELL);Sell to Close;-1.0;$76.58;5/13/20, 3:55 PM;($0.30);$4.79;-1.0;
80;MacdPerfect(BUY);Buy to Open;1.0;$76.88;5/13/20, 3:55 PM;;$4.83;0.0;
81;MacdPerfect(BUY);Buy to Open;1.0;$76.41;5/14/20, 11:15 AM;;$4.88;1.0;
82;MacdPerfect(SELL);Sell to Close;-1.0;$76.46;5/14/20, 11:25 AM;$0.05;$4.87;0.0;
83;MacdPerfect(BUY);Buy to Open;1.0;$76.23;5/14/20, 11:40 AM;;$4.96;1.0;
84;MacdPerfect(SELL);Sell to Close;-1.0;$76.31;5/14/20, 11:50 AM;$0.08;$4.95;0.0;
85;MacdPerfect(BUY);Buy to Open;1.0;$76.15;5/14/20, 12:40 PM;;$4.90;1.0;
86;MacdPerfect(SELL);Sell to Close;-1.0;$76.77;5/14/20, 1:45 PM;$0.62;$5.57;0.0;
87;MacdPerfect(BUY);Buy to Open;1.0;$76.66;5/14/20, 3:05 PM;;$5.69;1.0;
88;MacdPerfect(SELL);Sell to Close;-1.0;$77.06;5/14/20, 3:55 PM;$0.40;$5.97;0.0;
89;MacdPerfect(BUY);Buy to Open;1.0;$75.77;5/15/20, 12:00 PM;;$6.19;1.0;
90;MacdPerfect(SELL);Sell to Close;-1.0;$76.16;5/15/20, 12:50 PM;$0.39;$6.36;0.0;
91;MacdPerfect(BUY);Buy to Open;1.0;$76.23;5/15/20, 1:00 PM;;$6.49;1.0;
92;MacdPerfect(SELL);Sell to Close;-1.0;$76.50;5/15/20, 1:20 PM;$0.27;$6.62;0.0;
93;MacdPerfect(BUY);Buy to Open;1.0;$76.40;5/15/20, 1:30 PM;;$6.55;1.0;
94;MacdPerfect(SELL);Sell to Close;-1.0;$76.40;5/15/20, 1:35 PM;$0.00;$6.62;0.0;
95;MacdPerfect(BUY);Buy to Open;1.0;$76.56;5/15/20, 2:05 PM;;$6.65;1.0;
96;MacdPerfect(SELL);Sell to Close;-1.0;$76.80;5/15/20, 2:35 PM;$0.24;$6.86;0.0;
97;MacdPerfect(BUY);Buy to Open;1.0;$76.73;5/15/20, 3:10 PM;;$6.78;1.0;
98;MacdPerfect(SELL);Sell to Close;-1.0;$76.73;5/15/20, 3:15 PM;$0.00;$6.86;0.0;
99;MacdPerfect(BUY);Buy to Open;1.0;$76.88;5/15/20, 3:35 PM;;$6.66;1.0;
100;MacdPerfect(SELL);Sell to Close;-1.0;$76.88;5/15/20, 3:40 PM;$0.00;$6.86;0.0;
101;MacdPerfect(BUY);Buy to Open;1.0;$76.93;5/15/20, 3:50 PM;;$6.82;1.0;
102;MacdPerfect(SELL);Sell to Close;-1.0;$76.93;5/15/20, 3:55 PM;$0.00;$6.86;0.0;
103;MacdPerfect(SELL);Sell to Close;-1.0;$76.89;5/18/20, 9:30 AM;($1.41);$5.98;-1.0;
104;MacdPerfect(BUY);Buy to Open;1.0;$78.29;5/18/20, 9:30 AM;;$5.46;0.0;
105;MacdPerfect(BUY);Buy to Open;1.0;$77.76;5/18/20, 9:35 AM;;$5.50;1.0;
106;MacdPerfect(SELL);Sell to Close;-1.0;$78.08;5/18/20, 10:15 AM;$0.31;$5.77;0.0;
107;MacdPerfect(BUY);Buy to Open;1.0;$78.35;5/18/20, 10:25 AM;;$5.57;1.0;
108;MacdPerfect(SELL);Sell to Close;-1.0;$78.35;5/18/20, 10:30 AM;$0.00;$5.77;0.0;
109;MacdPerfect(BUY);Buy to Open;1.0;$78.87;5/18/20, 1:15 PM;;$5.86;1.0;
110;MacdPerfect(SELL);Sell to Close;-1.0;$78.96;5/18/20, 1:45 PM;$0.09;$5.86;0.0;
111;MacdPerfect(BUY);Buy to Open;1.0;$78.88;5/18/20, 3:35 PM;;$5.94;1.0;
112;MacdPerfect(SELL);Sell to Close;-1.0;$79.03;5/18/20, 3:55 PM;$0.15;$6.01;0.0;
113;MacdPerfect(BUY);Buy to Open;1.0;$79.13;5/19/20, 9:40 AM;;$5.94;1.0;
114;MacdPerfect(SELL);Sell to Close;-1.0;$79.06;5/19/20, 9:50 AM;($0.06);$5.95;0.0;
115;MacdPerfect(BUY);Buy to Open;1.0;$79.37;5/19/20, 10:00 AM;;$5.94;1.0;
116;MacdPerfect(SELL);Sell to Close;-1.0;$79.57;5/19/20, 10:30 AM;$0.20;$6.15;0.0;
117;MacdPerfect(BUY);Buy to Open;1.0;$79.36;5/19/20, 12:50 PM;;$6.11;1.0;
118;MacdPerfect(SELL);Sell to Close;-1.0;$79.46;5/19/20, 1:50 PM;$0.11;$6.25;0.0;
119;MacdPerfect(BUY);Buy to Open;1.0;$79.45;5/20/20, 9:35 AM;;$6.37;1.0;
120;MacdPerfect(SELL);Sell to Close;-1.0;$79.67;5/20/20, 10:20 AM;$0.21;$6.47;0.0;
121;MacdPerfect(BUY);Buy to Open;1.0;$79.79;5/20/20, 11:15 AM;;$6.46;1.0;
