Strategy report
Symbol: AAPL
Work Time: 10/20/20, 10:20 AM - 7/2/21, 10:35 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$117.19;10/20/20, 10:20 AM;;($0.01);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$116.99;10/20/20, 10:30 AM;($0.20);($0.20);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$116.99;10/20/20, 10:35 AM;;($0.31);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$116.84;10/20/20, 10:40 AM;($0.15);($0.36);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$116.58;10/20/20, 10:45 AM;;($0.57);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$116.40;10/20/20, 10:50 AM;($0.18);($0.54);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$117.52;10/21/20, 2:35 PM;;($0.57);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$117.63;10/21/20, 3:05 PM;$0.12;($0.42);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$117.64;10/21/20, 3:10 PM;;($0.40);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$117.65;10/21/20, 3:35 PM;$0.02;($0.40);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$117.63;10/22/20, 9:35 AM;;($0.39);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$117.45;10/22/20, 9:50 AM;($0.18);($0.59);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$115.93;10/22/20, 1:25 PM;;($0.57);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$115.72;10/22/20, 1:40 PM;($0.20);($0.79);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$115.59;10/22/20, 1:45 PM;;($0.92);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$115.56;10/22/20, 2:00 PM;($0.03);($0.83);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$115.73;10/22/20, 2:25 PM;;($0.89);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$115.64;10/22/20, 3:10 PM;($0.09);($0.91);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$115.78;10/22/20, 3:20 PM;;($0.86);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$115.90;10/22/20, 3:50 PM;$0.12;($0.80);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$115.82;10/22/20, 3:55 PM;;($0.85);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$116.18;10/23/20, 9:30 AM;$0.36;($0.44);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$115.93;10/23/20, 9:35 AM;;($0.47);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$115.80;10/23/20, 9:40 AM;($0.13);($0.57);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$114.96;10/23/20, 1:10 PM;;($0.62);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$114.96;10/23/20, 1:45 PM;$0.00;($0.57);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$114.97;10/23/20, 1:50 PM;;($0.58);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$114.90;10/23/20, 2:00 PM;($0.06);($0.63);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$114.99;10/23/20, 2:05 PM;;($0.60);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$114.92;10/23/20, 2:15 PM;($0.07);($0.71);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$115.03;10/23/20, 3:55 PM;;($0.69);1.0;
