Strategy report
Symbol: AAPL
Work Time: 5/13/21, 9:32 AM - 6/25/21, 9:48 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$124.80;5/13/21, 9:32 AM;;$0.39;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$125.81;5/13/21, 9:39 AM;$1.01;$1.01;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$125.32;5/13/21, 9:57 AM;;$1.07;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$125.48;5/13/21, 10:05 AM;$0.16;$1.17;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$125.85;5/13/21, 10:48 AM;;$1.18;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$125.92;5/13/21, 10:52 AM;$0.07;$1.23;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$125.93;5/13/21, 10:54 AM;;$1.30;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$126.08;5/13/21, 10:59 AM;$0.15;$1.38;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$125.15;5/13/21, 12:07 PM;;$1.44;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$125.55;5/13/21, 12:17 PM;$0.40;$1.78;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$125.73;5/13/21, 12:31 PM;;$1.75;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$125.61;5/13/21, 12:37 PM;($0.11);$1.67;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$125.52;5/13/21, 12:49 PM;;$1.74;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$125.51;5/13/21, 12:52 PM;($0.01);$1.66;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$124.76;5/13/21, 1:55 PM;;$1.65;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$124.68;5/13/21, 1:58 PM;($0.08);$1.58;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$124.69;5/13/21, 2:00 PM;;$1.70;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$125.30;5/13/21, 2:10 PM;$0.61;$2.19;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$125.44;5/13/21, 2:14 PM;;$2.18;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$125.44;5/13/21, 2:16 PM;$0.00;$2.18;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$125.49;5/13/21, 2:36 PM;;$2.31;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$125.49;5/13/21, 2:42 PM;$0.00;$2.19;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$125.73;5/13/21, 3:32 PM;;$2.24;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$125.67;5/13/21, 3:37 PM;($0.06);$2.13;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$125.71;5/13/21, 3:40 PM;;$2.10;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$125.72;5/13/21, 3:44 PM;$0.02;$2.14;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$126.73;5/14/21, 9:32 AM;;$2.15;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$127.12;5/14/21, 9:38 AM;$0.39;$2.53;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$126.38;5/14/21, 10:00 AM;;$2.54;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$126.33;5/14/21, 10:04 AM;($0.05);$2.48;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$126.60;5/14/21, 10:13 AM;;$2.53;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$126.73;5/14/21, 10:23 AM;$0.13;$2.61;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$126.61;5/14/21, 10:51 AM;;$2.56;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$126.76;5/14/21, 11:01 AM;$0.14;$2.75;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$126.69;5/14/21, 11:16 AM;;$2.77;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$126.72;5/14/21, 11:19 AM;$0.03;$2.79;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$126.60;5/14/21, 11:50 AM;;$2.78;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$126.60;5/14/21, 11:52 AM;$0.00;$2.78;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$126.61;5/14/21, 12:04 PM;;$2.75;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$126.81;5/14/21, 12:16 PM;$0.20;$2.98;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$126.89;5/14/21, 12:22 PM;;$2.97;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$126.89;5/14/21, 12:23 PM;$0.00;$2.98;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$126.95;5/14/21, 12:27 PM;;$2.93;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$126.95;5/14/21, 12:28 PM;$0.00;$2.98;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$127.01;5/14/21, 12:49 PM;;$3.00;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$127.15;5/14/21, 12:58 PM;$0.15;$3.13;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$127.15;5/14/21, 1:12 PM;;$3.09;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$127.11;5/14/21, 1:16 PM;($0.04);$3.09;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$127.17;5/14/21, 1:22 PM;;$3.08;1.0;
