Strategy report
Symbol: AAPL
Work Time: 5/13/21, 9:40 AM - 6/24/21, 10:25 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$125.22;5/13/21, 9:40 AM;;($0.26);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$125.46;5/13/21, 10:20 AM;$0.24;$0.24;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$125.68;5/13/21, 12:35 PM;;($0.07);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$125.38;5/13/21, 12:45 PM;($0.30);($0.06);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$125.28;5/13/21, 2:20 PM;;($0.02);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$125.57;5/13/21, 2:55 PM;$0.29;$0.23;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$125.68;5/13/21, 3:35 PM;;$0.25;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$125.58;5/13/21, 3:55 PM;($0.09);$0.13;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$126.75;5/14/21, 9:40 AM;;($0.16);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$126.46;5/14/21, 9:50 AM;($0.29);($0.16);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$126.69;5/14/21, 10:20 AM;;($0.40);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$126.69;5/14/21, 10:25 AM;$0.00;($0.16);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$126.83;5/14/21, 12:20 PM;;($0.11);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$127.11;5/14/21, 1:20 PM;$0.28;$0.12;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$127.23;5/14/21, 1:30 PM;;($0.02);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$127.23;5/14/21, 1:35 PM;$0.00;$0.12;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$127.37;5/14/21, 2:15 PM;;$0.06;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$127.30;5/14/21, 2:25 PM;($0.06);$0.06;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$127.44;5/14/21, 2:40 PM;;$0.14;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$127.70;5/14/21, 3:00 PM;$0.26;$0.32;0.0;
21;MacdPerfect(SELL);Sell to Close;-1.0;$127.45;5/14/21, 3:55 PM;($0.37);$0.31;-1.0;
22;MacdPerfect(BUY);Buy to Open;1.0;$127.82;5/14/21, 3:55 PM;;($0.05);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$125.67;5/17/21, 3:10 PM;;$0.00;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$125.66;5/17/21, 3:25 PM;($0.01);($0.06);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$125.68;5/17/21, 3:50 PM;;$0.20;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$125.68;5/17/21, 3:55 PM;$0.00;($0.06);0.0;
27;MacdPerfect(SELL);Sell to Close;-1.0;$125.93;5/18/21, 9:30 AM;($0.63);($0.20);-1.0;
28;MacdPerfect(BUY);Buy to Open;1.0;$126.56;5/18/21, 9:30 AM;;($0.69);0.0;
