Strategy report
Symbol: AAPL
Work Time: 12/14/20, 9:46 AM - 1/27/21, 3:07 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BullFlag(BUY);Buy to Open;10.0;$122.92;12/14/20, 9:46 AM;;$1.14;10.0;
2;BullFlag(SELL);Sell to Close;-10.0;$122.84;12/14/20, 12:01 PM;($0.80);($0.80);0.0;
3;BullFlag(BUY);Buy to Open;10.0;$126.70;12/15/20, 9:46 AM;;($2.34);10.0;
4;BullFlag(SELL);Sell to Close;-10.0;$127.32;12/16/20, 9:58 AM;$6.25;$5.45;0.0;
5;BullFlag(BUY);Buy to Open;10.0;$127.40;12/16/20, 11:49 AM;;$5.85;10.0;
6;BullFlag(SELL);Sell to Close;-10.0;$127.39;12/16/20, 1:28 PM;($0.10);$5.35;0.0;
7;BullFlag(BUY);Buy to Open;10.0;$128.28;12/16/20, 3:40 PM;;$5.74;10.0;
8;BullFlag(SELL);Sell to Close;-10.0;$128.49;12/17/20, 12:10 PM;$2.15;$7.50;0.0;
9;BullFlag(BUY);Buy to Open;10.0;$128.37;12/17/20, 2:07 PM;;$7.85;10.0;
10;BullFlag(SELL);Sell to Close;-10.0;$128.47;12/17/20, 3:01 PM;$1.05;$8.55;0.0;
11;BullFlag(BUY);Buy to Open;10.0;$125.67;12/21/20, 12:49 PM;;$9.49;10.0;
12;BullFlag(SELL);Sell to Close;-10.0;$131.53;12/22/20, 11:22 AM;$58.64;$67.19;0.0;
13;BullFlag(BUY);Buy to Open;10.0;$132.13;12/22/20, 1:01 PM;;$67.80;10.0;
14;BullFlag(SELL);Sell to Close;-10.0;$132.26;12/22/20, 3:07 PM;$1.26;$68.45;0.0;
15;BullFlag(BUY);Buy to Open;10.0;$131.80;12/23/20, 12:25 PM;;$69.75;10.0;
16;BullFlag(SELL);Sell to Close;-10.0;$131.71;12/23/20, 2:40 PM;($0.90);$67.55;0.0;
17;BullFlag(BUY);Buy to Open;10.0;$132.70;12/24/20, 10:16 AM;;$68.69;10.0;
18;BullFlag(SELL);Sell to Close;-10.0;$132.32;12/24/20, 11:28 AM;($3.70);$63.85;0.0;
19;BullFlag(BUY);Buy to Open;10.0;$131.95;12/24/20, 1:28 PM;;$63.90;10.0;
20;BullFlag(SELL);Sell to Close;-10.0;$131.90;12/24/20, 2:58 PM;($0.45);$63.40;0.0;
21;BullFlag(BUY);Buy to Open;10.0;$135.16;12/28/20, 11:07 AM;;$65.20;10.0;
22;BullFlag(SELL);Sell to Close;-10.0;$136.00;12/29/20, 10:28 AM;$8.45;$71.85;0.0;
23;BullFlag(BUY);Buy to Open;10.0;$132.73;12/31/20, 2:31 PM;;$72.80;10.0;
24;BullFlag(SELL);Sell to Close;-10.0;$131.83;1/4/21, 9:58 AM;($8.95);$62.89;0.0;
25;BullFlag(BUY);Buy to Open;10.0;$128.87;1/4/21, 1:52 PM;;$63.96;10.0;
26;BullFlag(SELL);Sell to Close;-10.0;$128.96;1/4/21, 3:31 PM;$0.82;$63.71;0.0;
27;BullFlag(BUY);Buy to Open;10.0;$131.17;1/5/21, 10:34 AM;;$63.16;10.0;
28;BullFlag(SELL);Sell to Close;-10.0;$130.08;1/5/21, 11:16 AM;($10.94);$52.77;0.0;
29;BullFlag(BUY);Buy to Open;10.0;$131.03;1/5/21, 3:19 PM;;$53.60;10.0;
30;BullFlag(SELL);Sell to Close;-10.0;$127.81;1/6/21, 2:46 PM;($32.17);$20.60;0.0;
31;BullFlag(BUY);Buy to Open;10.0;$130.01;1/7/21, 10:37 AM;;$20.79;10.0;
32;BullFlag(SELL);Sell to Close;-10.0;$130.03;1/7/21, 12:25 PM;$0.23;$20.83;0.0;
33;BullFlag(BUY);Buy to Open;10.0;$130.34;1/7/21, 1:40 PM;;$21.89;10.0;
34;BullFlag(SELL);Sell to Close;-10.0;$131.04;1/8/21, 11:10 AM;$7.01;$27.84;0.0;
35;BullFlag(BUY);Buy to Open;10.0;$131.45;1/8/21, 3:01 PM;;$29.29;10.0;
36;BullFlag(SELL);Sell to Close;-10.0;$129.57;1/11/21, 12:01 PM;($18.80);$9.04;0.0;
37;BullFlag(BUY);Buy to Open;10.0;$129.91;1/11/21, 12:46 PM;;$9.30;10.0;
38;BullFlag(SELL);Sell to Close;-10.0;$129.46;1/11/21, 1:40 PM;($4.48);$4.57;0.0;
39;BullFlag(BUY);Buy to Open;10.0;$128.34;1/12/21, 2:01 PM;;$5.97;10.0;
40;BullFlag(SELL);Sell to Close;-10.0;$130.94;1/13/21, 2:43 PM;$26.05;$30.61;0.0;
41;BullFlag(BUY);Buy to Open;10.0;$130.32;1/14/21, 11:25 AM;;$30.96;10.0;
