Strategy report
Symbol: AAPL
Work Time: 1/24/20, 9:40 AM - 10/9/20, 3:35 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;10.0;$80.37;1/24/20, 9:40 AM;;$0.28;10.0;
2;MacdPerfect(SELL);Sell to Close;-10.0;$80.41;1/24/20, 10:10 AM;$0.47;$0.47;0.0;
3;MacdPerfect(BUY);Buy to Open;10.0;$80.74;1/24/20, 11:05 AM;;$0.70;10.0;
4;MacdPerfect(SELL);Sell to Close;-10.0;$80.61;1/24/20, 11:20 AM;($1.40);($0.92);0.0;
5;MacdPerfect(BUY);Buy to Open;10.0;$77.84;1/27/20, 12:45 PM;;($0.58);10.0;
6;MacdPerfect(SELL);Sell to Close;-10.0;$77.79;1/27/20, 1:10 PM;($0.50);($1.42);0.0;
7;MacdPerfect(BUY);Buy to Open;10.0;$77.73;1/27/20, 2:20 PM;;($1.76);10.0;
8;MacdPerfect(SELL);Sell to Close;-10.0;$77.75;1/27/20, 2:25 PM;$0.19;($1.24);0.0;
9;MacdPerfect(BUY);Buy to Open;10.0;$77.74;1/27/20, 2:35 PM;;($1.37);10.0;
10;MacdPerfect(SELL);Sell to Close;-10.0;$77.42;1/27/20, 2:40 PM;($3.12);($4.36);0.0;
11;MacdPerfect(BUY);Buy to Open;10.0;$78.35;1/28/20, 9:40 AM;;($4.01);10.0;
12;MacdPerfect(SELL);Sell to Close;-10.0;$78.29;1/28/20, 10:05 AM;($0.58);($4.93);0.0;
13;MacdPerfect(BUY);Buy to Open;10.0;$78.27;1/28/20, 10:15 AM;;($5.12);10.0;
14;MacdPerfect(SELL);Sell to Close;-10.0;$78.39;1/28/20, 10:20 AM;$1.26;($3.67);0.0;
15;MacdPerfect(BUY);Buy to Open;10.0;$78.50;1/28/20, 10:30 AM;;($2.65);10.0;
16;MacdPerfect(SELL);Sell to Close;-10.0;$78.80;1/28/20, 11:05 AM;$3.01;($0.66);0.0;
17;MacdPerfect(BUY);Buy to Open;10.0;$79.01;1/28/20, 11:25 AM;;($0.82);10.0;
18;MacdPerfect(SELL);Sell to Close;-10.0;$78.98;1/28/20, 11:30 AM;($0.24);($0.90);0.0;
19;MacdPerfect(BUY);Buy to Open;10.0;$79.32;1/28/20, 2:10 PM;;($0.55);10.0;
20;MacdPerfect(SELL);Sell to Close;-10.0;$79.35;1/28/20, 2:30 PM;$0.28;($0.63);0.0;
21;MacdPerfect(BUY);Buy to Open;10.0;$79.50;1/28/20, 2:55 PM;;$0.16;10.0;
22;MacdPerfect(SELL);Sell to Close;-10.0;$79.42;1/28/20, 3:10 PM;($0.84);($1.46);0.0;
23;MacdPerfect(BUY);Buy to Open;10.0;$81.13;1/29/20, 9:35 AM;;($2.01);10.0;
24;MacdPerfect(SELL);Sell to Close;-10.0;$80.84;1/29/20, 9:50 AM;($2.95);($4.41);0.0;
25;MacdPerfect(BUY);Buy to Open;10.0;$80.97;1/29/20, 9:55 AM;;($5.71);10.0;
26;MacdPerfect(SELL);Sell to Close;-10.0;$80.66;1/29/20, 10:00 AM;($3.08);($7.49);0.0;
27;MacdPerfect(BUY);Buy to Open;10.0;$81.28;1/29/20, 10:40 AM;;($7.35);10.0;
28;MacdPerfect(SELL);Sell to Close;-10.0;$81.35;1/29/20, 10:50 AM;$0.64;($6.85);0.0;
29;MacdPerfect(BUY);Buy to Open;10.0;$81.72;1/29/20, 11:25 AM;;($6.92);10.0;
30;MacdPerfect(SELL);Sell to Close;-10.0;$81.64;1/29/20, 11:30 AM;($0.82);($7.67);0.0;
31;MacdPerfect(BUY);Buy to Open;10.0;$81.88;1/29/20, 2:05 PM;;($8.28);10.0;
32;MacdPerfect(SELL);Sell to Close;-10.0;$81.73;1/29/20, 2:10 PM;($1.49);($9.16);0.0;
33;MacdPerfect(BUY);Buy to Open;10.0;$80.30;1/30/20, 3:05 PM;;($10.03);10.0;
34;MacdPerfect(SELL);Sell to Close;-10.0;$80.44;1/30/20, 3:10 PM;$1.40;($7.76);0.0;
35;MacdPerfect(BUY);Buy to Open;10.0;$80.50;1/30/20, 3:20 PM;;($7.09);10.0;
36;MacdPerfect(SELL);Sell to Close;-10.0;$80.45;1/30/20, 3:55 PM;($0.52);($8.28);0.0;
37;MacdPerfect(BUY);Buy to Open;10.0;$77.93;2/3/20, 10:20 AM;;($9.55);10.0;
38;MacdPerfect(SELL);Sell to Close;-10.0;$78.10;2/3/20, 10:25 AM;$1.68;($6.61);0.0;
39;MacdPerfect(BUY);Buy to Open;10.0;$78.14;2/3/20, 10:35 AM;;($6.19);10.0;
40;MacdPerfect(SELL);Sell to Close;-10.0;$78.08;2/3/20, 10:50 AM;($0.52);($7.13);0.0;
41;MacdPerfect(BUY);Buy to Open;10.0;$78.27;2/3/20, 11:25 AM;;($7.92);10.0;
