Strategy report
Symbol: AAPL
Work Time: 10/15/20, 1:45 PM - 7/2/21, 3:40 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;10.0;$120.19;10/15/20, 1:45 PM;;($0.48);10.0;
2;MacdPerfect(SELL);Sell to Close;-10.0;$120.61;10/15/20, 2:20 PM;$4.20;$4.20;0.0;
3;MacdPerfect(BUY);Buy to Open;10.0;$120.61;10/15/20, 2:35 PM;;$3.28;10.0;
4;MacdPerfect(SELL);Sell to Close;-10.0;$120.25;10/15/20, 2:40 PM;($3.62);$0.58;0.0;
5;MacdPerfect(BUY);Buy to Open;10.0;$120.79;10/15/20, 3:05 PM;;$1.98;10.0;
6;MacdPerfect(SELL);Sell to Close;-10.0;$120.98;10/15/20, 3:30 PM;$1.90;$2.48;0.0;
7;MacdPerfect(BUY);Buy to Open;10.0;$121.09;10/16/20, 10:30 AM;;$1.73;10.0;
8;MacdPerfect(SELL);Sell to Close;-10.0;$120.94;10/16/20, 10:35 AM;($1.40);$1.07;0.0;
9;MacdPerfect(BUY);Buy to Open;10.0;$120.09;10/16/20, 1:35 PM;;$0.77;10.0;
10;MacdPerfect(SELL);Sell to Close;-10.0;$120.06;10/16/20, 2:00 PM;($0.30);$0.78;0.0;
11;MacdPerfect(BUY);Buy to Open;10.0;$120.09;10/16/20, 2:15 PM;;$0.55;10.0;
12;MacdPerfect(SELL);Sell to Close;-10.0;$120.17;10/16/20, 2:20 PM;$0.77;$1.55;0.0;
13;MacdPerfect(BUY);Buy to Open;10.0;$120.18;10/16/20, 2:30 PM;;$1.65;10.0;
14;MacdPerfect(SELL);Sell to Close;-10.0;$120.39;10/16/20, 2:50 PM;$2.10;$3.65;0.0;
15;MacdPerfect(BUY);Buy to Open;10.0;$120.23;10/16/20, 3:00 PM;;$2.03;10.0;
16;MacdPerfect(SELL);Sell to Close;-10.0;$119.80;10/16/20, 3:05 PM;($4.37);($0.72);0.0;
17;MacdPerfect(BUY);Buy to Open;10.0;$117.19;10/20/20, 10:20 AM;;($0.85);10.0;
18;MacdPerfect(SELL);Sell to Close;-10.0;$116.89;10/20/20, 10:30 AM;($3.03);($3.75);0.0;
19;MacdPerfect(BUY);Buy to Open;10.0;$117.10;10/20/20, 11:55 AM;;($3.09);10.0;
