Strategy report
Symbol: AAPL
Work Time: 5/20/21, 9:40 AM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;10.0;$125.94;5/20/21, 9:40 AM;;$1.32;10.0;
2;MacdPerfect(SELL);Sell to Close;-10.0;$126.37;5/20/21, 10:30 AM;$4.28;$4.28;0.0;
3;MacdPerfect(BUY);Buy to Open;10.0;$127.06;5/20/21, 11:45 AM;;$4.95;10.0;
4;MacdPerfect(SELL);Sell to Close;-10.0;$127.05;5/20/21, 12:00 PM;($0.13);$4.15;0.0;
5;MacdPerfect(BUY);Buy to Open;10.0;$127.27;5/20/21, 1:25 PM;;$4.05;10.0;
6;MacdPerfect(SELL);Sell to Close;-10.0;$127.25;5/20/21, 1:30 PM;($0.13);$4.03;0.0;
7;MacdPerfect(BUY);Buy to Open;10.0;$127.54;5/20/21, 2:55 PM;;$3.90;10.0;
8;MacdPerfect(SELL);Sell to Close;-10.0;$127.45;5/20/21, 3:10 PM;($0.92);$3.10;0.0;
9;MacdPerfect(BUY);Buy to Open;10.0;$127.64;5/20/21, 3:20 PM;;$3.21;10.0;
10;MacdPerfect(SELL);Sell to Close;-10.0;$127.58;5/20/21, 3:35 PM;($0.59);$2.51;0.0;
11;MacdPerfect(BUY);Buy to Open;10.0;$126.04;5/21/21, 2:10 PM;;$2.86;10.0;
12;MacdPerfect(SELL);Sell to Close;-10.0;$125.89;5/21/21, 2:20 PM;($1.55);$0.96;0.0;
13;MacdPerfect(BUY);Buy to Open;10.0;$125.94;5/21/21, 2:55 PM;;$1.10;10.0;
14;MacdPerfect(SELL);Sell to Close;-10.0;$125.77;5/21/21, 3:05 PM;($1.79);($0.83);0.0;
15;MacdPerfect(BUY);Buy to Open;10.0;$125.96;5/21/21, 3:20 PM;;($0.20);10.0;
16;MacdPerfect(SELL);Sell to Close;-10.0;$125.71;5/21/21, 3:35 PM;($2.48);($3.30);0.0;
