Strategy report
Symbol: AAPL
Work Time: 10/9/20, 9:35 AM - 6/25/21, 10:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$115.50;10/9/20, 9:35 AM;;$0.05;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$115.94;10/9/20, 10:10 AM;$0.44;$0.44;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$116.24;10/9/20, 10:55 AM;;$0.47;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$116.21;10/9/20, 11:10 AM;($0.03);$0.42;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$116.33;10/9/20, 2:20 PM;;$0.43;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$116.17;10/9/20, 2:50 PM;($0.16);$0.25;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$116.42;10/9/20, 3:20 PM;;$0.28;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$116.39;10/9/20, 3:35 PM;($0.03);$0.22;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$116.54;10/9/20, 3:45 PM;;$0.19;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$120.42;10/12/20, 10:10 AM;$3.88;$4.10;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$120.98;10/12/20, 10:25 AM;;$4.04;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$120.92;10/12/20, 10:30 AM;($0.06);$4.04;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$123.18;10/12/20, 11:40 AM;;$4.05;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$123.19;10/12/20, 11:45 AM;$0.01;$4.05;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$124.91;10/12/20, 2:10 PM;;$4.06;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$124.86;10/12/20, 2:35 PM;($0.05);$4.00;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$124.16;10/13/20, 11:10 AM;;$4.05;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$124.04;10/13/20, 11:40 AM;($0.12);$3.88;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$121.84;10/13/20, 3:35 PM;;$3.76;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$121.73;10/13/20, 3:40 PM;($0.10);$3.78;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$122.72;10/14/20, 9:45 AM;;$3.91;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$122.19;10/14/20, 10:05 AM;($0.53);$3.25;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$120.92;10/14/20, 2:15 PM;;$3.07;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$120.56;10/14/20, 2:35 PM;($0.35);$2.89;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$120.95;10/14/20, 2:45 PM;;$2.99;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$121.35;10/14/20, 3:25 PM;$0.40;$3.30;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$121.68;10/14/20, 3:35 PM;;$3.30;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$121.60;10/14/20, 3:50 PM;($0.08);$3.22;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$120.37;10/15/20, 12:00 PM;;$3.31;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$120.27;10/15/20, 12:15 PM;($0.10);$3.12;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$120.23;10/15/20, 1:50 PM;;$3.20;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$120.40;10/15/20, 2:20 PM;$0.17;$3.28;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$120.61;10/15/20, 2:35 PM;;$3.19;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$120.52;10/15/20, 2:40 PM;($0.10);$3.19;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$120.79;10/15/20, 3:05 PM;;$3.33;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$120.96;10/15/20, 3:30 PM;$0.17;$3.36;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$121.09;10/16/20, 10:30 AM;;$3.28;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$120.95;10/16/20, 10:45 AM;($0.14);$3.22;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$120.09;10/16/20, 1:35 PM;;$3.19;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$120.06;10/16/20, 2:00 PM;($0.03);$3.19;0.0;
