Strategy report
Symbol: AAPL
Work Time: 5/7/21, 9:45 AM - 6/17/21, 12:30 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(Buy);Buy to Open;100.0;$129.67;5/7/21, 9:45 AM;;$47.00;100.0;
2;BashirStrategy(CloseBuy);Sell to Close;-100.0;$131.07;5/7/21, 11:30 AM;$139.56;$139.56;0.0;
3;BashirStrategy(Buy);Buy to Open;100.0;$131.22;5/7/21, 11:45 AM;;$129.56;100.0;
4;BashirStrategy(CloseBuy);Sell to Close;-100.0;$130.53;5/7/21, 12:45 PM;($69.00);$70.56;0.0;
5;BashirStrategy(Buy);Buy to Open;100.0;$124.96;5/13/21, 9:45 AM;;$109.56;100.0;
6;BashirStrategy(CloseBuy);Sell to Close;-100.0;$126.46;5/14/21, 9:45 AM;$149.50;$220.06;0.0;
7;BashirStrategy(Buy);Buy to Open;100.0;$126.40;5/14/21, 10:00 AM;;$241.67;100.0;
8;BashirStrategy(CloseBuy);Sell to Close;-100.0;$125.70;5/17/21, 10:15 AM;($70.30);$149.76;0.0;
9;BashirStrategy(Buy);Buy to Open;100.0;$126.27;5/18/21, 9:30 AM;;$196.76;100.0;
10;BashirStrategy(CloseBuy);Sell to Close;-100.0;$125.51;5/18/21, 2:45 PM;($75.70);$74.06;0.0;
11;BashirStrategy(Buy);Buy to Open;100.0;$124.69;5/20/21, 9:30 AM;;$211.97;100.0;
12;BashirStrategy(CloseBuy);Sell to Close;-100.0;$126.07;5/20/21, 9:45 AM;$137.91;$211.97;0.0;
13;BashirStrategy(Buy);Buy to Open;100.0;$125.84;5/20/21, 10:00 AM;;$241.17;100.0;
14;BashirStrategy(CloseBuy);Sell to Close;-100.0;$127.16;5/20/21, 1:15 PM;$132.00;$343.97;0.0;
15;BashirStrategy(Buy);Buy to Open;100.0;$126.86;5/24/21, 9:45 AM;;$323.47;100.0;
16;BashirStrategy(CloseBuy);Sell to Close;-100.0;$126.28;5/27/21, 2:00 PM;($58.00);$285.97;0.0;
17;BashirStrategy(Buy);Buy to Open;100.0;$124.95;6/1/21, 2:45 PM;;$278.78;100.0;
18;BashirStrategy(CloseBuy);Sell to Close;-100.0;$124.43;6/1/21, 3:45 PM;($52.19);$233.78;0.0;
19;BashirStrategy(Buy);Buy to Open;100.0;$125.04;6/2/21, 10:00 AM;;$218.28;100.0;
20;BashirStrategy(CloseBuy);Sell to Close;-100.0;$124.42;6/2/21, 1:00 PM;($62.00);$171.78;0.0;
21;BashirStrategy(Buy);Buy to Open;100.0;$124.74;6/2/21, 3:15 PM;;$176.78;100.0;
22;BashirStrategy(CloseBuy);Sell to Close;-100.0;$123.53;6/3/21, 9:45 AM;($120.06);$51.72;0.0;
23;BashirStrategy(Buy);Buy to Open;100.0;$124.59;6/4/21, 9:45 AM;;$85.22;100.0;
24;BashirStrategy(CloseBuy);Sell to Close;-100.0;$125.96;6/4/21, 2:45 PM;$136.50;$188.22;0.0;
25;BashirStrategy(Buy);Buy to Open;100.0;$126.05;6/4/21, 3:00 PM;;$165.25;100.0;
26;BashirStrategy(CloseBuy);Sell to Close;-100.0;$125.41;6/7/21, 9:45 AM;($64.97);$123.25;0.0;
27;BashirStrategy(Buy);Buy to Open;100.0;$125.49;6/7/21, 3:15 PM;;$147.25;100.0;
28;BashirStrategy(CloseBuy);Sell to Close;-100.0;$128.20;6/8/21, 9:45 AM;$271.00;$394.25;0.0;
29;BashirStrategy(Buy);Buy to Open;100.0;$127.03;6/8/21, 10:00 AM;;$433.25;100.0;
30;BashirStrategy(CloseBuy);Sell to Close;-100.0;$126.46;6/8/21, 11:30 AM;($57.00);$337.25;0.0;
31;BashirStrategy(Buy);Buy to Open;100.0;$127.26;6/8/21, 3:15 PM;;$312.25;100.0;
32;BashirStrategy(CloseBuy);Sell to Close;-100.0;$126.74;6/9/21, 9:30 AM;($51.50);$285.75;0.0;
33;BashirStrategy(Buy);Buy to Open;100.0;$127.92;6/10/21, 10:00 AM;;$251.35;100.0;
34;BashirStrategy(CloseBuy);Sell to Close;-100.0;$127.01;6/10/21, 10:45 AM;($90.88);$194.87;0.0;
35;BashirStrategy(Buy);Buy to Open;100.0;$126.88;6/11/21, 9:45 AM;;$197.20;100.0;
36;BashirStrategy(CloseBuy);Sell to Close;-100.0;$128.34;6/14/21, 9:45 AM;$145.99;$340.86;0.0;
37;BashirStrategy(Buy);Buy to Open;100.0;$129.12;6/14/21, 10:00 AM;;$301.85;100.0;
38;BashirStrategy(CloseBuy);Sell to Close;-100.0;$130.49;6/15/21, 9:30 AM;$137.00;$477.86;0.0;
39;BashirStrategy(Buy);Buy to Open;100.0;$130.14;6/17/21, 9:30 AM;;$489.86;100.0;
40;BashirStrategy(CloseBuy);Sell to Close;-100.0;$131.74;6/17/21, 10:30 AM;$159.50;$637.36;0.0;
41;BashirStrategy(Buy);Buy to Open;100.0;$131.79;6/17/21, 10:45 AM;;$607.86;100.0;
42;BashirStrategy(CloseBuy);Sell to Close;-100.0;$131.11;6/17/21, 12:30 PM;($67.50);$569.86;0.0;


Max trade P/L: $271.00;

Total P/L: $569.86;

Total order(s): 21;
