Strategy report
Symbol: AAPL
Work Time: 5/11/21, 11:50 AM - 6/23/21, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1.0;$124.90;5/11/21, 11:50 AM;;$0.22;1.0;
2;MACDStrategy(SELL);Sell to Close;-1.0;$125.62;5/11/21, 12:30 PM;$0.72;$0.72;0.0;
3;MACDStrategy(BUY);Buy to Open;1.0;$125.54;5/11/21, 1:25 PM;;$0.96;1.0;
4;MACDStrategy(SELL);Sell to Close;-1.0;$126.04;5/11/21, 1:55 PM;$0.50;$1.22;0.0;
5;MACDStrategy(BUY);Buy to Open;1.0;$126.05;5/11/21, 2:05 PM;;$1.01;1.0;
6;MACDStrategy(SELL);Sell to Close;-1.0;$125.84;5/11/21, 2:15 PM;($0.21);$1.01;0.0;
7;MACDStrategy(BUY);Buy to Open;1.0;$126.22;5/11/21, 2:30 PM;;$0.68;1.0;
8;MACDStrategy(SELL);Sell to Close;-1.0;$126.22;5/11/21, 2:35 PM;$0.00;$1.01;0.0;
9;MACDStrategy(BUY);Buy to Open;1.0;$125.19;5/13/21, 9:35 AM;;$1.03;1.0;
10;MACDStrategy(SELL);Sell to Close;-1.0;$125.46;5/13/21, 10:20 AM;$0.27;$1.28;0.0;
11;MACDStrategy(BUY);Buy to Open;1.0;$125.68;5/13/21, 12:35 PM;;$0.97;1.0;
12;MACDStrategy(SELL);Sell to Close;-1.0;$125.38;5/13/21, 12:45 PM;($0.30);$0.98;0.0;
13;MACDStrategy(BUY);Buy to Open;1.0;$125.28;5/13/21, 2:20 PM;;$1.02;1.0;
14;MACDStrategy(SELL);Sell to Close;-1.0;$125.57;5/13/21, 2:55 PM;$0.29;$1.27;0.0;
15;MACDStrategy(BUY);Buy to Open;1.0;$125.68;5/13/21, 3:35 PM;;$1.29;1.0;
16;MACDStrategy(SELL);Sell to Close;-1.0;$125.58;5/13/21, 3:55 PM;($0.09);$1.17;0.0;
17;MACDStrategy(BUY);Buy to Open;1.0;$126.75;5/14/21, 9:40 AM;;$0.88;1.0;
18;MACDStrategy(SELL);Sell to Close;-1.0;$126.46;5/14/21, 9:50 AM;($0.29);$0.88;0.0;
19;MACDStrategy(BUY);Buy to Open;1.0;$126.69;5/14/21, 10:20 AM;;$0.64;1.0;
20;MACDStrategy(SELL);Sell to Close;-1.0;$126.69;5/14/21, 10:25 AM;$0.00;$0.88;0.0;
