Strategy report
Symbol: .AMZN210625C3490
Work Time: 6/8/21, 3:40 PM - 6/22/21, 3:25 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100;10000.0;$8.10;6/8/21, 3:40 PM;;$0.00;10000.0;
2;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$12.00;6/10/21, 11:00 AM;$39,000.00;$39,000.00;0.0;
3;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$14.99;6/10/21, 3:55 PM;$0.00;$39,000.00;-10000.0;
4;MACDStrategy(BUY);Buy to Open;100;10000.0;$14.99;6/10/21, 3:55 PM;;$39,000.00;0.0;
5;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$16.10;6/11/21, 9:30 AM;$0.00;$39,000.00;-10000.0;
6;MACDStrategy(BUY);Buy to Open;100;10000.0;$16.10;6/11/21, 9:30 AM;;$39,000.00;0.0;
7;MACDStrategy(BUY);Buy to Open;100;10000.0;$18.13;6/11/21, 9:40 AM;;$40,200.00;10000.0;
8;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$13.91;6/11/21, 10:10 AM;($42,200.00);($3,200.00);0.0;
9;MACDStrategy(BUY);Buy to Open;100;10000.0;$15.39;6/14/21, 9:55 AM;;($3,200.00);10000.0;
10;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$12.20;6/14/21, 11:00 AM;($31,900.00);($35,100.00);0.0;
11;MACDStrategy(BUY);Buy to Open;100;10000.0;$12.35;6/14/21, 12:25 PM;;($35,100.00);10000.0;
12;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$12.00;6/14/21, 12:45 PM;($3,500.00);($38,600.00);0.0;
13;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$13.15;6/15/21, 9:30 AM;$0.00;($34,600.00);-10000.0;
14;MACDStrategy(BUY);Buy to Open;100;10000.0;$13.15;6/15/21, 9:30 AM;;($38,600.00);0.0;
15;MACDStrategy(BUY);Buy to Open;100;10000.0;$13.69;6/15/21, 9:40 AM;;($11,500.00);10000.0;
