Strategy report
Symbol: .AAPL210625C130
Work Time: 5/10/21, 9:45 AM - 6/22/21, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;NewStrategy2();Buy to Open;1;100.0;$3.93;5/10/21, 9:45 AM;;$2.00;100.0;
2;NewStrategy2();Sell to Close;-1;-100.0;$3.82;5/10/21, 10:01 AM;($11.00);($11.00);0.0;
3;NewStrategy2();Sell to Open;-1;-100.0;$3.82;5/10/21, 10:01 AM;;($11.00);-100.0;
4;NewStrategy2();Buy to Close;1;100.0;$3.75;5/10/21, 10:15 AM;$7.00;($4.00);0.0;
5;NewStrategy2();Buy to Open;1;100.0;$3.75;5/10/21, 10:15 AM;;($4.00);100.0;
6;NewStrategy2();Sell to Close;-1;-100.0;$3.85;5/10/21, 10:17 AM;$10.00;$6.00;0.0;
7;NewStrategy2();Sell to Open;-1;-100.0;$3.85;5/10/21, 10:17 AM;;$6.00;-100.0;
8;NewStrategy2();Buy to Close;1;100.0;$3.80;5/10/21, 10:22 AM;$5.00;$11.00;0.0;
9;NewStrategy2();Buy to Open;1;100.0;$3.80;5/10/21, 10:22 AM;;$11.00;100.0;
10;NewStrategy2();Sell to Close;-1;-100.0;$3.75;5/10/21, 10:34 AM;($5.00);$6.00;0.0;
11;NewStrategy2();Sell to Open;-1;-100.0;$3.75;5/10/21, 10:34 AM;;$6.00;-100.0;
12;NewStrategy2();Buy to Close;1;100.0;$3.80;5/10/21, 10:42 AM;($5.00);$1.00;0.0;
13;NewStrategy2();Buy to Open;1;100.0;$3.80;5/10/21, 10:42 AM;;$1.00;100.0;
14;NewStrategy2();Sell to Close;-1;-100.0;$3.63;5/10/21, 10:49 AM;($17.00);($16.00);0.0;
15;NewStrategy2();Sell to Open;-1;-100.0;$3.63;5/10/21, 10:49 AM;;($16.00);-100.0;
16;NewStrategy2();Buy to Close;1;100.0;$3.75;5/10/21, 11:11 AM;($12.00);($28.00);0.0;
17;NewStrategy2();Buy to Open;1;100.0;$3.75;5/10/21, 11:11 AM;;($28.00);100.0;
18;NewStrategy2();Sell to Close;-1;-100.0;$3.80;5/10/21, 11:39 AM;$5.00;($23.00);0.0;
19;NewStrategy2();Sell to Open;-1;-100.0;$3.80;5/10/21, 11:39 AM;;($23.00);-100.0;
20;NewStrategy2();Buy to Close;1;100.0;$3.75;5/10/21, 11:46 AM;$5.00;($18.00);0.0;
21;NewStrategy2();Buy to Open;1;100.0;$3.75;5/10/21, 11:46 AM;;($18.00);100.0;
