Strategy report
Symbol: AAPL
Work Time: 5/11/21, 10:50 AM - 6/23/21, 12:09 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$123.95;5/11/21, 10:50 AM;;$15.50;100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$124.28;5/11/21, 11:00 AM;$33.50;$33.50;0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$124.28;5/11/21, 11:14 AM;;$52.00;100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$125.20;5/11/21, 11:28 AM;$92.50;$126.00;0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$125.33;5/11/21, 11:36 AM;;$132.19;100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$125.40;5/11/21, 11:38 AM;$6.14;$132.14;0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$125.11;5/11/21, 11:55 AM;;$134.64;100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$125.46;5/11/21, 12:10 PM;$34.70;$166.84;0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$125.60;5/11/21, 12:16 PM;;$155.03;100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$125.60;5/11/21, 12:17 PM;$0.00;$166.84;0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$125.20;5/11/21, 1:08 PM;;$160.31;100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$125.20;5/11/21, 1:11 PM;($0.12);$166.72;0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$125.23;5/11/21, 1:13 PM;;$161.88;100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$125.23;5/11/21, 1:14 PM;$0.00;$166.72;0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$125.27;5/11/21, 1:19 PM;;$168.22;100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$125.79;5/11/21, 1:33 PM;$52.00;$218.72;0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$125.88;5/11/21, 1:35 PM;;$225.37;100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$125.95;5/11/21, 1:38 PM;$7.15;$225.87;0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$126.12;5/11/21, 1:43 PM;;$219.87;100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$126.05;5/11/21, 1:45 PM;($7.00);$218.87;0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$126.14;5/11/21, 2:04 PM;;$210.78;100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$125.97;5/11/21, 2:09 PM;($16.60);$202.27;0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$126.00;5/11/21, 2:27 PM;;$217.29;100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$126.22;5/11/21, 2:31 PM;$22.00;$224.27;0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$125.91;5/11/21, 2:56 PM;;$227.26;100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$125.93;5/11/21, 2:58 PM;$2.24;$226.51;0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$126.17;5/11/21, 3:26 PM;;$222.51;100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$126.18;5/11/21, 3:29 PM;$0.50;$227.01;0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$125.89;5/11/21, 3:50 PM;;$235.01;100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$125.89;5/11/21, 3:51 PM;$0.00;$227.01;0.0;
31;MACDStrategy(SELL);Sell to Close;-100.0;$125.97;5/11/21, 3:52 PM;($10.50);$229.51;-100.0;
32;MACDStrategy(BUY);Buy to Open;100.0;$126.08;5/11/21, 3:52 PM;;$216.51;0.0;
33;MACDStrategy(SELL);Sell to Close;-100.0;$126.08;5/11/21, 3:53 PM;$12.50;$233.01;-100.0;
34;MACDStrategy(BUY);Buy to Open;100.0;$125.95;5/11/21, 3:53 PM;;$229.01;0.0;
35;MACDStrategy(SELL);Sell to Close;-100.0;$125.95;5/11/21, 3:54 PM;$2.50;$229.51;-100.0;
36;MACDStrategy(BUY);Buy to Open;100.0;$125.93;5/11/21, 3:54 PM;;$231.51;0.0;
37;MACDStrategy(SELL);Sell to Close;-100.0;$125.93;5/11/21, 3:55 PM;($2.50);$240.01;-100.0;
38;MACDStrategy(BUY);Buy to Open;100.0;$125.95;5/11/21, 3:55 PM;;$229.01;0.0;
39;MACDStrategy(SELL);Sell to Close;-100.0;$125.99;5/11/21, 3:58 PM;$1.50;$222.51;-100.0;
40;MACDStrategy(BUY);Buy to Open;100.0;$125.98;5/11/21, 3:58 PM;;$230.51;0.0;
41;MACDStrategy(SELL);Sell to Close;-100.0;$125.98;5/11/21, 3:59 PM;($8.00);$243.01;-100.0;
42;MACDStrategy(BUY);Buy to Open;100.0;$126.06;5/11/21, 3:59 PM;;$222.51;0.0;
43;MACDStrategy(BUY);Buy to Open;100.0;$123.36;5/12/21, 11:10 AM;;$216.60;100.0;
44;MACDStrategy(SELL);Sell to Close;-100.0;$123.51;5/12/21, 11:17 AM;$14.97;$237.48;0.0;
45;MACDStrategy(BUY);Buy to Open;100.0;$123.49;5/12/21, 11:19 AM;;$244.34;100.0;
46;MACDStrategy(SELL);Sell to Close;-100.0;$123.55;5/12/21, 11:21 AM;$5.99;$243.47;0.0;
47;MACDStrategy(BUY);Buy to Open;100.0;$122.56;5/12/21, 12:19 PM;;$250.22;100.0;
