Strategy report
Symbol: AAPL
Work Time: 10/6/20, 1:00 PM - 6/23/21, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1.0;$115.28;10/6/20, 1:00 PM;;($0.01);1.0;
2;MACDStrategy(SELL);Sell to Close;-1.0;$115.50;10/6/20, 1:25 PM;$0.22;$0.22;0.0;
3;MACDStrategy(BUY);Buy to Open;1.0;$115.36;10/6/20, 2:15 PM;;$0.19;1.0;
4;MACDStrategy(SELL);Sell to Close;-1.0;$115.29;10/6/20, 2:55 PM;($0.07);$0.15;0.0;
5;MACDStrategy(BUY);Buy to Open;1.0;$115.08;10/7/20, 9:50 AM;;$0.13;1.0;
6;MACDStrategy(SELL);Sell to Close;-1.0;$114.71;10/7/20, 10:15 AM;($0.37);($0.22);0.0;
7;MACDStrategy(BUY);Buy to Open;1.0;$114.53;10/7/20, 10:50 AM;;($0.09);1.0;
8;MACDStrategy(SELL);Sell to Close;-1.0;$115.07;10/7/20, 11:35 AM;$0.53;$0.32;0.0;
9;MACDStrategy(BUY);Buy to Open;1.0;$114.97;10/7/20, 1:00 PM;;$0.37;1.0;
10;MACDStrategy(SELL);Sell to Close;-1.0;$115.37;10/7/20, 2:00 PM;$0.40;$0.71;0.0;
11;MACDStrategy(BUY);Buy to Open;1.0;$115.40;10/7/20, 2:25 PM;;$0.66;1.0;
12;MACDStrategy(SELL);Sell to Close;-1.0;$115.37;10/7/20, 2:40 PM;($0.04);$0.68;0.0;
13;MACDStrategy(BUY);Buy to Open;1.0;$115.72;10/8/20, 9:40 AM;;$0.64;1.0;
14;MACDStrategy(SELL);Sell to Close;-1.0;$115.46;10/8/20, 10:10 AM;($0.26);$0.42;0.0;
15;MACDStrategy(BUY);Buy to Open;1.0;$115.48;10/8/20, 11:10 AM;;$0.49;1.0;
16;MACDStrategy(SELL);Sell to Close;-1.0;$115.45;10/8/20, 11:35 AM;($0.03);$0.39;0.0;
17;MACDStrategy(BUY);Buy to Open;1.0;$115.53;10/8/20, 12:15 PM;;$0.31;1.0;
18;MACDStrategy(SELL);Sell to Close;-1.0;$115.35;10/8/20, 12:40 PM;($0.18);$0.21;0.0;
19;MACDStrategy(BUY);Buy to Open;1.0;$115.44;10/9/20, 9:35 AM;;$0.32;1.0;
20;MACDStrategy(SELL);Sell to Close;-1.0;$116.17;10/9/20, 10:10 AM;$0.73;$0.94;0.0;
21;MACDStrategy(BUY);Buy to Open;1.0;$116.21;10/9/20, 10:55 AM;;$0.99;1.0;
22;MACDStrategy(SELL);Sell to Close;-1.0;$116.35;10/9/20, 11:10 AM;$0.14;$1.08;0.0;
23;MACDStrategy(BUY);Buy to Open;1.0;$116.31;10/9/20, 2:20 PM;;$1.11;1.0;
24;MACDStrategy(SELL);Sell to Close;-1.0;$116.40;10/9/20, 2:50 PM;$0.08;$1.16;0.0;
25;MACDStrategy(BUY);Buy to Open;1.0;$116.39;10/9/20, 3:20 PM;;$1.22;1.0;
26;MACDStrategy(SELL);Sell to Close;-1.0;$116.57;10/9/20, 3:35 PM;$0.17;$1.34;0.0;
27;MACDStrategy(BUY);Buy to Open;1.0;$116.58;10/9/20, 3:45 PM;;$1.27;1.0;
28;MACDStrategy(SELL);Sell to Close;-1.0;$116.51;10/9/20, 3:55 PM;($0.06);$1.27;0.0;
29;MACDStrategy(SELL);Sell to Close;-1.0;$116.71;10/12/20, 9:30 AM;($3.35);($2.26);-1.0;
30;MACDStrategy(BUY);Buy to Open;1.0;$120.06;10/12/20, 9:30 AM;;($2.08);0.0;
31;MACDStrategy(BUY);Buy to Open;1.0;$120.25;10/12/20, 9:35 AM;;($1.57);1.0;
32;MACDStrategy(SELL);Sell to Close;-1.0;$120.54;10/12/20, 10:10 AM;$0.29;($1.79);0.0;
33;MACDStrategy(BUY);Buy to Open;1.0;$121.04;10/12/20, 10:25 AM;;($1.90);1.0;
34;MACDStrategy(SELL);Sell to Close;-1.0;$121.04;10/12/20, 10:30 AM;$0.00;($1.79);0.0;
35;MACDStrategy(BUY);Buy to Open;1.0;$123.17;10/12/20, 11:40 AM;;($1.77);1.0;
36;MACDStrategy(SELL);Sell to Close;-1.0;$123.17;10/12/20, 11:45 AM;$0.00;($1.79);0.0;
