Strategy report
Symbol: AAPL
Work Time: 2/6/20, 10:00 AM - 10/21/20, 3:05 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$80.48;2/6/20, 10:00 AM;;($0.11);1.0;
2;MacdPerfect;Sell to Close;-1.0;$80.36;2/6/20, 10:05 AM;($0.12);($0.12);0.0;
3;MacdPerfect;Buy to Open;1.0;$80.28;2/6/20, 10:40 AM;;($0.15);1.0;
4;MacdPerfect;Sell to Close;-1.0;$80.61;2/6/20, 11:40 AM;$0.33;$0.21;0.0;
5;MacdPerfect;Buy to Open;1.0;$79.94;2/7/20, 2:30 PM;;$0.24;1.0;
6;MacdPerfect;Sell to Close;-1.0;$79.83;2/7/20, 3:05 PM;($0.11);$0.10;0.0;
7;MacdPerfect;Buy to Open;1.0;$80.59;2/11/20, 9:35 AM;;$0.15;1.0;
8;MacdPerfect;Sell to Close;-1.0;$80.52;2/11/20, 9:55 AM;($0.07);$0.03;0.0;
9;MacdPerfect;Buy to Open;1.0;$80.43;2/11/20, 10:00 AM;;$0.02;1.0;
10;MacdPerfect;Sell to Close;-1.0;$80.44;2/11/20, 10:05 AM;$0.00;$0.03;0.0;
11;MacdPerfect;Buy to Open;1.0;$80.78;2/11/20, 10:45 AM;;$0.01;1.0;
12;MacdPerfect;Sell to Close;-1.0;$80.70;2/11/20, 10:55 AM;($0.08);($0.05);0.0;
13;MacdPerfect;Buy to Open;1.0;$80.53;2/11/20, 12:20 PM;;($0.04);1.0;
14;MacdPerfect;Sell to Close;-1.0;$80.58;2/11/20, 1:25 PM;$0.05;$0.00;0.0;
15;MacdPerfect;Buy to Open;1.0;$80.28;2/11/20, 2:35 PM;;$0.03;1.0;
16;MacdPerfect;Sell to Close;-1.0;$80.21;2/11/20, 2:55 PM;($0.07);($0.07);0.0;
17;MacdPerfect;Buy to Open;1.0;$79.82;2/11/20, 3:40 PM;;($0.04);1.0;
18;MacdPerfect;Sell to Close;-1.0;$79.90;2/11/20, 3:55 PM;$0.08;$0.01;0.0;
19;MacdPerfect;Buy to Open;1.0;$80.82;2/12/20, 9:40 AM;;($0.07);1.0;
20;MacdPerfect;Sell to Close;-1.0;$80.71;2/12/20, 9:45 AM;($0.11);($0.10);0.0;
21;MacdPerfect;Buy to Open;1.0;$80.70;2/12/20, 9:50 AM;;($0.08);1.0;
22;MacdPerfect;Sell to Close;-1.0;$80.64;2/12/20, 10:10 AM;($0.06);($0.16);0.0;
23;MacdPerfect;Buy to Open;1.0;$80.69;2/12/20, 10:15 AM;;($0.13);1.0;
24;MacdPerfect;Sell to Close;-1.0;$81.06;2/12/20, 11:30 AM;$0.37;$0.21;0.0;
25;MacdPerfect;Buy to Open;1.0;$81.16;2/14/20, 1:05 PM;;$0.18;1.0;
26;MacdPerfect;Sell to Close;-1.0;$81.09;2/14/20, 1:25 PM;($0.06);$0.15;0.0;
27;MacdPerfect;Buy to Open;1.0;$81.01;2/14/20, 2:25 PM;;$0.17;1.0;
28;MacdPerfect;Sell to Close;-1.0;$81.00;2/14/20, 3:15 PM;($0.01);$0.14;0.0;
29;MacdPerfect;Buy to Open;1.0;$81.24;2/14/20, 3:55 PM;;$0.13;1.0;
30;MacdPerfect;Sell to Close;-1.0;$79.17;2/18/20, 9:30 AM;($2.06);($1.93);0.0;
31;MacdPerfect;Buy to Open;1.0;$80.32;2/19/20, 9:35 AM;;($1.80);1.0;
32;MacdPerfect;Sell to Close;-1.0;$80.57;2/19/20, 10:05 AM;$0.25;($1.68);0.0;
33;MacdPerfect;Buy to Open;1.0;$80.02;2/20/20, 11:55 AM;;($1.73);1.0;
34;MacdPerfect;Sell to Close;-1.0;$79.89;2/20/20, 12:00 PM;($0.13);($1.81);0.0;
35;MacdPerfect;Buy to Open;1.0;$79.95;2/20/20, 12:15 PM;;($1.85);1.0;
36;MacdPerfect;Sell to Close;-1.0;$79.80;2/20/20, 12:25 PM;($0.15);($1.96);0.0;
37;MacdPerfect;Buy to Open;1.0;$80.06;2/20/20, 2:25 PM;;($2.02);1.0;
38;MacdPerfect;Sell to Close;-1.0;$80.09;2/20/20, 2:30 PM;$0.03;($1.93);0.0;
39;MacdPerfect;Buy to Open;1.0;$80.21;2/20/20, 2:35 PM;;($1.91);1.0;
40;MacdPerfect;Sell to Close;-1.0;$80.09;2/20/20, 2:55 PM;($0.12);($2.04);0.0;
41;MacdPerfect;Buy to Open;1.0;$80.09;2/20/20, 3:00 PM;;($2.06);1.0;
42;MacdPerfect;Sell to Close;-1.0;$80.03;2/20/20, 3:10 PM;($0.06);($2.10);0.0;
43;MacdPerfect;Buy to Open;1.0;$80.07;2/20/20, 3:45 PM;;($2.19);1.0;
44;MacdPerfect;Sell to Close;-1.0;$80.04;2/20/20, 3:50 PM;($0.03);($2.13);0.0;
45;MacdPerfect;Buy to Open;1.0;$78.68;2/21/20, 1:25 PM;;($2.17);1.0;
46;MacdPerfect;Sell to Close;-1.0;$78.57;2/21/20, 1:30 PM;($0.11);($2.24);0.0;
47;MacdPerfect;Buy to Open;1.0;$78.04;2/21/20, 2:00 PM;;($2.22);1.0;
48;MacdPerfect;Sell to Close;-1.0;$77.94;2/21/20, 2:05 PM;($0.10);($2.35);0.0;
49;MacdPerfect;Buy to Open;1.0;$77.91;2/21/20, 2:30 PM;;($2.32);1.0;
50;MacdPerfect;Sell to Close;-1.0;$77.86;2/21/20, 3:20 PM;($0.06);($2.41);0.0;
51;MacdPerfect;Buy to Open;1.0;$75.34;2/25/20, 9:35 AM;;($2.24);1.0;
52;MacdPerfect;Sell to Close;-1.0;$74.97;2/25/20, 9:45 AM;($0.37);($2.77);0.0;
53;MacdPerfect;Buy to Open;1.0;$74.33;2/25/20, 10:45 AM;;($2.91);1.0;
54;MacdPerfect;Sell to Close;-1.0;$74.05;2/25/20, 10:50 AM;($0.28);($3.05);0.0;
55;MacdPerfect;Buy to Open;1.0;$73.17;2/25/20, 11:30 AM;;($2.94);1.0;
56;MacdPerfect;Sell to Close;-1.0;$73.60;2/25/20, 12:20 PM;$0.43;($2.62);0.0;
57;MacdPerfect;Buy to Open;1.0;$72.90;2/25/20, 2:15 PM;;($2.76);1.0;
58;MacdPerfect;Sell to Close;-1.0;$72.58;2/25/20, 2:25 PM;($0.31);($2.93);0.0;
59;MacdPerfect;Buy to Open;1.0;$72.64;2/25/20, 2:45 PM;;($2.94);1.0;
60;MacdPerfect;Sell to Close;-1.0;$72.47;2/25/20, 3:15 PM;($0.17);($3.11);0.0;
61;MacdPerfect;Buy to Open;1.0;$72.04;2/25/20, 3:45 PM;;($3.05);1.0;
62;MacdPerfect;Sell to Close;-1.0;$72.03;2/25/20, 3:55 PM;($0.01);($3.12);0.0;
63;MacdPerfect;Buy to Open;1.0;$72.95;2/26/20, 1:50 PM;;($3.20);1.0;
64;MacdPerfect;Sell to Close;-1.0;$72.73;2/26/20, 2:00 PM;($0.22);($3.34);0.0;
65;MacdPerfect;Buy to Open;1.0;$72.79;2/26/20, 2:05 PM;;($3.32);1.0;
66;MacdPerfect;Sell to Close;-1.0;$73.18;2/26/20, 3:35 PM;$0.39;($2.96);0.0;
