Strategy report
Symbol: AAPL
Work Time: 10/20/20, 12:00 PM - 7/6/21, 2:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$117.17;10/20/20, 12:00 PM;;$0.01;1.0;
2;MacdPerfect;Sell to Close;-1.0;$118.07;10/20/20, 12:55 PM;$0.90;$0.90;0.0;
3;MacdPerfect;Buy to Open;1.0;$117.83;10/20/20, 3:45 PM;;$0.71;1.0;
4;MacdPerfect;Sell to Close;-1.0;$117.72;10/20/20, 3:50 PM;($0.11);$0.80;0.0;
5;MacdPerfect;Buy to Open;1.0;$117.20;10/21/20, 1:05 PM;;$0.80;1.0;
6;MacdPerfect;Sell to Close;-1.0;$117.30;10/21/20, 2:25 PM;$0.10;$0.90;0.0;
7;MacdPerfect;Buy to Open;1.0;$117.52;10/21/20, 2:35 PM;;$0.87;1.0;
8;MacdPerfect;Sell to Close;-1.0;$117.63;10/21/20, 3:05 PM;$0.12;$1.01;0.0;
9;MacdPerfect;Buy to Open;1.0;$117.63;10/22/20, 9:35 AM;;$1.02;1.0;
10;MacdPerfect;Sell to Close;-1.0;$117.45;10/22/20, 9:50 AM;($0.18);$0.83;0.0;
11;MacdPerfect;Buy to Open;1.0;$117.01;10/22/20, 10:15 AM;;$0.69;1.0;
12;MacdPerfect;Sell to Close;-1.0;$116.67;10/22/20, 10:20 AM;($0.35);$0.48;0.0;
13;MacdPerfect;Buy to Open;1.0;$115.93;10/22/20, 1:25 PM;;$0.50;1.0;
14;MacdPerfect;Sell to Close;-1.0;$115.72;10/22/20, 1:40 PM;($0.20);$0.28;0.0;
15;MacdPerfect;Buy to Open;1.0;$115.59;10/22/20, 1:45 PM;;$0.16;1.0;
16;MacdPerfect;Sell to Close;-1.0;$115.56;10/22/20, 2:00 PM;($0.03);$0.25;0.0;
17;MacdPerfect;Buy to Open;1.0;$115.73;10/22/20, 2:25 PM;;$0.18;1.0;
18;MacdPerfect;Sell to Close;-1.0;$115.64;10/22/20, 3:10 PM;($0.09);$0.16;0.0;
19;MacdPerfect;Buy to Open;1.0;$115.78;10/22/20, 3:20 PM;;$0.21;1.0;
20;MacdPerfect;Sell to Close;-1.0;$115.90;10/22/20, 3:50 PM;$0.12;$0.27;0.0;
21;MacdPerfect;Buy to Open;1.0;$115.82;10/22/20, 3:55 PM;;$0.23;1.0;
22;MacdPerfect;Sell to Close;-1.0;$116.18;10/23/20, 9:30 AM;$0.36;$0.63;0.0;
23;MacdPerfect;Buy to Open;1.0;$115.93;10/23/20, 9:35 AM;;$0.60;1.0;
24;MacdPerfect;Sell to Close;-1.0;$115.80;10/23/20, 9:40 AM;($0.13);$0.51;0.0;
25;MacdPerfect;Buy to Open;1.0;$115.09;10/23/20, 11:00 AM;;$0.56;1.0;
26;MacdPerfect;Sell to Close;-1.0;$114.88;10/23/20, 11:20 AM;($0.21);$0.30;0.0;
27;MacdPerfect;Buy to Open;1.0;$114.66;10/23/20, 12:00 PM;;$0.36;1.0;
28;MacdPerfect;Sell to Close;-1.0;$114.45;10/23/20, 12:25 PM;($0.22);$0.08;0.0;
29;MacdPerfect;Buy to Open;1.0;$114.96;10/23/20, 1:10 PM;;$0.03;1.0;
30;MacdPerfect;Sell to Close;-1.0;$114.96;10/23/20, 1:45 PM;$0.00;$0.07;0.0;
31;MacdPerfect;Buy to Open;1.0;$114.97;10/23/20, 1:50 PM;;$0.06;1.0;
32;MacdPerfect;Sell to Close;-1.0;$114.90;10/23/20, 2:00 PM;($0.06);$0.01;0.0;
33;MacdPerfect;Buy to Open;1.0;$114.99;10/23/20, 2:05 PM;;$0.05;1.0;
34;MacdPerfect;Sell to Close;-1.0;$114.92;10/23/20, 2:15 PM;($0.07);($0.06);0.0;
35;MacdPerfect;Buy to Open;1.0;$114.66;10/23/20, 2:50 PM;;($0.12);1.0;
36;MacdPerfect;Sell to Close;-1.0;$114.51;10/23/20, 2:55 PM;($0.15);($0.21);0.0;
37;MacdPerfect;Buy to Open;1.0;$114.66;10/23/20, 3:10 PM;;($0.16);1.0;
38;MacdPerfect;Sell to Close;-1.0;$114.56;10/23/20, 3:30 PM;($0.09);($0.30);0.0;
39;MacdPerfect;Buy to Open;1.0;$115.03;10/23/20, 3:55 PM;;($0.28);1.0;
40;MacdPerfect;Sell to Close;-1.0;$114.62;10/26/20, 9:30 AM;($0.41);($0.72);0.0;
41;MacdPerfect;Buy to Open;1.0;$114.38;10/26/20, 11:55 AM;;($0.92);1.0;
42;MacdPerfect;Sell to Close;-1.0;$114.11;10/26/20, 12:35 PM;($0.27);($0.99);0.0;
43;MacdPerfect;Buy to Open;1.0;$113.30;10/26/20, 1:40 PM;;($0.98);1.0;
44;MacdPerfect;Sell to Close;-1.0;$114.03;10/26/20, 2:50 PM;$0.73;($0.26);0.0;
45;MacdPerfect;Buy to Open;1.0;$114.12;10/26/20, 2:55 PM;;($0.22);1.0;
46;MacdPerfect;Sell to Close;-1.0;$114.03;10/26/20, 3:10 PM;($0.09);($0.35);0.0;
47;MacdPerfect;Buy to Open;1.0;$114.16;10/26/20, 3:15 PM;;($0.24);1.0;
48;MacdPerfect;Sell to Close;-1.0;$114.55;10/26/20, 3:50 PM;$0.39;$0.04;0.0;
49;MacdPerfect;Buy to Open;1.0;$114.85;10/27/20, 9:35 AM;;$0.14;1.0;
50;MacdPerfect;Sell to Close;-1.0;$115.41;10/27/20, 9:50 AM;$0.55;$0.59;0.0;
51;MacdPerfect;Buy to Open;1.0;$115.83;10/27/20, 9:55 AM;;$0.77;1.0;
52;MacdPerfect;Sell to Close;-1.0;$115.77;10/27/20, 10:15 AM;($0.06);$0.53;0.0;
53;MacdPerfect;Buy to Open;1.0;$113.08;10/28/20, 2:00 PM;;$0.44;1.0;
54;MacdPerfect;Sell to Close;-1.0;$112.84;10/28/20, 2:10 PM;($0.24);$0.29;0.0;
55;MacdPerfect;Buy to Open;1.0;$112.74;10/28/20, 2:15 PM;;$0.33;1.0;
56;MacdPerfect;Sell to Close;-1.0;$112.89;10/28/20, 2:40 PM;$0.15;$0.45;0.0;
