Strategy report
Symbol: AAPL
Work Time: 5/11/21, 9:36 AM - 6/23/21, 11:57 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$124.19;5/11/21, 9:36 AM;;($19.49);100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$124.43;5/11/21, 10:02 AM;$24.50;$24.50;0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$123.78;5/11/21, 10:18 AM;;$44.00;100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$123.61;5/11/21, 10:26 AM;($17.00);$7.50;0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$123.95;5/11/21, 10:50 AM;;$23.00;100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$124.24;5/11/21, 11:00 AM;$29.50;$37.00;0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$124.24;5/11/21, 11:01 AM;;$22.00;100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$124.09;5/11/21, 11:02 AM;($15.00);$22.00;0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$124.22;5/11/21, 11:12 AM;;$25.00;100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$125.12;5/11/21, 11:28 AM;$90.18;$112.18;0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$125.00;5/11/21, 11:29 AM;;$119.18;100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$125.08;5/11/21, 11:32 AM;$7.50;$119.68;0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$125.33;5/11/21, 11:36 AM;;$125.87;100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$125.24;5/11/21, 11:38 AM;($9.86);$109.82;0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$124.92;5/11/21, 11:53 AM;;$128.39;100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$125.41;5/11/21, 12:10 PM;$49.90;$159.72;0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$125.54;5/11/21, 12:11 PM;;$148.32;100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$125.43;5/11/21, 12:12 PM;($10.67);$149.05;0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$125.60;5/11/21, 12:13 PM;;$136.55;100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$125.46;5/11/21, 12:14 PM;($13.50);$135.55;0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$125.60;5/11/21, 12:15 PM;;$136.55;100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$125.47;5/11/21, 12:17 PM;($13.00);$122.55;0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$125.56;5/11/21, 12:18 PM;;$123.55;100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$125.56;5/11/21, 12:19 PM;$0.25;$122.80;0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$125.62;5/11/21, 12:25 PM;;$116.80;100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$125.28;5/11/21, 12:32 PM;($33.82);$88.98;0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$125.39;5/11/21, 12:33 PM;;$81.98;100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$125.12;5/11/21, 1:11 PM;($27.00);$61.98;0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$125.21;5/11/21, 1:12 PM;;$62.98;100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$125.18;5/11/21, 1:14 PM;($3.00);$58.98;0.0;
31;MACDStrategy(BUY);Buy to Open;100.0;$125.21;5/11/21, 1:15 PM;;$48.02;100.0;
32;MACDStrategy(SELL);Sell to Close;-100.0;$125.10;5/11/21, 1:16 PM;($11.10);$47.88;0.0;
33;MACDStrategy(BUY);Buy to Open;100.0;$125.14;5/11/21, 1:17 PM;;$53.38;100.0;
34;MACDStrategy(SELL);Sell to Close;-100.0;$125.75;5/11/21, 1:33 PM;$61.33;$109.21;0.0;
35;MACDStrategy(BUY);Buy to Open;100.0;$125.87;5/11/21, 1:34 PM;;$109.71;100.0;
36;MACDStrategy(SELL);Sell to Close;-100.0;$125.84;5/11/21, 1:38 PM;($3.00);$106.21;0.0;
