Strategy report
Symbol: AAPL
Work Time: 5/11/21, 10:50 AM - 6/23/21, 11:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$123.95;5/11/21, 10:50 AM;;$15.50;100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$124.24;5/11/21, 11:00 AM;$29.50;$29.50;0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$124.28;5/11/21, 11:14 AM;;$48.00;100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$125.12;5/11/21, 11:28 AM;$84.68;$114.18;0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$125.33;5/11/21, 11:36 AM;;$120.37;100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$125.24;5/11/21, 11:38 AM;($9.86);$104.32;0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$125.11;5/11/21, 11:55 AM;;$106.82;100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$125.41;5/11/21, 12:10 PM;$30.40;$134.72;0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$125.60;5/11/21, 12:16 PM;;$122.91;100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$125.47;5/11/21, 12:17 PM;($13.00);$121.72;0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$125.20;5/11/21, 1:08 PM;;$115.19;100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$125.12;5/11/21, 1:11 PM;($8.12);$113.60;0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$125.23;5/11/21, 1:13 PM;;$108.76;100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$125.18;5/11/21, 1:14 PM;($5.00);$108.60;0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$125.27;5/11/21, 1:19 PM;;$110.10;100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$125.75;5/11/21, 1:33 PM;$47.83;$156.43;0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$125.88;5/11/21, 1:35 PM;;$163.08;100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$125.84;5/11/21, 1:38 PM;($3.85);$152.58;0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$126.12;5/11/21, 1:43 PM;;$146.58;100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$126.08;5/11/21, 1:45 PM;($4.50);$148.08;0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$126.14;5/11/21, 2:04 PM;;$139.99;100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$125.88;5/11/21, 2:09 PM;($25.60);$122.48;0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$126.00;5/11/21, 2:27 PM;;$137.50;100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$125.88;5/11/21, 2:31 PM;($12.00);$110.48;0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$125.91;5/11/21, 2:56 PM;;$113.47;100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$125.68;5/11/21, 2:58 PM;($23.00);$87.48;0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$126.17;5/11/21, 3:26 PM;;$83.48;100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$126.06;5/11/21, 3:29 PM;($11.00);$76.48;0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$125.89;5/11/21, 3:50 PM;;$84.48;100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$125.97;5/11/21, 3:51 PM;$8.00;$84.48;0.0;
31;MACDStrategy(SELL);Sell to Close;-100.0;$126.08;5/11/21, 3:52 PM;$0.00;$97.48;-100.0;
32;MACDStrategy(BUY);Buy to Open;100.0;$126.08;5/11/21, 3:52 PM;;$84.48;0.0;
33;MACDStrategy(SELL);Sell to Close;-100.0;$125.95;5/11/21, 3:53 PM;$0.00;$88.48;-100.0;
34;MACDStrategy(BUY);Buy to Open;100.0;$125.95;5/11/21, 3:53 PM;;$84.48;0.0;
35;MACDStrategy(SELL);Sell to Close;-100.0;$125.93;5/11/21, 3:54 PM;$0.00;$82.48;-100.0;
36;MACDStrategy(BUY);Buy to Open;100.0;$125.93;5/11/21, 3:54 PM;;$84.48;0.0;
37;MACDStrategy(SELL);Sell to Close;-100.0;$125.95;5/11/21, 3:55 PM;$0.00;$95.48;-100.0;
38;MACDStrategy(BUY);Buy to Open;100.0;$125.95;5/11/21, 3:55 PM;;$84.48;0.0;
39;MACDStrategy(SELL);Sell to Close;-100.0;$125.98;5/11/21, 3:58 PM;$0.00;$76.48;-100.0;
40;MACDStrategy(BUY);Buy to Open;100.0;$125.98;5/11/21, 3:58 PM;;$84.48;0.0;
41;MACDStrategy(SELL);Sell to Close;-100.0;$126.06;5/11/21, 3:59 PM;$0.00;$104.98;-100.0;
42;MACDStrategy(BUY);Buy to Open;100.0;$126.06;5/11/21, 3:59 PM;;$84.48;0.0;
43;MACDStrategy(BUY);Buy to Open;100.0;$123.36;5/12/21, 11:10 AM;;$78.57;100.0;
44;MACDStrategy(SELL);Sell to Close;-100.0;$123.42;5/12/21, 11:17 AM;$6.09;$90.57;0.0;
45;MACDStrategy(BUY);Buy to Open;100.0;$123.49;5/12/21, 11:19 AM;;$97.43;100.0;
46;MACDStrategy(SELL);Sell to Close;-100.0;$123.43;5/12/21, 11:21 AM;($6.01);$84.56;0.0;
47;MACDStrategy(BUY);Buy to Open;100.0;$122.56;5/12/21, 12:19 PM;;$91.31;100.0;
48;MACDStrategy(SELL);Sell to Close;-100.0;$122.85;5/12/21, 12:29 PM;$28.26;$112.82;0.0;
49;MACDStrategy(BUY);Buy to Open;100.0;$123.00;5/12/21, 12:33 PM;;$105.82;100.0;
50;MACDStrategy(SELL);Sell to Close;-100.0;$122.93;5/12/21, 12:34 PM;($7.00);$105.82;0.0;
51;MACDStrategy(BUY);Buy to Open;100.0;$123.08;5/12/21, 12:36 PM;;$84.82;100.0;
52;MACDStrategy(SELL);Sell to Close;-100.0;$122.85;5/12/21, 12:37 PM;($23.00);$82.82;0.0;
53;MACDStrategy(BUY);Buy to Open;100.0;$122.96;5/12/21, 12:52 PM;;$80.32;100.0;
54;MACDStrategy(SELL);Sell to Close;-100.0;$123.02;5/12/21, 1:01 PM;$6.33;$89.15;0.0;
55;MACDStrategy(BUY);Buy to Open;100.0;$123.25;5/12/21, 1:03 PM;;$96.15;100.0;
56;MACDStrategy(SELL);Sell to Close;-100.0;$123.26;5/12/21, 1:08 PM;$1.00;$90.15;0.0;
57;MACDStrategy(BUY);Buy to Open;100.0;$123.40;5/12/21, 1:12 PM;;$83.22;100.0;
58;MACDStrategy(SELL);Sell to Close;-100.0;$123.34;5/12/21, 1:13 PM;($6.45);$83.70;0.0;
59;MACDStrategy(BUY);Buy to Open;100.0;$122.69;5/12/21, 2:37 PM;;$84.70;100.0;
60;MACDStrategy(SELL);Sell to Close;-100.0;$122.63;5/12/21, 2:40 PM;($6.50);$77.20;0.0;
61;MACDStrategy(BUY);Buy to Open;100.0;$122.73;5/12/21, 2:42 PM;;$82.21;100.0;
62;MACDStrategy(SELL);Sell to Close;-100.0;$122.65;5/12/21, 2:44 PM;($8.49);$68.71;0.0;
63;MACDStrategy(BUY);Buy to Open;100.0;$122.76;5/12/21, 2:48 PM;;$74.48;100.0;
64;MACDStrategy(SELL);Sell to Close;-100.0;$122.87;5/12/21, 2:54 PM;$10.50;$79.21;0.0;
65;MACDStrategy(BUY);Buy to Open;100.0;$122.70;5/12/21, 3:34 PM;;$80.21;100.0;
66;MACDStrategy(SELL);Sell to Close;-100.0;$122.59;5/12/21, 3:36 PM;($11.00);$68.21;0.0;
67;MACDStrategy(BUY);Buy to Open;100.0;$122.66;5/12/21, 3:41 PM;;$71.71;100.0;
68;MACDStrategy(SELL);Sell to Close;-100.0;$122.86;5/12/21, 3:48 PM;$19.50;$87.71;0.0;
69;MACDStrategy(SELL);Sell to Close;-100.0;$122.92;5/12/21, 3:59 PM;$0.00;$97.21;-100.0;
70;MACDStrategy(BUY);Buy to Open;100.0;$122.92;5/12/21, 3:59 PM;;$87.71;0.0;
