Strategy report
Symbol: AAPL
Work Time: 6/2/21, 9:34 AM - 6/23/21, 10:22 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1.0;$124.53;6/2/21, 9:34 AM;;($0.22);1.0;
2;MACDStrategy(SELL);Sell to Close;-1.0;$124.32;6/2/21, 9:35 AM;($0.22);($0.22);0.0;
3;MACDStrategy(BUY);Buy to Open;1.0;$124.52;6/2/21, 9:37 AM;;($0.35);1.0;
4;MACDStrategy(SELL);Sell to Close;-1.0;$124.39;6/2/21, 9:38 AM;($0.13);($0.35);0.0;
5;MACDStrategy(BUY);Buy to Open;1.0;$124.55;6/2/21, 9:44 AM;;($0.24);1.0;
6;MACDStrategy(SELL);Sell to Close;-1.0;$124.87;6/2/21, 9:51 AM;$0.32;($0.03);0.0;
7;MACDStrategy(BUY);Buy to Open;1.0;$124.94;6/2/21, 9:56 AM;;$0.00;1.0;
8;MACDStrategy(SELL);Sell to Close;-1.0;$124.95;6/2/21, 10:01 AM;$0.00;($0.02);0.0;
9;MACDStrategy(BUY);Buy to Open;1.0;$125.10;6/2/21, 10:24 AM;;$0.02;1.0;
10;MACDStrategy(SELL);Sell to Close;-1.0;$125.07;6/2/21, 10:31 AM;($0.03);($0.06);0.0;
11;MACDStrategy(BUY);Buy to Open;1.0;$125.19;6/2/21, 10:41 AM;;($0.09);1.0;
12;MACDStrategy(SELL);Sell to Close;-1.0;$125.12;6/2/21, 10:45 AM;($0.07);($0.13);0.0;
13;MACDStrategy(BUY);Buy to Open;1.0;$124.97;6/2/21, 11:30 AM;;($0.12);1.0;
14;MACDStrategy(SELL);Sell to Close;-1.0;$125.05;6/2/21, 11:38 AM;$0.08;($0.05);0.0;
15;MACDStrategy(BUY);Buy to Open;1.0;$125.12;6/2/21, 11:40 AM;;($0.06);1.0;
16;MACDStrategy(SELL);Sell to Close;-1.0;$125.11;6/2/21, 11:41 AM;($0.01);($0.06);0.0;
17;MACDStrategy(BUY);Buy to Open;1.0;$125.14;6/2/21, 11:43 AM;;($0.05);1.0;
18;MACDStrategy(SELL);Sell to Close;-1.0;$125.15;6/2/21, 11:44 AM;$0.02;($0.04);0.0;
19;MACDStrategy(BUY);Buy to Open;1.0;$124.74;6/2/21, 3:14 PM;;($0.05);1.0;
20;MACDStrategy(SELL);Sell to Close;-1.0;$124.75;6/2/21, 3:25 PM;$0.01;($0.04);0.0;
21;MACDStrategy(BUY);Buy to Open;1.0;$124.83;6/2/21, 3:31 PM;;$0.05;1.0;
22;MACDStrategy(SELL);Sell to Close;-1.0;$124.80;6/2/21, 3:35 PM;($0.03);($0.06);0.0;
23;MACDStrategy(BUY);Buy to Open;1.0;$124.89;6/2/21, 3:45 PM;;($0.08);1.0;
24;MACDStrategy(SELL);Sell to Close;-1.0;$125.10;6/2/21, 3:51 PM;$0.21;$0.15;0.0;
25;MACDStrategy(SELL);Sell to Close;-1.0;$125.06;6/2/21, 3:54 PM;$0.00;$0.14;-1.0;
26;MACDStrategy(BUY);Buy to Open;1.0;$125.06;6/2/21, 3:54 PM;;$0.15;0.0;
27;MACDStrategy(SELL);Sell to Close;-1.0;$125.07;6/2/21, 3:55 PM;$0.00;$0.20;-1.0;
28;MACDStrategy(BUY);Buy to Open;1.0;$125.07;6/2/21, 3:55 PM;;$0.15;0.0;
29;MACDStrategy(BUY);Buy to Open;1.0;$123.74;6/3/21, 10:57 AM;;$0.18;1.0;
30;MACDStrategy(SELL);Sell to Close;-1.0;$124.06;6/3/21, 11:09 AM;$0.32;$0.47;0.0;
31;MACDStrategy(BUY);Buy to Open;1.0;$123.72;6/3/21, 12:04 PM;;$0.48;1.0;
32;MACDStrategy(SELL);Sell to Close;-1.0;$123.66;6/3/21, 12:06 PM;($0.06);$0.41;0.0;
33;MACDStrategy(BUY);Buy to Open;1.0;$123.69;6/3/21, 1:24 PM;;$0.45;1.0;
34;MACDStrategy(SELL);Sell to Close;-1.0;$123.72;6/3/21, 1:29 PM;$0.03;$0.45;0.0;
35;MACDStrategy(BUY);Buy to Open;1.0;$123.81;6/3/21, 1:31 PM;;$0.48;1.0;
36;MACDStrategy(SELL);Sell to Close;-1.0;$123.83;6/3/21, 1:34 PM;$0.02;$0.47;0.0;
37;MACDStrategy(BUY);Buy to Open;1.0;$123.94;6/3/21, 1:36 PM;;$0.49;1.0;
38;MACDStrategy(SELL);Sell to Close;-1.0;$123.99;6/3/21, 1:41 PM;$0.05;$0.52;0.0;
39;MACDStrategy(BUY);Buy to Open;1.0;$123.93;6/3/21, 2:07 PM;;$0.55;1.0;
