Strategy report
Symbol: AAPL
Work Time: 5/11/21, 11:50 AM - 6/23/21, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$124.90;5/11/21, 11:50 AM;;$22.00;100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$125.37;5/11/21, 12:30 PM;$46.50;$46.50;0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$125.54;5/11/21, 1:25 PM;;$70.49;100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$125.75;5/11/21, 1:55 PM;$20.50;$67.00;0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$126.05;5/11/21, 2:05 PM;;$45.65;100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$125.57;5/11/21, 2:15 PM;($48.15);$18.85;0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$126.22;5/11/21, 2:30 PM;;($14.15);100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$125.89;5/11/21, 2:35 PM;($33.00);($14.15);0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$125.19;5/13/21, 9:35 AM;;($12.02);100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$125.33;5/13/21, 10:20 AM;$13.50;($0.65);0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$125.68;5/13/21, 12:35 PM;;($31.65);100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$125.37;5/13/21, 12:45 PM;($31.00);($31.65);0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$125.28;5/13/21, 2:20 PM;;($27.48);100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$125.50;5/13/21, 2:55 PM;$22.00;($9.65);0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$125.68;5/13/21, 3:35 PM;;($7.15);100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$125.25;5/13/21, 3:55 PM;($42.50);($52.15);0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$126.75;5/14/21, 9:40 AM;;($81.65);100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$126.07;5/14/21, 9:50 AM;($68.00);($120.15);0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$126.69;5/14/21, 10:20 AM;;($144.65);100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$126.45;5/14/21, 10:25 AM;($24.00);($144.15);0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$126.83;5/14/21, 12:20 PM;;($139.15);100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$127.05;5/14/21, 1:20 PM;$21.50;($122.65);0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$127.23;5/14/21, 1:30 PM;;($136.60);100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$127.09;5/14/21, 1:35 PM;($13.58);($136.23);0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$127.37;5/14/21, 2:15 PM;;($142.23);100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$127.33;5/14/21, 2:25 PM;($4.00);($140.23);0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$127.44;5/14/21, 2:40 PM;;($132.23);100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$127.53;5/14/21, 3:00 PM;$9.00;($131.23);0.0;
29;MACDStrategy(SELL);Sell to Close;-100.0;$127.82;5/14/21, 3:55 PM;$0.00;($94.65);-100.0;
30;MACDStrategy(BUY);Buy to Open;100.0;$127.82;5/14/21, 3:55 PM;;($131.23);0.0;
31;MACDStrategy(BUY);Buy to Open;100.0;$125.67;5/17/21, 3:10 PM;;($126.23);100.0;
32;MACDStrategy(SELL);Sell to Close;-100.0;$125.54;5/17/21, 3:25 PM;($13.00);($144.23);0.0;
33;MACDStrategy(BUY);Buy to Open;100.0;$125.68;5/17/21, 3:50 PM;;($118.23);100.0;
34;MACDStrategy(SELL);Sell to Close;-100.0;$125.93;5/17/21, 3:55 PM;$25.00;($119.23);0.0;
35;MACDStrategy(SELL);Sell to Close;-100.0;$126.56;5/18/21, 9:30 AM;$0.00;($70.23);-100.0;
36;MACDStrategy(BUY);Buy to Open;100.0;$126.56;5/18/21, 9:30 AM;;($119.23);0.0;
37;MACDStrategy(BUY);Buy to Open;100.0;$126.07;5/18/21, 9:35 AM;;($57.61);100.0;
38;MACDStrategy(SELL);Sell to Close;-100.0;$126.54;5/18/21, 9:55 AM;$46.50;($72.73);0.0;
39;MACDStrategy(BUY);Buy to Open;100.0;$126.78;5/18/21, 10:35 AM;;($85.23);100.0;
40;MACDStrategy(SELL);Sell to Close;-100.0;$126.66;5/18/21, 10:40 AM;($12.50);($85.23);0.0;
41;MACDStrategy(BUY);Buy to Open;100.0;$124.20;5/19/21, 12:25 PM;;($89.80);100.0;
42;MACDStrategy(SELL);Sell to Close;-100.0;$123.96;5/19/21, 12:45 PM;($23.57);($108.80);0.0;
43;MACDStrategy(BUY);Buy to Open;100.0;$124.34;5/19/21, 1:15 PM;;($114.30);100.0;
44;MACDStrategy(SELL);Sell to Close;-100.0;$124.15;5/19/21, 1:25 PM;($19.50);($128.30);0.0;
45;MACDStrategy(BUY);Buy to Open;100.0;$124.35;5/19/21, 1:55 PM;;($136.80);100.0;
46;MACDStrategy(SELL);Sell to Close;-100.0;$123.95;5/19/21, 2:05 PM;($39.50);($167.80);0.0;
47;MACDStrategy(BUY);Buy to Open;100.0;$124.71;5/19/21, 2:30 PM;;($189.80);100.0;
48;MACDStrategy(SELL);Sell to Close;-100.0;$124.15;5/19/21, 2:40 PM;($56.00);($223.80);0.0;
49;MACDStrategy(BUY);Buy to Open;100.0;$124.22;5/19/21, 3:20 PM;;($207.80);100.0;
50;MACDStrategy(SELL);Sell to Close;-100.0;$124.07;5/19/21, 3:45 PM;($15.00);($238.80);0.0;
51;MACDStrategy(SELL);Sell to Close;-100.0;$125.23;5/20/21, 9:30 AM;$0.00;($259.80);-100.0;
52;MACDStrategy(BUY);Buy to Open;100.0;$125.23;5/20/21, 9:30 AM;;($238.80);0.0;
53;MACDStrategy(BUY);Buy to Open;100.0;$125.44;5/20/21, 9:35 AM;;($202.80);100.0;
54;MACDStrategy(SELL);Sell to Close;-100.0;$126.37;5/20/21, 10:30 AM;$92.50;($146.30);0.0;
55;MACDStrategy(BUY);Buy to Open;100.0;$127.00;5/20/21, 11:45 AM;;($132.80);100.0;
56;MACDStrategy(SELL);Sell to Close;-100.0;$126.96;5/20/21, 12:05 PM;($3.50);($149.80);0.0;
57;MACDStrategy(BUY);Buy to Open;100.0;$127.28;5/20/21, 1:25 PM;;($151.80);100.0;
58;MACDStrategy(SELL);Sell to Close;-100.0;$127.27;5/20/21, 1:40 PM;($1.00);($150.80);0.0;
59;MACDStrategy(BUY);Buy to Open;100.0;$127.56;5/20/21, 2:55 PM;;($153.30);100.0;
60;MACDStrategy(SELL);Sell to Close;-100.0;$127.45;5/20/21, 3:10 PM;($10.49);($161.29);0.0;
61;MACDStrategy(BUY);Buy to Open;100.0;$127.63;5/20/21, 3:20 PM;;($159.04);100.0;
62;MACDStrategy(SELL);Sell to Close;-100.0;$127.58;5/20/21, 3:35 PM;($4.79);($166.08);0.0;
63;MACDStrategy(BUY);Buy to Open;100.0;$125.94;5/21/21, 12:05 PM;;($189.75);100.0;
64;MACDStrategy(SELL);Sell to Close;-100.0;$125.71;5/21/21, 12:10 PM;($22.68);($188.76);0.0;
65;MACDStrategy(BUY);Buy to Open;100.0;$126.01;5/21/21, 2:10 PM;;($181.76);100.0;
66;MACDStrategy(SELL);Sell to Close;-100.0;$125.89;5/21/21, 2:20 PM;($12.00);($200.76);0.0;
67;MACDStrategy(BUY);Buy to Open;100.0;$125.93;5/21/21, 2:55 PM;;($198.00);100.0;
68;MACDStrategy(SELL);Sell to Close;-100.0;$125.73;5/21/21, 3:10 PM;($20.00);($220.76);0.0;
69;MACDStrategy(BUY);Buy to Open;100.0;$125.90;5/21/21, 3:20 PM;;($208.26);100.0;
70;MACDStrategy(SELL);Sell to Close;-100.0;$125.71;5/21/21, 3:35 PM;($18.50);($239.26);0.0;
71;MACDStrategy(BUY);Buy to Open;100.0;$126.73;5/24/21, 9:40 AM;;($225.76);100.0;
72;MACDStrategy(SELL);Sell to Close;-100.0;$127.42;5/24/21, 10:45 AM;$69.00;($170.26);0.0;
73;MACDStrategy(BUY);Buy to Open;100.0;$127.74;5/24/21, 2:30 PM;;($161.36);100.0;
74;MACDStrategy(SELL);Sell to Close;-100.0;$127.77;5/24/21, 2:55 PM;$3.50;($166.76);0.0;
75;MACDStrategy(BUY);Buy to Open;100.0;$127.90;5/24/21, 3:10 PM;;($174.26);100.0;
76;MACDStrategy(SELL);Sell to Close;-100.0;$127.82;5/24/21, 3:15 PM;($8.00);($174.76);0.0;
77;MACDStrategy(SELL);Sell to Close;-100.0;$126.81;5/25/21, 3:55 PM;$0.00;($187.76);-100.0;
78;MACDStrategy(BUY);Buy to Open;100.0;$126.81;5/25/21, 3:55 PM;;($174.76);0.0;
