Strategy report
Symbol: AAPL
Work Time: 2/17/21, 1:25 PM - 6/25/21, 10:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$130.43;2/17/21, 1:25 PM;;$0.06;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$130.40;2/17/21, 1:40 PM;($0.03);($0.03);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$130.52;2/17/21, 1:50 PM;;$0.03;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$130.57;2/17/21, 2:15 PM;$0.04;$0.01;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$130.69;2/17/21, 3:25 PM;;$0.01;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$130.80;2/17/21, 3:45 PM;$0.11;$0.13;0.0;
7;MacdPerfect(SELL);Sell to Close;-1.0;$130.85;2/17/21, 3:55 PM;$0.00;$0.13;-1.0;
8;MacdPerfect(BUY);Buy to Open;1.0;$130.85;2/17/21, 3:55 PM;;$0.13;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$128.74;2/18/21, 1:05 PM;;$0.17;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$128.80;2/18/21, 1:40 PM;$0.07;$0.19;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$128.88;2/18/21, 2:20 PM;;$0.21;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$128.75;2/18/21, 2:30 PM;($0.13);$0.06;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$129.14;2/18/21, 3:00 PM;;$0.13;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$129.60;2/18/21, 3:50 PM;$0.46;$0.52;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$130.35;2/19/21, 10:00 AM;;$0.42;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$129.97;2/19/21, 10:10 AM;($0.37);$0.14;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$130.54;2/19/21, 11:05 AM;;$0.07;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$130.21;2/19/21, 11:50 AM;($0.33);($0.18);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$129.73;2/19/21, 3:05 PM;;($0.26);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$129.87;2/19/21, 3:45 PM;$0.14;($0.04);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$127.08;2/22/21, 1:15 PM;;($0.04);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$127.66;2/22/21, 2:05 PM;$0.58;$0.54;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$127.70;2/22/21, 2:25 PM;;$0.51;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$127.58;2/22/21, 2:35 PM;($0.11);$0.42;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$123.37;2/23/21, 1:20 PM;;$0.67;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$124.61;2/23/21, 2:30 PM;$1.25;$1.67;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$125.44;2/23/21, 2:55 PM;;$1.86;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$126.29;2/23/21, 3:35 PM;$0.86;$2.52;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$124.63;2/24/21, 11:25 AM;;$2.46;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$124.49;2/24/21, 11:45 AM;($0.14);$2.38;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$124.61;2/24/21, 11:55 AM;;$2.30;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$124.77;2/24/21, 12:00 PM;$0.16;$2.54;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$124.83;2/24/21, 12:10 PM;;$2.54;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$125.00;2/24/21, 12:25 PM;$0.17;$2.71;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$125.00;2/24/21, 1:35 PM;;$2.71;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$124.48;2/24/21, 2:10 PM;($0.52);$2.19;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$124.75;2/24/21, 3:25 PM;;$2.38;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$124.87;2/24/21, 3:45 PM;$0.12;$2.32;0.0;
39;MacdPerfect(SELL);Sell to Close;-1.0;$125.26;2/24/21, 3:55 PM;$0.00;$2.26;-1.0;
40;MacdPerfect(BUY);Buy to Open;1.0;$125.26;2/24/21, 3:55 PM;;$2.32;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$125.63;2/25/21, 9:35 AM;;$2.73;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$125.34;2/25/21, 9:45 AM;($0.29);$2.03;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$123.07;2/25/21, 2:15 PM;;$2.18;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$122.64;2/25/21, 2:35 PM;($0.43);$1.60;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$123.35;2/26/21, 9:40 AM;;$1.48;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$122.45;2/26/21, 9:55 AM;($0.91);$0.69;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$123.26;2/26/21, 10:45 AM;;$0.91;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$123.30;2/26/21, 11:15 AM;$0.04;$0.73;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$124.28;2/26/21, 11:35 AM;;$0.83;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$124.10;2/26/21, 11:50 AM;($0.18);$0.55;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$124.63;2/26/21, 12:15 PM;;$0.61;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$124.32;2/26/21, 12:25 PM;($0.31);$0.23;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$123.98;2/26/21, 3:05 PM;;$0.35;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$123.80;2/26/21, 3:25 PM;($0.18);$0.05;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$124.48;2/26/21, 3:45 PM;;$0.34;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$122.08;2/26/21, 3:55 PM;($2.41);($2.36);0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$124.63;3/1/21, 9:55 AM;;($2.17);1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$125.10;3/1/21, 10:40 AM;$0.47;($1.89);0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$125.40;3/1/21, 10:50 AM;;($1.81);1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$125.71;3/1/21, 11:05 AM;$0.31;($1.58);0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$125.96;3/1/21, 11:15 AM;;($1.51);1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$125.91;3/1/21, 11:30 AM;($0.06);($1.64);0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$126.38;3/1/21, 12:00 PM;;($1.79);1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$126.25;3/1/21, 12:05 PM;($0.13);($1.77);0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$126.42;3/1/21, 1:50 PM;;($1.79);1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$126.38;3/1/21, 2:00 PM;($0.04);($1.80);0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$126.93;3/1/21, 2:10 PM;;($1.60);1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$126.96;3/1/21, 2:35 PM;$0.03;($1.77);0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$127.50;3/1/21, 2:50 PM;;($1.70);1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$127.44;3/1/21, 3:10 PM;($0.07);($1.84);0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$126.42;3/2/21, 12:45 PM;;($1.91);1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$126.22;3/2/21, 1:00 PM;($0.20);($2.04);0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$126.24;3/2/21, 1:40 PM;;($2.12);1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$126.18;3/2/21, 1:45 PM;($0.06);($2.10);0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$122.91;3/4/21, 11:00 AM;;($2.01);1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$122.20;3/4/21, 11:15 AM;($0.71);($2.81);0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$122.36;3/4/21, 11:25 AM;;($2.98);1.0;
