Strategy report
Symbol: AAPL
Work Time: 11/30/20, 9:32 AM - 1/13/21, 9:43 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1.0;$117.40;11/30/20, 9:32 AM;;$0.64;1.0;
2;MACDStrategy(SELL);Sell to Close;-1.0;$119.14;11/30/20, 9:42 AM;$1.74;$1.74;0.0;
3;MACDStrategy(BUY);Buy to Open;1.0;$118.84;11/30/20, 9:43 AM;;$1.68;1.0;
4;MACDStrategy(SELL);Sell to Close;-1.0;$119.23;11/30/20, 9:49 AM;$0.39;$2.13;0.0;
5;MACDStrategy(BUY);Buy to Open;1.0;$119.04;11/30/20, 10:06 AM;;$2.42;1.0;
6;MACDStrategy(SELL);Sell to Close;-1.0;$119.47;11/30/20, 10:12 AM;$0.43;$2.56;0.0;
7;MACDStrategy(BUY);Buy to Open;1.0;$118.76;11/30/20, 10:26 AM;;$2.59;1.0;
8;MACDStrategy(SELL);Sell to Close;-1.0;$118.00;11/30/20, 11:03 AM;($0.76);$1.80;0.0;
9;MACDStrategy(BUY);Buy to Open;1.0;$117.96;11/30/20, 11:09 AM;;$1.82;1.0;
10;MACDStrategy(SELL);Sell to Close;-1.0;$117.99;11/30/20, 11:11 AM;$0.03;$1.83;0.0;
11;MACDStrategy(BUY);Buy to Open;1.0;$117.92;11/30/20, 11:12 AM;;$1.81;1.0;
12;MACDStrategy(SELL);Sell to Close;-1.0;$117.98;11/30/20, 11:13 AM;$0.06;$1.89;0.0;
13;MACDStrategy(BUY);Buy to Open;1.0;$117.91;11/30/20, 11:14 AM;;$1.91;1.0;
14;MACDStrategy(SELL);Sell to Close;-1.0;$118.06;11/30/20, 11:15 AM;$0.15;$2.04;0.0;
15;MACDStrategy(BUY);Buy to Open;1.0;$117.93;11/30/20, 11:16 AM;;$2.13;1.0;
16;MACDStrategy(SELL);Sell to Close;-1.0;$118.18;11/30/20, 11:17 AM;$0.25;$2.29;0.0;
17;MACDStrategy(BUY);Buy to Open;1.0;$117.72;11/30/20, 11:23 AM;;$2.48;1.0;
18;MACDStrategy(SELL);Sell to Close;-1.0;$117.86;11/30/20, 11:30 AM;$0.14;$2.43;0.0;
19;MACDStrategy(BUY);Buy to Open;1.0;$118.00;11/30/20, 11:40 AM;;$2.36;1.0;
20;MACDStrategy(SELL);Sell to Close;-1.0;$118.96;11/30/20, 11:56 AM;$0.95;$3.39;0.0;
21;MACDStrategy(BUY);Buy to Open;1.0;$118.95;11/30/20, 11:57 AM;;$3.41;1.0;
22;MACDStrategy(SELL);Sell to Close;-1.0;$118.97;11/30/20, 11:59 AM;$0.02;$3.41;0.0;
23;MACDStrategy(BUY);Buy to Open;1.0;$118.79;11/30/20, 12:09 PM;;$3.46;1.0;
24;MACDStrategy(SELL);Sell to Close;-1.0;$118.99;11/30/20, 12:17 PM;$0.20;$3.61;0.0;
25;MACDStrategy(BUY);Buy to Open;1.0;$118.77;11/30/20, 12:24 PM;;$3.73;1.0;
26;MACDStrategy(SELL);Sell to Close;-1.0;$118.97;11/30/20, 12:36 PM;$0.20;$3.80;0.0;
27;MACDStrategy(BUY);Buy to Open;1.0;$118.79;11/30/20, 12:43 PM;;$3.87;1.0;
28;MACDStrategy(SELL);Sell to Close;-1.0;$119.15;11/30/20, 1:08 PM;$0.35;$4.16;0.0;
29;MACDStrategy(BUY);Buy to Open;1.0;$119.14;11/30/20, 1:09 PM;;$4.12;1.0;
30;MACDStrategy(SELL);Sell to Close;-1.0;$119.05;11/30/20, 1:10 PM;($0.09);$4.07;0.0;
31;MACDStrategy(BUY);Buy to Open;1.0;$118.83;11/30/20, 1:16 PM;;$4.17;1.0;
32;MACDStrategy(SELL);Sell to Close;-1.0;$119.06;11/30/20, 1:34 PM;$0.23;$4.30;0.0;
33;MACDStrategy(BUY);Buy to Open;1.0;$119.10;11/30/20, 1:37 PM;;$4.32;1.0;
34;MACDStrategy(SELL);Sell to Close;-1.0;$119.13;11/30/20, 1:39 PM;$0.03;$4.33;0.0;
35;MACDStrategy(BUY);Buy to Open;1.0;$119.08;11/30/20, 1:40 PM;;$4.46;1.0;
36;MACDStrategy(SELL);Sell to Close;-1.0;$119.74;11/30/20, 1:55 PM;$0.66;$4.98;0.0;
37;MACDStrategy(BUY);Buy to Open;1.0;$119.69;11/30/20, 1:56 PM;;$4.95;1.0;
38;MACDStrategy(SELL);Sell to Close;-1.0;$119.66;11/30/20, 1:58 PM;($0.03);$4.95;0.0;
39;MACDStrategy(BUY);Buy to Open;1.0;$119.86;11/30/20, 2:09 PM;;$4.93;1.0;
40;MACDStrategy(SELL);Sell to Close;-1.0;$119.87;11/30/20, 2:10 PM;$0.01;$4.96;0.0;
41;MACDStrategy(BUY);Buy to Open;1.0;$119.89;11/30/20, 2:18 PM;;$5.01;1.0;
42;MACDStrategy(SELL);Sell to Close;-1.0;$120.47;11/30/20, 2:37 PM;$0.58;$5.53;0.0;
43;MACDStrategy(BUY);Buy to Open;1.0;$120.42;11/30/20, 2:38 PM;;$5.55;1.0;
44;MACDStrategy(SELL);Sell to Close;-1.0;$120.43;11/30/20, 2:39 PM;$0.02;$5.55;0.0;
45;MACDStrategy(BUY);Buy to Open;1.0;$120.44;11/30/20, 2:40 PM;;$5.80;1.0;
46;MACDStrategy(SELL);Sell to Close;-1.0;$120.80;11/30/20, 2:44 PM;$0.36;$5.91;0.0;
47;MACDStrategy(BUY);Buy to Open;1.0;$120.38;11/30/20, 2:58 PM;;$6.03;1.0;
48;MACDStrategy(SELL);Sell to Close;-1.0;$120.90;11/30/20, 3:13 PM;$0.52;$6.43;0.0;
49;MACDStrategy(BUY);Buy to Open;1.0;$120.41;11/30/20, 3:31 PM;;$6.60;1.0;
50;MACDStrategy(SELL);Sell to Close;-1.0;$120.59;11/30/20, 3:42 PM;$0.18;$6.61;0.0;
51;MACDStrategy(BUY);Buy to Open;1.0;$120.43;11/30/20, 3:47 PM;;$6.72;1.0;
52;MACDStrategy(SELL);Sell to Close;-1.0;$120.50;11/30/20, 3:51 PM;$0.08;$6.68;0.0;
53;MACDStrategy(SELL);Sell to Close;-1.0;$119.93;11/30/20, 3:53 PM;$0.00;$6.51;-1.0;
54;MACDStrategy(BUY);Buy to Open;1.0;$119.93;11/30/20, 3:53 PM;;$6.68;0.0;
55;MACDStrategy(BUY);Buy to Open;1.0;$120.98;12/1/20, 9:31 AM;;$6.67;1.0;
56;MACDStrategy(SELL);Sell to Close;-1.0;$120.32;12/1/20, 9:37 AM;($0.66);$6.02;0.0;
57;MACDStrategy(BUY);Buy to Open;1.0;$120.21;12/1/20, 9:38 AM;;$6.89;1.0;
