Strategy report
Symbol: AAPL
Work Time: 5/14/21, 9:50 AM - 6/25/21, 3:51 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;vwapbands(Buy);Buy to Open;10.0;$126.07;5/14/21, 9:50 AM;;($0.10);10.0;
2;vwapbands(SEll);Sell to Close;-10.0;$127.02;5/14/21, 12:50 PM;$9.50;$9.50;0.0;
3;vwapbands(Buy);Buy to Open;10.0;$126.67;5/17/21, 9:31 AM;;$6.10;10.0;
4;vwapbands(SEll);Sell to Close;-10.0;$126.30;5/17/21, 9:33 AM;($3.74);$5.77;0.0;
5;vwapbands(Buy);Buy to Open;10.0;$126.04;5/17/21, 10:00 AM;;$3.45;10.0;
6;vwapbands(SEll);Sell to Close;-10.0;$125.54;5/17/21, 1:12 PM;($5.00);$0.77;0.0;
7;vwapbands(Buy);Buy to Open;10.0;$125.25;5/17/21, 1:41 PM;;$0.72;10.0;
8;vwapbands(SEll);Sell to Close;-10.0;$125.93;5/17/21, 3:51 PM;$6.80;$7.57;0.0;
9;vwapbands(Buy);Buy to Open;10.0;$126.42;5/18/21, 9:31 AM;;$6.17;10.0;
10;vwapbands(SEll);Sell to Close;-10.0;$125.96;5/18/21, 2:29 PM;($4.65);$2.92;0.0;
11;vwapbands(Buy);Buy to Open;10.0;$125.89;5/18/21, 2:30 PM;;$3.32;10.0;
12;vwapbands(SEll);Sell to Close;-10.0;$125.42;5/18/21, 3:49 PM;($4.80);($1.88);0.0;
13;vwapbands(Buy);Buy to Open;10.0;$125.39;5/18/21, 3:50 PM;;($3.04);10.0;
14;vwapbands(SEll);Sell to Close;-10.0;$125.27;5/18/21, 3:51 PM;($1.20);($3.08);0.0;
15;vwapbands(Buy);Buy to Open;10.0;$125.35;5/18/21, 3:52 PM;;($4.08);10.0;
16;vwapbands(SEll);Sell to Close;-10.0;$125.24;5/18/21, 3:53 PM;($1.05);($4.13);0.0;
17;vwapbands(Buy);Buy to Open;10.0;$125.16;5/18/21, 3:54 PM;;($5.08);10.0;
18;vwapbands(SEll);Sell to Close;-10.0;$125.06;5/18/21, 3:55 PM;($0.95);($5.08);0.0;
19;vwapbands(Buy);Buy to Open;10.0;$125.05;5/18/21, 3:56 PM;;($5.28);10.0;
20;vwapbands(SEll);Sell to Close;-10.0;$125.02;5/18/21, 3:57 PM;($0.25);($5.33);0.0;
21;vwapbands(Buy);Buy to Open;10.0;$124.93;5/18/21, 3:58 PM;;($4.83);10.0;
22;vwapbands(SEll);Sell to Close;-10.0;$124.97;5/18/21, 3:59 PM;$0.40;($4.93);0.0;
23;vwapbands(Buy);Buy to Open;10.0;$123.16;5/19/21, 9:30 AM;;($2.03);10.0;
24;vwapbands(SEll);Sell to Close;-10.0;$124.08;5/19/21, 12:17 PM;$9.20;$4.27;0.0;
25;vwapbands(Buy);Buy to Open;10.0;$127.81;5/21/21, 9:31 AM;;$3.67;10.0;
26;vwapbands(SEll);Sell to Close;-10.0;$127.42;5/21/21, 9:36 AM;($3.90);$0.37;0.0;
27;vwapbands(Buy);Buy to Open;10.0;$127.22;5/21/21, 9:38 AM;;($0.98);10.0;
28;vwapbands(SEll);Sell to Close;-10.0;$126.77;5/21/21, 9:45 AM;($4.50);($4.13);0.0;
