Strategy report
Symbol: AAPL
Work Time: 10/22/20, 9:45 AM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$117.67;10/22/20, 9:45 AM;;($0.27);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$117.45;10/22/20, 9:50 AM;($0.22);($0.22);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$115.26;10/27/20, 9:45 AM;;($0.33);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$115.41;10/27/20, 9:50 AM;$0.15;($0.07);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$116.03;10/27/20, 10:00 AM;;($0.06);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$115.77;10/27/20, 10:15 AM;($0.26);($0.33);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$116.67;10/27/20, 11:20 AM;;($0.22);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$116.37;10/27/20, 11:30 AM;($0.30);($0.63);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$117.10;10/27/20, 12:00 PM;;($0.64);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$116.97;10/27/20, 12:15 PM;($0.13);($0.77);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$116.67;10/27/20, 3:35 PM;;($0.69);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$116.70;10/27/20, 3:55 PM;$0.04;($0.73);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$116.76;10/29/20, 2:20 PM;;($0.75);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$116.43;10/29/20, 2:40 PM;($0.33);($1.06);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$110.97;11/3/20, 3:30 PM;;($0.95);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$110.90;11/3/20, 3:45 PM;($0.07);($1.13);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$110.72;11/3/20, 3:55 PM;;($1.47);1.0;
