Strategy report
Symbol: AAPL
Work Time: 1/7/21, 3:00 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$130.81;1/7/21, 3:00 PM;;$0.03;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$131.34;1/7/21, 3:45 PM;$0.52;$0.52;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$131.36;1/7/21, 3:50 PM;;$0.42;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$131.05;1/7/21, 3:55 PM;($0.31);$0.21;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$131.89;1/8/21, 9:35 AM;;($0.21);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$131.45;1/8/21, 9:40 AM;($0.45);($0.24);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$131.16;1/8/21, 9:45 AM;;($0.49);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$131.12;1/8/21, 9:50 AM;($0.04);($0.28);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$131.60;1/8/21, 10:05 AM;;($0.50);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$131.30;1/8/21, 10:10 AM;($0.30);($0.59);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$131.29;1/8/21, 10:45 AM;;($0.51);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$131.02;1/8/21, 11:10 AM;($0.26);($0.85);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$131.02;1/8/21, 11:25 AM;;($0.80);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$132.08;1/8/21, 12:25 PM;$1.06;$0.21;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$132.06;1/8/21, 12:30 PM;;$0.12;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$131.81;1/8/21, 12:40 PM;($0.25);($0.04);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$130.98;1/8/21, 1:55 PM;;($0.01);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$131.66;1/8/21, 3:25 PM;$0.68;$0.63;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$131.82;1/8/21, 3:30 PM;;$0.68;1.0;
