Strategy report
Symbol: AAPL
Work Time: 10/16/20, 10:00 AM - 6/28/21, 10:25 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$120.91;10/16/20, 10:00 AM;;$0.06;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$120.69;10/16/20, 10:45 AM;($0.22);($0.22);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$120.25;10/16/20, 2:45 PM;;($0.26);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$120.35;10/16/20, 2:50 PM;$0.11;($0.12);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$120.44;10/16/20, 2:55 PM;;($0.16);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$120.05;10/16/20, 3:05 PM;($0.39);($0.50);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$117.63;10/22/20, 9:35 AM;;($0.49);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$117.45;10/22/20, 9:50 AM;($0.18);($0.69);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$114.85;10/27/20, 9:35 AM;;($0.58);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$115.41;10/27/20, 9:50 AM;$0.55;($0.14);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$115.83;10/27/20, 9:55 AM;;$0.04;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$115.77;10/27/20, 10:15 AM;($0.06);($0.20);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$110.18;11/3/20, 2:15 PM;;($0.21);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$110.90;11/3/20, 3:45 PM;$0.72;$0.52;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$113.30;11/4/20, 9:35 AM;;($0.03);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$114.87;11/4/20, 10:30 AM;$1.57;$2.09;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$118.37;11/5/20, 9:40 AM;;$2.30;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$118.55;11/5/20, 10:10 AM;$0.19;$2.28;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$118.47;11/5/20, 10:15 AM;;$2.41;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$117.82;11/5/20, 10:25 AM;($0.65);$1.62;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$117.85;11/5/20, 12:40 PM;;$1.64;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$118.47;11/5/20, 2:10 PM;$0.62;$2.24;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$116.87;11/6/20, 10:10 AM;;$2.38;1.0;
