Strategy report
Symbol: ACN
Work Time: 10/20/20, 1:15 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$230.70;10/20/20, 1:15 PM;;$0.03;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$231.90;10/20/20, 1:55 PM;$1.20;$1.20;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$231.69;10/20/20, 2:00 PM;;$1.11;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$231.68;10/20/20, 2:05 PM;($0.01);$1.19;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$230.24;10/20/20, 3:25 PM;;$1.30;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$229.71;10/20/20, 3:35 PM;($0.54);$0.65;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$230.24;10/20/20, 3:45 PM;;$0.60;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$230.40;10/20/20, 3:55 PM;$0.16;$0.81;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$231.96;10/21/20, 9:45 AM;;$1.16;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$232.65;10/21/20, 10:25 AM;$0.70;$1.51;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$232.60;10/21/20, 10:30 AM;;$1.44;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$232.25;10/21/20, 10:50 AM;($0.34);$1.16;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$232.54;10/21/20, 12:10 PM;;$1.16;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$232.50;10/21/20, 12:35 PM;($0.04);$1.12;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$232.73;10/21/20, 1:00 PM;;$1.34;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$232.69;10/21/20, 1:40 PM;($0.03);$1.09;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$233.33;10/21/20, 2:10 PM;;$1.20;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$234.11;10/21/20, 2:55 PM;$0.78;$1.87;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$233.99;10/21/20, 3:00 PM;;$1.66;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$233.72;10/21/20, 3:10 PM;($0.27);$1.60;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$233.46;10/21/20, 3:55 PM;;$1.36;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$233.37;10/22/20, 9:30 AM;($0.08);$1.52;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$232.56;10/22/20, 9:35 AM;;$0.51;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$231.74;10/22/20, 9:40 AM;($0.82);$0.70;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$228.86;10/22/20, 10:55 AM;;$0.59;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$228.69;10/22/20, 12:05 PM;($0.17);$0.53;0.0;
