Strategy report
Symbol: GME
Work Time: 5/13/21, 9:32 AM - 6/25/21, 12:46 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$148.03;5/13/21, 9:32 AM;;$0.23;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$151.00;5/13/21, 9:40 AM;$2.97;$2.97;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$152.58;5/13/21, 9:44 AM;;$2.66;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$152.51;5/13/21, 9:47 AM;($0.07);$2.89;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$151.88;5/13/21, 10:11 AM;;$2.91;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$150.98;5/13/21, 10:15 AM;($0.90);$2.00;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$151.60;5/13/21, 10:21 AM;;$2.31;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$152.60;5/13/21, 10:27 AM;$1.00;$3.00;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$153.81;5/13/21, 10:31 AM;;$2.63;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$153.46;5/13/21, 10:32 AM;($0.35);$2.65;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$154.12;5/13/21, 10:34 AM;;$2.83;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$153.83;5/13/21, 10:36 AM;($0.29);$2.36;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$155.17;5/13/21, 10:40 AM;;$2.38;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$155.50;5/13/21, 10:44 AM;$0.33;$2.70;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$156.53;5/13/21, 10:47 AM;;$2.46;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$156.48;5/13/21, 10:48 AM;($0.05);$2.65;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$152.43;5/13/21, 12:07 PM;;$2.93;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$153.41;5/13/21, 12:14 PM;$0.98;$3.63;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$153.11;5/13/21, 12:30 PM;;$3.94;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$152.80;5/13/21, 12:39 PM;($0.31);$3.32;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$153.22;5/13/21, 12:42 PM;;$3.15;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$153.10;5/13/21, 12:43 PM;($0.12);$3.20;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$153.95;5/13/21, 12:49 PM;;$3.24;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$153.43;5/13/21, 12:56 PM;($0.52);$2.67;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$153.72;5/13/21, 1:05 PM;;$2.68;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$153.75;5/13/21, 1:14 PM;$0.03;$2.70;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$154.50;5/13/21, 1:18 PM;;$2.49;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$154.21;5/13/21, 1:20 PM;($0.29);$2.42;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$154.45;5/13/21, 1:28 PM;;$2.61;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$154.02;5/13/21, 1:31 PM;($0.43);$1.99;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$155.08;5/13/21, 1:40 PM;;$2.04;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$154.64;5/13/21, 1:43 PM;($0.44);$1.55;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$155.52;5/13/21, 1:46 PM;;$1.12;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$155.51;5/13/21, 1:47 PM;($0.01);$1.53;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$156.72;5/13/21, 1:51 PM;;$1.82;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$160.75;5/13/21, 1:58 PM;$4.03;$5.56;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$162.83;5/13/21, 2:02 PM;;$5.72;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$162.68;5/13/21, 2:04 PM;($0.14);$5.42;0.0;
