Strategy report
Symbol: GME
Work Time: 5/13/21, 9:40 AM - 6/24/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$151.64;5/13/21, 9:40 AM;;$0.64;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$150.50;5/13/21, 10:00 AM;($1.14);($1.14);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$150.96;5/13/21, 10:10 AM;;($1.29);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$155.00;5/13/21, 11:00 AM;$4.04;$2.91;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$153.17;5/13/21, 12:35 PM;;$2.57;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$153.72;5/13/21, 1:35 PM;$0.55;$3.45;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$155.44;5/13/21, 1:45 PM;;$3.65;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$162.07;5/13/21, 2:15 PM;$6.63;$10.08;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$163.31;5/13/21, 2:35 PM;;$9.53;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$165.41;5/13/21, 3:00 PM;$2.10;$12.19;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$167.45;5/13/21, 3:10 PM;;$10.94;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$166.09;5/13/21, 3:15 PM;($1.36);$10.83;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$164.35;5/14/21, 10:30 AM;;$10.84;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$162.43;5/14/21, 11:10 AM;($1.92);$8.91;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$164.45;5/14/21, 11:20 AM;;$8.69;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$162.75;5/14/21, 11:40 AM;($1.70);$7.21;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$161.19;5/17/21, 9:35 AM;;$8.13;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$161.06;5/17/21, 9:45 AM;($0.13);$7.08;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$163.29;5/17/21, 9:55 AM;;$8.14;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$166.41;5/17/21, 10:20 AM;$3.12;$10.20;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$167.09;5/17/21, 10:50 AM;;$10.04;1.0;
