Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:45 AM - 6/18/21, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(Buy);Buy to Open;100.0;$9.52;5/7/21, 9:45 AM;;($1.09);100.0;
2;BashirStrategy(CloseBuy);Sell to Close;-100.0;$11.36;5/13/21, 9:45 AM;$184.41;$184.41;0.0;
3;BashirStrategy(Buy);Buy to Open;100.0;$11.62;5/13/21, 10:00 AM;;$196.50;100.0;
4;BashirStrategy(CloseBuy);Sell to Close;-100.0;$12.96;5/13/21, 1:45 PM;$133.88;$318.29;0.0;
5;BashirStrategy(Buy);Buy to Open;100.0;$13.45;5/13/21, 2:00 PM;;$329.10;100.0;
6;BashirStrategy(CloseBuy);Sell to Close;-100.0;$12.77;5/14/21, 9:30 AM;($68.30);$249.99;0.0;
7;BashirStrategy(Buy);Buy to Open;100.0;$14.01;5/14/21, 11:00 AM;;$253.19;100.0;
8;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.39;5/14/21, 12:15 PM;($62.41);$187.58;0.0;
9;BashirStrategy(Buy);Buy to Open;100.0;$14.00;5/17/21, 10:00 AM;;$205.58;100.0;
10;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.26;5/19/21, 9:45 AM;($73.30);$114.28;0.0;
11;BashirStrategy(Buy);Buy to Open;100.0;$12.82;5/20/21, 11:15 AM;;$101.37;100.0;
12;BashirStrategy(CloseBuy);Sell to Close;-100.0;$12.29;5/20/21, 1:45 PM;($53.36);$60.92;0.0;
13;BashirStrategy(Buy);Buy to Open;100.0;$12.55;5/20/21, 3:45 PM;;$60.43;100.0;
14;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.82;5/24/21, 2:30 PM;$127.50;$188.42;0.0;
15;BashirStrategy(Buy);Buy to Open;100.0;$14.37;5/25/21, 9:45 AM;;$163.92;100.0;
16;BashirStrategy(CloseBuy);Sell to Close;-100.0;$15.68;5/25/21, 2:45 PM;$131.39;$319.81;0.0;
17;BashirStrategy(Buy);Buy to Open;100.0;$15.28;5/25/21, 3:00 PM;;$349.21;100.0;
18;BashirStrategy(CloseBuy);Sell to Close;-100.0;$17.95;5/26/21, 9:45 AM;$266.90;$586.71;0.0;
19;BashirStrategy(Buy);Buy to Open;100.0;$18.59;5/26/21, 10:00 AM;;$577.64;100.0;
20;BashirStrategy(CloseBuy);Sell to Close;-100.0;$20.57;5/27/21, 10:00 AM;$197.93;$784.64;0.0;
21;BashirStrategy(Buy);Buy to Open;100.0;$21.62;5/27/21, 10:15 AM;;$919.65;100.0;
22;BashirStrategy(CloseBuy);Sell to Close;-100.0;$22.97;5/27/21, 10:30 AM;$135.01;$919.65;0.0;
23;BashirStrategy(Buy);Buy to Open;100.0;$22.42;5/27/21, 10:45 AM;;$944.06;100.0;
24;BashirStrategy(CloseBuy);Sell to Close;-100.0;$24.16;5/27/21, 1:15 PM;$174.00;$1,093.65;0.0;
25;BashirStrategy(Buy);Buy to Open;100.0;$25.43;5/27/21, 1:30 PM;;$1,199.76;100.0;
26;BashirStrategy(CloseBuy);Sell to Close;-100.0;$29.39;5/27/21, 2:00 PM;$396.64;$1,490.29;0.0;
27;BashirStrategy(Buy);Buy to Open;100.0;$25.55;5/27/21, 2:15 PM;;$1,681.03;100.0;
28;BashirStrategy(CloseBuy);Sell to Close;-100.0;$27.46;5/27/21, 2:30 PM;$190.74;$1,681.03;0.0;
29;BashirStrategy(Buy);Buy to Open;100.0;$27.85;5/27/21, 2:45 PM;;$1,756.50;100.0;
30;BashirStrategy(CloseBuy);Sell to Close;-100.0;$27.17;5/27/21, 3:45 PM;($68.03);$1,613.00;0.0;
31;BashirStrategy(Buy);Buy to Open;100.0;$32.59;5/28/21, 9:45 AM;;$1,739.99;100.0;
32;BashirStrategy(CloseBuy);Sell to Close;-100.0;$33.86;5/28/21, 10:00 AM;$126.99;$1,739.99;0.0;
33;BashirStrategy(Buy);Buy to Open;100.0;$31.62;5/28/21, 10:15 AM;;$1,439.55;100.0;
34;BashirStrategy(CloseBuy);Sell to Close;-100.0;$28.62;5/28/21, 10:30 AM;($300.44);$1,439.55;0.0;
35;BashirStrategy(Buy);Buy to Open;100.0;$30.31;6/1/21, 9:45 AM;;$1,487.54;100.0;
36;BashirStrategy(CloseBuy);Sell to Close;-100.0;$29.13;6/1/21, 10:30 AM;($118.00);$1,321.55;0.0;
37;BashirStrategy(Buy);Buy to Open;100.0;$29.66;6/1/21, 10:45 AM;;$1,247.54;100.0;
38;BashirStrategy(CloseBuy);Sell to Close;-100.0;$28.92;6/1/21, 11:00 AM;($74.01);$1,247.54;0.0;
39;BashirStrategy(Buy);Buy to Open;100.0;$30.04;6/1/21, 11:15 AM;;$1,269.04;100.0;
40;BashirStrategy(CloseBuy);Sell to Close;-100.0;$31.51;6/1/21, 12:15 PM;$147.10;$1,394.64;0.0;
41;BashirStrategy(Buy);Buy to Open;100.0;$31.36;6/1/21, 12:30 PM;;$1,359.94;100.0;
42;BashirStrategy(CloseBuy);Sell to Close;-100.0;$30.80;6/1/21, 1:00 PM;($56.70);$1,337.94;0.0;
43;BashirStrategy(Buy);Buy to Open;100.0;$31.53;6/1/21, 1:15 PM;;$1,270.01;100.0;
44;BashirStrategy(CloseBuy);Sell to Close;-100.0;$30.85;6/1/21, 1:30 PM;($67.93);$1,270.01;0.0;
45;BashirStrategy(Buy);Buy to Open;100.0;$31.21;6/1/21, 1:45 PM;;$1,274.01;100.0;
46;BashirStrategy(CloseBuy);Sell to Close;-100.0;$39.15;6/2/21, 9:45 AM;$793.52;$2,063.53;0.0;
47;BashirStrategy(Buy);Buy to Open;100.0;$41.15;6/2/21, 10:00 AM;;$1,965.53;100.0;
48;BashirStrategy(CloseBuy);Sell to Close;-100.0;$40.17;6/2/21, 10:15 AM;($98.00);$1,965.53;0.0;
49;BashirStrategy(Buy);Buy to Open;100.0;$40.41;6/2/21, 10:30 AM;;$1,900.52;100.0;
50;BashirStrategy(CloseBuy);Sell to Close;-100.0;$39.76;6/2/21, 10:45 AM;($65.01);$1,900.52;0.0;
51;BashirStrategy(Buy);Buy to Open;100.0;$40.45;6/2/21, 11:00 AM;;$1,928.53;100.0;
52;BashirStrategy(CloseBuy);Sell to Close;-100.0;$43.35;6/2/21, 11:30 AM;$289.71;$2,190.23;0.0;
53;BashirStrategy(Buy);Buy to Open;100.0;$44.00;6/2/21, 11:45 AM;;$2,500.23;100.0;
54;BashirStrategy(CloseBuy);Sell to Close;-100.0;$47.10;6/2/21, 12:00 PM;$310.00;$2,500.23;0.0;
55;BashirStrategy(Buy);Buy to Open;100.0;$49.48;6/2/21, 12:15 PM;;$3,723.38;100.0;
56;BashirStrategy(CloseBuy);Sell to Close;-100.0;$61.72;6/2/21, 12:30 PM;$1,223.15;$3,723.38;0.0;
