Strategy report
Symbol: F
Work Time: 5/13/21, 9:33 AM - 6/24/21, 3:53 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$11.43;5/13/21, 9:33 AM;;($0.01);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$11.51;5/13/21, 9:40 AM;$0.08;$0.08;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$11.55;5/13/21, 9:42 AM;;$0.09;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$11.58;5/13/21, 9:48 AM;$0.04;$0.11;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$11.65;5/13/21, 9:59 AM;;$0.11;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$11.65;5/13/21, 10:04 AM;$0.00;$0.11;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$11.62;5/13/21, 10:28 AM;;$0.12;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$11.66;5/13/21, 10:36 AM;$0.05;$0.16;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$11.62;5/13/21, 11:03 AM;;$0.16;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$11.60;5/13/21, 11:07 AM;($0.02);$0.13;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$11.49;5/13/21, 12:13 PM;;$0.13;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$11.50;5/13/21, 12:18 PM;$0.01;$0.14;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$11.50;5/13/21, 12:20 PM;;$0.14;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$11.49;5/13/21, 12:22 PM;($0.01);$0.13;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$11.51;5/13/21, 12:31 PM;;$0.14;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$11.53;5/13/21, 12:36 PM;$0.02;$0.15;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$11.51;5/13/21, 12:50 PM;;$0.16;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$11.50;5/13/21, 12:54 PM;($0.01);$0.14;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$11.51;5/13/21, 1:03 PM;;$0.14;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$11.52;5/13/21, 1:07 PM;$0.01;$0.15;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$11.50;5/13/21, 1:09 PM;;$0.15;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$11.52;5/13/21, 1:16 PM;$0.01;$0.16;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$11.53;5/13/21, 1:18 PM;;$0.14;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$11.53;5/13/21, 1:19 PM;$0.00;$0.16;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$11.45;5/13/21, 1:58 PM;;$0.16;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$11.51;5/13/21, 2:09 PM;$0.05;$0.21;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$11.51;5/13/21, 2:14 PM;;$0.21;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$11.52;5/13/21, 2:16 PM;$0.00;$0.21;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$11.52;5/13/21, 2:25 PM;;$0.21;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$11.58;5/13/21, 2:38 PM;$0.06;$0.27;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$11.58;5/13/21, 3:03 PM;;$0.27;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$11.57;5/13/21, 3:13 PM;$0.00;$0.27;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$11.58;5/13/21, 3:33 PM;;$0.27;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$11.58;5/13/21, 3:34 PM;$0.00;$0.27;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$11.65;5/14/21, 9:32 AM;;$0.28;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$11.71;5/14/21, 9:39 AM;$0.06;$0.33;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$11.72;5/14/21, 9:44 AM;;$0.34;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$11.76;5/14/21, 9:50 AM;$0.04;$0.37;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$11.76;5/14/21, 9:52 AM;;$0.38;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$11.81;5/14/21, 10:00 AM;$0.04;$0.42;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$11.77;5/14/21, 10:22 AM;;$0.42;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$11.79;5/14/21, 10:30 AM;$0.02;$0.44;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$11.79;5/14/21, 10:32 AM;;$0.44;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$11.79;5/14/21, 10:36 AM;$0.00;$0.44;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$11.76;5/14/21, 11:20 AM;;$0.44;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$11.76;5/14/21, 11:24 AM;$0.00;$0.43;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$11.75;5/14/21, 11:26 AM;;$0.43;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$11.79;5/14/21, 11:43 AM;$0.04;$0.47;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$11.79;5/14/21, 11:49 AM;;$0.47;1.0;
